fastspring,Feb 6,5,Brunch söndag,"Härlig söndags brunch med musik, fullbokat men trots det inte stökigt utan gick att prata . Liveband spelade helt lagom högt.  Går gärna hit igen. Stor variation på mat och dryck . Kan beställa omelett som hörs på plats eller göra egna våfflor.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 days ago",Responded 4 days ago,"Kära fastspring,  Stort tack för ditt omdöme och dina fina ord. Det gläder oss att du hade en sån fin upplevelse hos oss. Vi ser fram emot att få välkomna dig till Grand Hotel snart igen!  Önskar dig en underbar dag!  Med vänliga hälsningar, Katarina  ",Date of stay: February 2019,"[All, languages]",493
alekspacho,Jan 2019,5,Trevligt hotell!,"Really enjoyed my stay at Grand Hotel. Good location, good dinner and breakfast, big enough rooms. Lovely building. Enjoy the fact that not all hotels are newly built but some are in old buildings and that the hotel has preserved and kept a lot of the original charm!","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Dear Alekspacho,  Thank you very much for your review. We are delighted to hear that you enjoyed your stay with us! Grand Hotel is truly a wonderful building where the old and the new melt together seamlessly. The two copper verandas in the front of the hotel were actually built in 2017!  We hope to welcome you soon again!  Yours sincerely, Katarina",Date of stay: January 2019,"[All, languages]",493
Hasse W,Jan 2019,5,Bra hotell!,"Ett riktigt bra hotell. En riktig klassiker med skön klassisk känsla i hela huset. Riktigt bra frukost, kanske den bästa äggröra jag hittat på ett hotell. Bra bar och restaurang. Rent och snyggt. Och trevlig personal så klart!","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Hej Hasse,  Stort tack för ditt omdöme, dina fina ord värmer! Vår äggkock kommer bli mycket glad när han får höra vilket toppbetyg hans äggröra fick. Vi ser fram emot att få välkomna dig tillbaka till oss på Grand Hotel!  Ha en underbar vecka!  Med vänliga hälsningar, Katarina",Date of stay: January 2019,"[All, languages]",493
Mikael A,Dec 2018,4,Trevligt och bra läge,"Detta hotell har gamla anor och det syns. Trevligt att man vill bevara allt från porslin till möblemang i gammal stil. Som tur är har man mycket bra sängar, så det inte är de gamla från 20-talet. Som helhet mycket bra. En sak bör man byta och det är våffeljärn såg fyra före mig…","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded Jan 3, 2019","Responded Jan 3, 2019","Hej Mikaela,  Stort tack för ditt omdöme! Vi uppskattar verkligen dina fina ord och att du delar med dig av din upplevelse.  Det var roligt att höra att du gillar hotellets anrika stil; för oss är det viktigt att både bevara det gamla och eleganta samtligt som alltid vill förnya och förbättra.  Jag har meddelat våra frukostansvariga angående våffeljärnen!  Ha en underbar kväll och god fortsättning!  Med vänliga hälsningar, Katarina",Date of stay: December 2018,"[All, languages]",493
Francine W,Dec 2018,4,Mysigt hotel,Fina rum och badrum och frukosten var riktigt fin!  Kuddarna i sängen var inte så bra tyvärr men det andra var så bra så det bryr jag mig inte om!  Blir ett återbesök när våra passerar Lund igen.  Personalen på hotellet var väldigt trevligs och duktiga.,"Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded Jan 3, 2019","Responded Jan 3, 2019","Hej,  Stort tack för ditt omdöme. Det gläder oss att du är nöjd med din vistelse! Kom gärna förbi receptionen nästa gång så kan vi erbjuda dig en annan kudde. Vi ser fram emot att få välkomna dig till Grand Hotel igen!  Med vänliga hälsningar, Katarina",Date of stay: September 2018,"[All, languages]",493
BFBoston,Nov 2018,4,First class,"Stayed here for several nights 15 years ago, and returned recently to a hotel that was much more impressive.  I had a little single room with a rather small bed.  But the room and bath were impeccably clean and nicely decorated.  The common space was lovely and the breakfast…","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded Jan 3, 2019","Responded Jan 3, 2019","Dear BFBoston,  Thank you very much for your kind Words! We are delighted to hear that you enjoyed your stay and that you found the hotel even more impressive this time. We are looking forward to welcoming you to Grand Hotel again!  Have a wonderful evening!  Yours sincerely, Katarina",Date of stay: October 2018,"[All, languages]",493
1astrakan,Nov 2018,5,Härligt och fräscht rum med utsikt,"Kanske finaste rummet jag någonsin bott i. Högt i tak, lyxiga möbler, badkar. Bra städning och allt kändes fräscht. Dyra märkestvålar etc i badrummet. Jag är så nöjd och önskar att jag kunde bo här längre. Vill absolut bo här igen! Mycket trevlig personal och stor frukostbuffé…","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded Jan 3, 2019","Responded Jan 3, 2019","Hej,  Stort tack för ditt fina omdöme! Det gläder oss att du hade en sån bra vistelse hos oss på Grand Hotel. Roligt att du gillade ditt rum så mycket; du får gärna skriva ett litet mejl till vår email info@grandilund.se med ditt namn och hänvisa till mig, så kan jag notera i din profil att det är ditt favoritrum!  Vi ser fram emot att få välkomna dig snart igen!  Med vänliga hälsningar, Katarina",Date of stay: November 2018,"[All, languages]",493
Karin R,Nov 2018,5,Hotel med klass,Toppen! En klassiker och dessutom nytt och tidsenhetligt. Meny med nytänk och dessutom med traditionella rätter som speglar det gamla fina Grand.  Bar med atmosfär och mysigt stämning. Bra att kunna slinka in och beställa en räkmacka.,"Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Hej Karin,  Stort tack för ditt fina omdöme! Vad trevligt du gillar den fina balansen mellan tradition och förnyelse på Grand Hotel, det gläder oss. Vi ser fram emot att få välkomna dig till oss igen!  Ha en underbar vecka!  Med vänliga hälsningar Katarina ",Date of stay: October 2018,"[All, languages]",493
Natasha dalle,Oct 2018,3,lekker maar nog iets meer finesse,Wij hebben hier niet overnacht daar we woonachtig zijn in Lund. Echter zijn we hier naartoe gekomen om er te dineren. De menu is enorm beperkt en het is niet steeds duidelijk om de voorgerechten te vinden. We hebben 2 gerechten gekozen en dat was lekker maar voor de gevraagde…,"Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Dear Natasha,  Thank you very much for your review! We are delighted to hear that you enjoyed your food and that you had a lovely time in our restaurant. The outdoor dining area was a new concept for 2018, so we are glad to hear your opinion about the chairs. I will forward your review to our restaurant manager.  We are looking forward to welcoming you again on your next trip to Lund!  Yours sincerely Katarina",Date of stay: September 2018,"[All, languages]",493
Estevettt,Oct 2018,2,Bad experience,"Very basic facilities and level of cleaness,   They forget to clean the room and when I complain the responsible in the reception just told me that was no available staff and he can do nothing, just providing a clean towel","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Dear Estevettt,  Thank you very much for your review. We are sad to hear that your visit at Grand Hotel wasn't a good experience. We would like to hear more about your visit in order to improve. Please do feel free to contact our Front Desk Manager Charlotta at Charlotta.Persson@grandilund.se  I wish you a lovely day!  Yours sincerely Katarina",Date of stay: November 2017,"[All, languages]",493
jonass661,Oct 2018,4,Klassiker,"Ett klassiskt Grand Hotell som ligger mitt i centrum av Lund. Nära tågstationen och lätt att komma till med bil.  Trevliga rum, välstädade och moderna med en klassisk twist. Frukosten håller väldigt hög standard och det mesta som serveras är ekologiskt och lokalproducerat.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 weeks ago",Responded 4 weeks ago,"Hej Jonas,  Stort tack för ditt fina omdöme. Det gläder oss att du hade en fin vistelse hos oss och är nöjd med både rummet och vår grandiosa frukost. Vi ser fram emot att få välkomna dig till Grand Hotel igen!  Ha en underbar dag!  Med vänliga hälsningar Katarina",Date of stay: October 2018,"[All, languages]",493
