Mom,Feb 3,5,Fabulous ,"Really enjoyed stay, lovely studio room with hob, microwave, fridge and dishwasher, table with nice view over street and enormous bathroom, beds really comfortable and staff on front desk and at breakfast very helpful and friendly. Breakfast ok, non dairy options available if…","Response from ForenomAparthotelLun, GSR at Forenom Aparthotel LundResponded 5 days ago",Responded 5 days ago,"Hi Michelle!  It's so great to hear that we managed to make you stay special in so many ways. It will always be our highest priority to make sure everything from the rooms, the service, and the breakfast is the best that it can be. We also love when our guests take the chance to use our free bike service - or play a game of table tennis or scrabble in our living room. We look forward to welcoming you back to us at Forenom in the future!  Best regards, Olivia Bröddén Guest Service Representative",Date of stay: February 2019,"[All, languages]",190
Louise N,Dec 2018,1,Sämsta jag varit med om,Skulle bo här i ett stort rum så vi kunde bo här med rullstol. Dom ringde samma dag när vi nästan var framme att rummet hade blivit dubbelbokad så vi skulle få ett mindre rum. Inte okej att göra så när man bokat det specifikt för att vi ska kunna bo med en stor rullstol.…,"Response from ForenomAparthotelLun, GSR at Forenom Aparthotel LundResponded Dec 26, 2018","Responded Dec 26, 2018","Hej Louise,  Vi vill återigen verkligen be om ursäkt för detta. Ibland sker tekniska problem med hotellsystem som gör att två bokningar ramlar in på samma rum och då försöker vi alltid lösa det efter bästa förmåga. Tyvärr går det inte alltid och det är självklart alltid lika tråkigt när det händer. Att det sker samma dag är ju också verkligen något vi inte vill ska hända och vi har full förståelse för er frustation.  Vi hoppas att de saker som kunde lösas på plats gjorde er vistelse trevligare än väntat. Vi önskar er varmt välkomna tillbaka och ett riktigt gott nytt år!  Vänliga hälsningar, Olivia Bröddén Guest Service Representative",Date of stay: December 2018,"[All, languages]",190
andreajacobsen,Dec 2018,5,Fantastisk,"Vi havde en enkelt overnatning, helt fantastisk og virkelig sød personale 😉 Vi fik allerede lov til at bruge værelset ved vores ankomst kl 11.00, istedet for oprindelig check in tid kl 15.00, virkelig god service. Værelset flot , rummeligt og rent. Kan varmt anbefales.","Response from ForenomAparthotelLun, Chef at Forenom Aparthotel LundResponded Dec 11, 2018","Responded Dec 11, 2018","Hej Andrea,  Tack för dina varma ord, vi är glada att ni haft en bra vistelse hos oss och hoppas att vi får nöjet att välkomna er åter till Lund i framtiden.  Allt gott, Nathalie Jabrell Area Manager Lund ",Date of stay: December 2018,"[All, languages]",190
Jiehu,Nov 2018,5,非常舒适的公寓式酒店,十分满意！这里的优点有很多: 1，房间带厨房，厨房里的锅刀叉碗碟一应俱全，油盐需要自己买，但很便宜。2，早餐非常丰盛好吃，尤其推荐那个牛角面包，皮非常酥脆，鸡蛋也被细心的分成6分钟和8分钟鸡蛋，周末早餐到10点半，工作日到9点半。3，旁边就有一个大超市和药店，非常方便，出来买东西都不用穿大衣。4，离伦德火车站和伦德大学都是20分钟走路到，不算太近，但也能接受，唯一就是这里都是石板路，第一次来提着箱子一路走来非常痛苦。如果再来这里的话，肯定还会选择这里的，非常推荐！对了，这里的服务也蛮好的，妹子们礼貌友好。,"Response from ForenomAparthotelLun, Chef at Forenom Aparthotel LundResponded Dec 11, 2018","Responded Dec 11, 2018","Best Jiehu,  Many thanks for giving such a positive and extensive review of your stay. We are glad that you enjoyed Forenom and hope to see you soon again!  All the best, Nathalie Jabrell Area Manager",Date of stay: November 2018,"[All, languages]",190
Charlotta L,Nov 2018,4,Fräscht centralt Lägenhetshotell,Obemannat lägenhetshotell. Har inte tidigare bott på något liknande men det funkade jättebra. Superfräscha studios. Vitt grått och ek. Frukosten var över förväntan. Fanns lite av varje arr välja på. Bra ställe för barnfamilj. Lite opersonligt. ,"Response from ForenomAparthotelLun, GSR at Forenom Aparthotel LundResponded Nov 21, 2018","Responded Nov 21, 2018","Tack för din fina feedback, Charlotta!  Hotellet är bemannat mellan 9-17 varje dag och finns resten av tiden via telefonerna. Är det något man behöver hjälp med så finns vi alltid där på ett eller annat sätt! Det gör oss dock självklart glada att höra att ni klarade ett bra ändå på egenhand. Fantastiskt att ni fick ett sådant positivt intryck av våra studios och att frukosten verkligen smakade.  Vi önskar er varmt välkomna tillbaka till Forenom i framtiden.  Vänligen,  Olivia Bröddén Guest Service Representative",Date of stay: November 2018,"[All, languages]",190
Stay97193,Oct 2018,5,The best of the best,"Clean and friendly apartament hotel in the center of Lund, Sweden. Nice and helpfull crew. Tastefully decorated rooms with comfortable beds. Full equiped kitchens. Tasty breakfast and free coffee and cookies all day!","Response from ForenomAparthotelLun, GSR at Forenom Aparthotel LundResponded Nov 21, 2018","Responded Nov 21, 2018","Thank you very much for your feedback and top rating!  It's wonderful to hear that you had such a nice stay with us. We try and give out guests the best experience possible and keep our room standards up to date. We're very glad that this is comming trough.  We hope to be able to welcome to back to Forenom soon!  Best regards,  Olivia Bröddén Guest Service Representative",Date of stay: October 2018,"[All, languages]",190
Wolfgang H,Oct 2018,4,Länger ist bessz,"Nach langer Reise und langem Arbeitstag ist die Rezeption nicht mehr besetzt und man muss sich damit rumschlagen wie man reinkommt,rumtelefonieren um den Zutrittscode zu bekommen und dann noch mit den unterschiedlichen Eingabeterminals zurechtkommen. Das ist nicht der beste…","Response from ForenomAparthotelLun, GSR at Forenom Aparthotel LundResponded Nov 21, 2018","Responded Nov 21, 2018","Thank you very much for your great feedback, Wolfgang.  The hotel is staffed between 9AM-5PM every day. After that we try to make check-in as smooth as possible by sending out room information and access codes via text message and email to all of our guests. Our customer service is at your service 24/7 via our phones and we hope they helped you make sense of your codes upon arrival. We're glad your enjoyed our rooms and that the breakfast was tasty.  We do our very best to acommodate both short and longer stays and we're glad to hear that it's working. Welcome back soon!  Best regards,  Olivia Bröddén Guest Service Representative",Date of stay: October 2018,"[All, languages]",190
Helena N,Oct 2018,4,Lägenhetshotell,Bokade 1 natt till bra pris. Mycket fräscht och centralt beläget. Litet kök i lägenheten. Skön säng.  Frukosten var bra. Behövdes fyllas på men det gjordes efter jag sagt till. Smidigt med kodlås. Nyrenoverat tror jag. ,"Response from StayAtHotelLund, GSR at Forenom Aparthotel LundResponded Oct 23, 2018","Responded Oct 23, 2018","Hej Helena,   Tack för ditt fina omdöme. Vi har renoverat alla våra rum det senaste året och det är kul att höra att det märks! Hösten har gett oss ovanligt många frukostgäster och vi håller just nu på att arbeta om personalstyrkan så att allting hinns med under frukostserveringen. Inga fat ska stå tomma! Varmt välkommen tillbaka.  Vänligen,  Olivia Bröddén Guest Service Representative",Date of stay: October 2018,"[All, languages]",190
G C,Sep 2018,3,Week long stay,Conveniently located in central Lund. Grocery store right around the corner for buying supplies to make your own meals.  Parking on-site but didn't make use so don't know if there is a charge  Gym facility tiny. Laundry service available.  Wifi appeared to be ok.  Room clean and…,"Response from StayAtHotelLund, GSR at Forenom Aparthotel LundResponded Oct 23, 2018","Responded Oct 23, 2018","Hello G C,   Thank you for the great feedback!  We're glad to hear that you enjoyed your week long stay with us despite not liking our beds. We will of course look into this room to make sure that the bed is of top quality. If you require service after opening hours 9AM-5PM we are always connected to the phones. Just pick up the receiver at the front desk or call our customer service number and we will be happy to help. ¨  Best regards,  Olivia Bröddén Guest Service Representative",Date of stay: September 2018,"[All, languages]",190
camval,Sep 2018,5,"Good price, good location",We stayed here overnight on a Scandinavian road trip. It was perfect - a decent apartment with a good kitchen and free WiFi. The price was great (£68) and even included breakfast in the lobby area. There is a good supermarket just up the road in the main square. Lund is a…,"Response from StayAtHotelLund, GSR at Forenom Aparthotel LundResponded Oct 23, 2018","Responded Oct 23, 2018","Hello Camval,   Thank you for your fantastic feedback and top rating! It makes is very happy to hear that you enjoyed your stay with us that much. StayAt HotelApartments was bought by Forenom in March of 2018. Our product is the same but we now go under our new owners name. Merges like this can take a bit of time and we apologize for any confusion this might've caused. We wish you a warm welcome back to us soon.  Best regards, Olivia Bröddén Guest Service Representative",Date of stay: June 2018,"[All, languages]",190
