,poi_name,poi_id,total review count,average rating score,price,address,postcode,category,review language,review count by language,author contributions,author_votes,rating score,rating date,rating title,rating place,text,eng_title,eng_text
0,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,10.0,4.0,1,"December 27, 2018 ",Almost nothing to see,,Pretty hard to find and not much to see. Very few explanations; it’s called museum but actually it has almost none artifacts.,Almost nothing to see,Pretty hard to find and not much to see. Very few explanations; it’s called museum but actually it has almost none artifacts.
1,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,357.0,107.0,4,"January 21, 2018 ",See the medieval Lund,"Lund, Sweden",You can only visit the museum through the Cattostretto restaurant. You ll see the rest of a huge church from the 1000,See the medieval Lund,You can only visit the museum through the Cattostretto restaurant. You ll see the rest of a huge church from the 1000
2,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,40.0,12.0,4,"December 23, 2017 ",visit ruins in Lund,"Lund, Sweden",Intressant to see the rest of a huge church from beginnings of1000 and how  the earth level is changed.,visit ruins in Lund,Intressant to see the rest of a huge church from beginnings of1000 and how  the earth level is changed.
3,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,72.0,20.0,3,"December 8, 2017 ",Interesting but not open so much,"Lund, Sverige","The museum used to have regular opening hours a few years ago but since then cutbacks have closed it for the most.  You can maybe gain admittance by asking at the restaurant on the main floor, or by taking a tour given by the tourist...More",Interesting but not open so much,"The museum used to have regular opening hours a few years ago but since then cutbacks have closed it for the most.  You can maybe gain admittance by asking at the restaurant on the main floor, or by taking a tour given by the tourist...More"
4,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,1434.0,1600.0,3,"March 12, 2017 ",Medieval Museum in Lund,"Denver, Colorado",Access to the underground Medieval Museum is gained through the Gattostretto Restaurant - this is an interesting museum with all information in Swedish (video in English describing the genesis and history of the church). The museum is free and I am sure it is an...More,Medieval Museum in Lund,Access to the underground Medieval Museum is gained through the Gattostretto Restaurant - this is an interesting museum with all information in Swedish (video in English describing the genesis and history of the church). The museum is free and I am sure it is an...More
5,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,30.0,11.0,4,"January 18, 2017 ",A walk through medieval Lund,"Lund, Sweden",Lund was supposedly founded around 990 AD. Three wooden stave churches were built in the area of the museum in the following 100 years or so. Remains of them and the succeeding Drotten Church in stone were found in the 70's when digging for new...More,A walk through medieval Lund,Lund was supposedly founded around 990 AD. Three wooden stave churches were built in the area of the museum in the following 100 years or so. Remains of them and the succeeding Drotten Church in stone were found in the 70's when digging for new...More
6,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,178.0,33.0,4,"March 6, 2016 ",A nice bit of ancient Lund.,,Rather discret entrence on one the smaller town squares. Nicely restored and kept in the cellar. Very informative guide who tells it's history. Around the room there are descriptions that tells you more in pictures. A nice place If you're interested of the old Lund.,A nice bit of ancient Lund.,Rather discret entrence on one the smaller town squares. Nicely restored and kept in the cellar. Very informative guide who tells it's history. Around the room there are descriptions that tells you more in pictures. A nice place If you're interested of the old Lund.
7,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,423.0,212.0,4,"February 28, 2016 ",Hard to find but worth it,"Rio de Janeiro, RJ","This attraction is marked Church Ruins in the local maps. It is located underground and the access is through a restaurant. There is some material (in Swedish) that explains how the old church looked like, as well as some mockups, but there is no clear...More",Hard to find but worth it,"This attraction is marked Church Ruins in the local maps. It is located underground and the access is through a restaurant. There is some material (in Swedish) that explains how the old church looked like, as well as some mockups, but there is no clear...More"
8,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,6.0,8.0,4,"January 18, 2016 ",A sight that require some learning to understand what makes it interesting.,"Lund, Sverige","Drotten's church ruin is an underground museum that describes and shows models of four, now demolished, churches from the eleventh century in Lund but the sight is open unmanned for visit on you own so it require some learning to understand what it is about....More",A sight that require some learning to understand what makes it interesting.,"Drotten's church ruin is an underground museum that describes and shows models of four, now demolished, churches from the eleventh century in Lund but the sight is open unmanned for visit on you own so it require some learning to understand what it is about....More"
9,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,142.0,72.0,4,"November 7, 2015 ",A good way to spend twenty minutes if you don't speak Swedish,Sydney,Quick visit all that is necessary if you do not speak Swedish. Video available in English describing history of church. Close to fruit and veg market and in basement of rather nice Italian cafe - see my other review - Gastrostretto,A good way to spend twenty minutes if you don't speak Swedish,Quick visit all that is necessary if you do not speak Swedish. Video available in English describing history of church. Close to fruit and veg market and in basement of rather nice Italian cafe - see my other review - Gastrostretto
10,Medieval_Museum_Drottens_Museet,d319372,43.0,4.0,,6 Kattesund,222 23,LocalBusiness,[English],19,29.0,8.0,5,"September 1, 2015 ",Worth a visit,"Lund, Skåne Län, Sweden",An interesting museum showing a medieval part of Lund. It is situated not far from the Dome in Lund.,Worth a visit,An interesting museum showing a medieval part of Lund. It is situated not far from the Dome in Lund.
