a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02161,Building,Architecture,Town,Landmark,Neighbourhood,Facade,City,Mixed-use,Medieval architecture,Apartment,Bantorget 8,Bantorget 8, Mar 2017
Lund_00592,Building,Landmark,Property,Architecture,Estate,Mansion,Stately home,Medieval architecture,House,City,Lundagard ¢,Lundagard ¢, Mar 2017
Lund_01443,Landmark,Building,Architecture,Town,Spire,Steeple,City,Tree,House,Church,Lundagard ¢,Lundagard ¢, Mar 2017
Lund_01930,Building,Property,Town,Architecture,Palace,Stately home,Facade,Almshouse,City,Estate,Folkuniversitetets fo,LRI IYCET, Mar 2017
Lund_01794,Landmark,Architecture,Medieval architecture,Building,Sky,Cathedral,Gothic architecture,Place of worship,Classical architecture,Facade,Lundagérd,Zackarias Soderl, Mar 2017
Lund_00401,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00258,Building,Landmark,Architecture,Château,Stately home,Estate,Mansion,Manor house,Historic house,Palace,Bantorget 8,Bantorget 8, Mar 2017
Lund_00399,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01100,Aerial photography,Landmark,Bird's-eye view,Urban area,City,Building,Architecture,Metropolitan area,Photography,Landscape,Ideon Science Park,'?:“ jan kees dommis, Mar 2018
Lund_01028,Building,Property,Architecture,Estate,Stately home,Château,Medieval architecture,Tree,Historic house,Castle,Folkuniversitetets fo,LRI IYCET, Mar 2017
Lund_00788,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,City,Monument,House,Palace,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02112,Property,Sky,Landmark,Building,Tree,Architecture,House,Estate,Town,Grass,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01419,Classical architecture,Architecture,Building,Landmark,Facade,City,Basilica,Palace,Metropolis,Tourist attraction,Italia Il Ristorante,5@' Luis Villeda, Mar 2016
Lund_01067,Building,Landmark,Classical architecture,Architecture,Palace,Official residence,Mansion,Estate,Presidential palace,House,Lundagérd,Michal Skrzypiec, Mar 2011
Lund_00785,Landmark,Sky,Building,Estate,Architecture,Grass,Property,Stately home,Town,City,Bantorget 8,“f«:' Sorin Calugar, Mar 2017
Lund_01502,Property,Sky,Estate,House,Architecture,Tree,Building,Grass,Home,Mansion,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02660,Gym,Exercise machine,Floor,Physical fitness,Sport venue,Exercise equipment,Room,Treadmill,Flooring,Interior design,Fitness24Seven,@ Simone Pellegrin, Mar 2018
Lund_03045,Sports,Team sport,Ball game,Sport venue,Tournament,Player,Sports equipment,Competition event,Futsal,,Actic Vikingahallen,yeigy Christian Resebo, Mar 2017
Lund_01386,Building,Property,Estate,Town,Mansion,Architecture,Stately home,House,City,Neighbourhood,Kulturen,Kulturen, Mar 2017
Lund_02287,Architecture,Building,Facade,Community centre,House,Mixed-use,City,,,,Klostergérdens bibli,:’ Anna Welander T, Mar 2018
Lund_01011,Classical architecture,Landmark,Architecture,Building,Facade,Sky,Monument,City,Courthouse,Tourist attraction,Lundagérd 8,M) MrAR2407, Mar 2017
Lund_01504,Property,Sky,Estate,House,Architecture,Tree,Building,Grass,Home,Mansion,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02853,Brick,Property,Brickwork,Landmark,House,Building,Architecture,Wall,Sky,Home,Lundagérd,@ Mohammadjums, Mar 2016
Lund_01550,Sky,Architecture,Building,Landmark,Tree,Church,Medieval architecture,Place of worship,Cathedral,Spire,Lundagérd 9,"‘f."" Johan Visser", Mar 2017
Lund_00294,Landmark,Architecture,Building,Sky,House,Estate,Tree,Dome,City,Tower,Gamla observatoriet,@& ' Martin Ljungqvis, Mar 2017
Lund_00787,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,City,Monument,House,Palace,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01850,Town,Architecture,Public space,City,Tourism,Sky,Tree,Street,Building,Pedestrian,Lundagérd,Juliane Gaviragh, Mar 2017
Lund_01710,Tree,Grass,Spring,Architecture,Building,Sky,Estate,Church,Park,Castle,Lundagérd,(O L= T R ), Mar 2017
Lund_00426,Building,Landmark,College,Public space,Grass,City,Architecture,Campus,Human settlement,Estate,Bantorget 8,L 1T T, Mar 2017
Lund_01797,Property,Architecture,Building,Residential area,Commercial building,Apartment,Facade,Real estate,House,Condominium,Skanska Sverige AB,NG T LR, Mar 2007
Lund_00454,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,Official residence,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00627,Property,Landmark,Architecture,Building,Town,Brick,House,Urban area,Estate,Sky,LUX building (Lund U,@ 2L U@, Mar 2018
Lund_01039,Building,Classical architecture,Mansion,Estate,Palace,Property,Architecture,Château,Official residence,Stately home,Lundagérd,@ Mohammadjums, Mar 2016
Lund_01615,Tree,Architecture,Landmark,Building,Estate,Spring,Château,Medieval architecture,Grass,Stately home,Kulturen,leva Eglite, Mar 2018
Lund_01763,Landmark,Architecture,Building,Sky,City,Medieval architecture,Facade,Classical architecture,Spire,Street,Lund Cathedral,Minh Do-Quang, Mar 2016
Lund_00404,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00891,Classical architecture,Building,Landmark,Architecture,Facade,Palace,City,Mansion,House,Estate,Lundagérd,& Bea Kovacsovics, Mar 2018
Lund_00663,Landmark,Monument,Building,Property,Architecture,Stately home,Estate,City,Memorial,Plaza,Lundagérd 8,% Rehan Niazi, Mar 2017
Lund_01108,Building,Estate,Mansion,Property,Palace,Manor house,Stately home,Architecture,House,Château,Lundagard ¢,Lundagard ¢, Mar 2017
Lund_01136,Classical architecture,Architecture,Building,Landmark,Facade,City,Courthouse,Seat of local government,Palace,Tourist attraction,Italia Il Ristorante,5@' Luis Villeda, Mar 2016
Lund_02831,Classical architecture,Building,Landmark,Architecture,Facade,Palace,Stately home,Sky,Mansion,Seat of local government,Bantorget H,e IS Y Ty, Mar 2017
Lund_00451,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,Official residence,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02540,Body of water,Natural landscape,Natural environment,Marsh,Freshwater marsh,Water,Tidal marsh,Wetland,Fen,Salt marsh,Vistra bron vid nébb,Q Thomas Herman, Mar 2017
Lund_01834,Landmark,Medieval architecture,Architecture,Building,Church,Cathedral,Gothic architecture,Place of worship,Steeple,Classical architecture,[T T o1 T T T,Erik Nilsson, Mar 2017
Lund_00952,Classical architecture,Landmark,Building,Architecture,Facade,Sky,Palace,Courthouse,City,Basilica,Lundagérd 8,M) MrAR2407, Mar 2017
Lund_02124,Town,Public space,Water,Architecture,Sculpture,Tree,Tourism,Statue,Town square,Palace,£ (g T,M) M2 BEGONA DEL, Mar 2018
Lund_01901,Sky,Transport,Building,Vehicle,Architecture,Restaurant,Car,Real estate,Residential area,Suburb,Valentin Kuhn,Valentin Kuhn, Mar 2017
Lund_01886,Building,Landmark,Property,Architecture,Facade,Town,Palace,House,Classical architecture,Stately home,Kulturen,M) M2 BEGONA DEL, Mar 2018
Lund_00400,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,Facade,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01520,Building,Property,Architecture,House,Black-and-white,Almshouse,Estate,Historic house,Monochrome,Tree,Stadsparken,RV O A, Mar 2018
Lund_02404,Snow,Winter,Urban area,Neighbourhood,Town,Building,Architecture,City,Tree,Signage,Lundagérd,Lundagérd, Mar 2018
Lund_00225,Building,Property,Landmark,Architecture,Château,Estate,Town,Stately home,Mansion,Manor house,Bantorget 8,Bantorget 8, Mar 2017
