a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00774,Building,Classical architecture,Landmark,Architecture,Property,House,Mansion,Estate,Facade,Historic house,Lundagérd,U\ G LIEEFLE RV, Jun 2018
Lund_02886,Fountain,Reflecting pool,Water,Garden,Botanical garden,Botany,Pond,Water feature,Tree,Park,Lundagérd ¢,a Kiryl Shantyka, Jun 2017
Lund_02365,Crowd,Community,Competition event,Spring,Event,Recreation,Team,Grassland,Vehicle,Lawn,Klostergérdens IP,il VPN YWV 1o 3 o)), Jun 2018
Lund_00616,Landmark,Architecture,Building,Classical architecture,Medieval architecture,Sky,Facade,Church,Place of worship,Historic site,Lund Cathedral,{‘j Pascal BASROGE, Jun 2018
Lund_01670,Neighbourhood,Building,City,Town,Human settlement,Property,Landmark,Architecture,Public space,Plaza,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
Lund_00468,Landmark,Sky,Architecture,Building,City,Town,Daytime,Human settlement,Facade,Steeple,Lund Cathedral :,@ Jun Luo, Jun 2017
Lund_02246,Natural landscape,Nature,Vegetation,Bank,River,Water,Rock,Watercourse,Nature reserve,Grass,Rinnebick Gorge 2,Kajsa Anka, Jun 2018
Lund_01470,Architecture,Building,Landmark,Medieval architecture,Arch,Facade,Wall,Cathedral,Place of worship,Tourism,[T T o1 T 1T,Artur Muc, Jun 2010
Lund_00385,Property,Estate,House,Building,Home,Architecture,Tree,Real estate,Residential area,Botany,Kulturen,@ Erik Olausson, Jun 2017
Lund_01884,Building,Landmark,Architecture,Town,Stately home,City,Facade,Palace,Sky,Estate,University Library,R G074, Jun 2018
Lund_00778,Landmark,Building,Estate,Mansion,Architecture,Palace,Stately home,Official residence,Plaza,Classical architecture,L (LT T,P ) Peter-Michael Wi, Jun 2007
Lund_00863,Landmark,Architecture,Palace,Building,Mansion,Château,Estate,Stately home,Tourism,Villa,Lundagérd,@ Juca Felix Galino, Jun 2016
Lund_00395,Building,Property,Landmark,Architecture,Estate,Mansion,Palace,Official residence,Classical architecture,House,Lundagérd,M Marcel Mannens, Jun 2018
Lund_02115,Landmark,Architecture,Building,Church,Sky,Steeple,Place of worship,Medieval architecture,Cathedral,Spire,Lund Cathedral,§ SANDHEEP KUM, Jun 2015
Lund_01369,Property,House,Estate,Natural landscape,Tree,Building,Botany,Shrub,Cottage,Garden,Botanical Garden,@. Raphael Libois, Jun 2018
Lund_02050,Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Steeple,Classical architecture,Cathedral,Tower,[T T o1 T T T,A  Artur Muc, Jun 2010
Lund_02848,Estate,Building,Mansion,Palace,Château,Official residence,Stately home,House,Architecture,Manor house,Kulturen,Peter Vang Chris, Jun 2017
Lund_01149,Mansion,Estate,Palace,Building,Architecture,Tree,Tourism,Villa,Château,Photography,Lundagérd,@ Thomas Kamph, Jun 2014
Lund_01506,Building,Classical architecture,Palace,Architecture,Landmark,Estate,Mansion,Château,Official residence,Stately home,University Square,Peter-Michael Wi, Jun 2007
Lund_00325,Building,Landmark,Architecture,Sky,Town,Tourism,City,Facade,Tourist attraction,Church,Lund Cathedral,"{:, Pascal BASROGE", Jun 2018
Lund_00329,Building,Estate,Property,Château,Stately home,Architecture,Palace,Mansion,Tree,Manor house,Bantorget,3% stefanos Karidak, Jun 2017
Lund_01774,Classical architecture,Landmark,Architecture,Building,Monument,Facade,Statue,Sky,Tourist attraction,Column,Lundagérd,‘; Ago Pértelpoeg, Jun 2018
Lund_01153,Building,Estate,Property,Landmark,Mansion,Architecture,Stately home,Palace,House,City,Lundagérd ¢,rsold, Jun 2017
Lund_01610,Town,Building,Architecture,Human settlement,City,Neighbourhood,Sky,Street,Town square,House,Lundagérd 9,A Anon Ymous, Jun 2017
Lund_02545,Pasture,Grassland,Grazing,Sheep,Sheep,Herd,Meadow,Rural area,Tree,Grass,Nobbel6vs mosse,BB BB Beigi, Jun 2017
Lund_00268,Building,Property,Architecture,Landmark,Classical architecture,House,Mansion,Estate,Real estate,Facade,Lundagérd,»@ Aktham Yousef, Jun 2018
Lund_01341,Property,Estate,Building,Mansion,Palace,Château,Stately home,Manor house,House,Architecture,Lundagérd ¢,prithvi shenoy, Jun 2018
Lund_02201,Building,Property,Architecture,Facade,City,House,,,,,(KL ETGR T ETY,Dorota Gebusia, Jun 2017
Lund_00921,Building,Estate,Mansion,Property,Palace,Landmark,Official residence,Classical architecture,Architecture,House,Lundagérd,@ Nigel Westwood, Jun 2018
Lund_00685,Estate,House,Property,Landmark,Architecture,Sky,Building,Mansion,Home,Grass,Stadsparken 3,[y ’ Tom Black, Jun 2017
Lund_01597,Fountain,Water,Reflecting pool,Landmark,Garden,Water feature,Botany,Botanical garden,Pond,Tree,Lundagérd ¢,ﬁ Kiryl Shantyka, Jun 2017
Lund_02237,Building,Convenience store,,,,,,,,,CircleK,g Accede'To Vegar, Jun 2018
Lund_03134,Vegetation,Green,Grass,Land lot,Nature reserve,Natural landscape,Natural environment,Pasture,Plant community,Leaf,Tréffpunkt Linero,‘;G\ DIIEY T, Jun 2017
Lund_02662,Sky,Grass,Physical fitness,Summer,Games,Competition event,Recreation,Sports training,Kettlebell,Cloud,Klostergérdens IP,il VPN CY T 1o (o)), Jun 2017
Lund_01194,Transport,Architecture,Mode of transport,Vehicle,Landmark,Building,Town,Bicycle,City,Urban area,[T T o1 T T T,ﬁ Imran Khan, Jun 2017
Lund_02443,Natural landscape,Body of water,Natural environment,Marsh,Nature,Freshwater marsh,Sky,Nature reserve,Wetland,Fen,Nobbel6vs mosse,i\ 1T T, Jun 2014
Lund_02396,Transport,Yellow,Building,Sky,Vehicle,Architecture,Landscape,Car,Gasoline,Gas,Netto 3,o Travel to, Jun 2017
Lund_02449,Body of water,Water resources,Natural landscape,Nature,Riparian zone,River,Water,Watercourse,Bank,Natural environment,(I L L T,@ Thyge Andersen, Jun 2017
Lund_01215,Estate,Building,Palace,Mansion,Stately home,Château,Property,Official residence,Manor house,Classical architecture,Kungshuset,Jessica Persson, Jun 2018
Lund_03170,Natural landscape,Sky,Nature,Water,Water resources,Natural environment,River,Cloud,Grass,Tree,&) Mats Syde,&) Mats Syde, Jun 2017
Lund_01988,Landmark,Architecture,Building,Medieval architecture,Place of worship,Cathedral,Gothic architecture,Classical architecture,Facade,Church,[T T o1 T T,@‘}‘; lan Tan §, Jun 2016
Lund_00591,Building,Landmark,Palace,Estate,Classical architecture,Architecture,Mansion,Official residence,Stately home,Presidential palace,Lundagérd,@ Sebastian Sese K, Jun 2018
Lund_02719,Community,Grass,Grassland,Spring,Sky,Competition event,Recreation,Park,Lawn,Event,Klostergérdens IP,il VPN YT 1o (o)), Jun 2018
Lund_00974,Building,Architecture,Landmark,Church,Medieval architecture,Sky,Place of worship,Tree,Facade,Cathedral,Lundagérd,& Nicolas Brochu, Jun 2018
Lund_00604,Building,Landmark,Architecture,Property,Palace,Mansion,House,Estate,Facade,Official residence,Lundagérd,R N Y VBT e, Jun 2011
Lund_00532,Building,Estate,Tree,Castle,Architecture,Grass,Sky,Château,Stately home,Cloud,Lundagérd,G Goran Wangenhe, Jun 2017
Lund_01986,Building,Architecture,Daytime,Metropolitan area,Human settlement,Urban design,City,Urban area,Commercial building,Corporate headquarters,Sony Mobile Commu,John Wang, Jun 2013
Lund_01125,Property,House,Landmark,Architecture,Building,Home,Town,Sky,Estate,Real estate,,, Jun 2017
Lund_01397,Landmark,Building,Architecture,Sky,Water,Palace,Classical architecture,Tree,Mansion,Estate,Lundagérd,Joel Thggersen, Jun 2010
Lund_02306,Land lot,Grassland,Pasture,Natural environment,Field,Natural landscape,Grass,Plain,Meadow,Prairie,Stadsodlingen pa Br,"{, ) Sanja Blomberg", Jun 2017
Lund_01735,Property,Tree,Architecture,Estate,Sky,Building,House,Botany,Grass,Garden,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017
Lund_01729,Landmark,Sky,Architecture,Building,Church,City,Tower,Place of worship,Cathedral,Facade,[T T o1 T T T,SIS TS, Jun 2018
Lund_01259,Building,Landmark,Property,Architecture,Mansion,Palace,Estate,House,Spring,Official residence,Lundagérd,Peter Wolf, Jun 2018
Lund_02784,Inflatable,bounce house,Games,Outdoor play equipment,Fun,Recreation,Leisure,,,,Klostergérdens IP,42‘ Mats Lundstrom, Jun 2017
Lund_02900,Property,Land lot,Natural landscape,Grass,Nature reserve,Tree,Farm,Yard,Real estate,Rural area,Greenhouse :,@ﬁ». ST, Jun 2017
Lund_01483,Fountain,Water feature,Water,Grass,Tree,Garden,Park,Landscape,Leisure,Landscaping,Stadsparken,Birgitta Porsbrin, Jun 2017
Lund_01023,Property,Estate,Building,House,Courtyard,Stately home,Manor house,Architecture,Tree,Mansion,Kulturen,:g' Martin Andersso, Jun 2017
Lund_00818,Landmark,Building,Palace,Architecture,Mansion,Public space,Plaza,Estate,City,House,Lundagérd c,g‘% Alicja Halgtka, Jun 2017
Lund_00488,Sky,Property,Landmark,Estate,Building,Architecture,Mansion,Cloud,Town,House,Lundagérd,C Christoffer Want:, Jun 2017
Lund_01238,Landmark,Building,Architecture,Historic site,Classical architecture,Facade,Sky,Tower,City,Plaza,Lund Cathedral ¢,@. Ronald T., Jun 2018
Lund_02740,Canopy,Tent,Games,Grass,Inflatable,Shade,Fair,,,,Klostergérdens IP,42‘ Mats Lundstrom, Jun 2017
Lund_02380,Vegetation,Natural environment,Land lot,Biome,Rural area,Meadow,Pasture,Grass,Tree,Grassland,Rinnebick Gorge 2,2 IR, Jun 2015
Lund_02368,Water,Vegetation,Natural landscape,Natural environment,Nature reserve,Lake,Sky,Wilderness,Water resources,River,&) Mats Syde,&) Mats Syde, Jun 2017
Lund_02215,Transport,Architecture,Scaffolding,Construction,Vehicle,Photography,Building,Panorama,Stadium,Sport venue,Kollektgatan,Matthew H. Motz, Jun 2018
Lund_00565,Landmark,Building,Architecture,Property,Town,Estate,Stately home,City,Château,House,Katedralskolan,% Zina Mazurkevyc, Jun 2018
Lund_01330,Tree,Medieval architecture,Building,Architecture,Estate,Woody plant,Château,Plant,Historic site,Church,Lundagérd,Nigel Westwood, Jun 2018
Lund_01408,House,Property,Home,Building,Residential area,Architecture,Estate,Town,Cottage,Rural area,Kulturen,(Z‘w Alexandra von Pe, Jun 2017
Lund_02868,Building,Classical architecture,Landmark,Architecture,Facade,Palace,House,City,Château,Tourist attraction,Genial Barani,Genial Barani, Jun 2017
Lund_00751,Building,Classical architecture,Château,Landmark,Palace,Mansion,Architecture,Estate,Manor house,Official residence,Lundagérd {,Lundagérd {, Jun 2017
Lund_02696,Sky,Pole,Cloud,Event,Tree,Adaptation,Tradition,Ceremony,,,L TR DR,BB BB Beigi, Jun 2017
Lund_00953,Landmark,Mansion,Estate,Building,Architecture,Palace,Water,Tourism,Stately home,Château,Lundagérd,@ Thomas Kamph, Jun 2014
Lund_00683,Landmark,Building,Architecture,Town,Facade,City,Medieval architecture,Church,Sky,Cathedral,Lundagérd,< RN YR, Jun 2017
Lund_02764,Sky,Grass,Cloud,Team,Crowd,Recreation,Competition event,Mountain,Vehicle,Grassland,Klostergérdens IP,il VPN YT 1o o)), Jun 2018
Lund_02366,Land lot,Grass,Grassland,Pasture,Lawn,Rural area,Farm,Tree,Meadow,Recreation,Lunds Pistolklubb :,@ Jonas Ezzi, Jun 2016
Lund_01191,Estate,Building,Grass,Architecture,Mansion,Palace,Castle,Tree,Fortification,Historic site,Stadsparken,padma ravindran, Jun 2017
Lund_02088,Town,Building,Property,Human settlement,Mixed-use,Street,Neighbourhood,City,Cobblestone,Public space,Lundagérd,Q‘* Alexandra Balab:, Jun 2014
Lund_03136,Building,Architecture,Facade,Commercial building,Sky,Company,Corporate headquarters,Car,,,Rinnebéck Gorge,Miroslav Bobrik, Jun 2017
Lund_02613,Natural landscape,Grassland,Sky,Prairie,Natural environment,Meadow,Field,Grass,Pasture,Evening,L TR TR,\ARYIE T EEG RV ED, Jun 2018
Lund_01630,Building,Property,House,Architecture,Town,Home,Facade,Real estate,Estate,Window,Kulturen,(Z‘w Alexandra von Pe, Jun 2017
Lund_01333,Classical architecture,Building,Landmark,Architecture,Facade,Palace,City,Official residence,Seat of local government,Presidential palace,Lundagérd,(E SRS IR E RNt, Jun 2013
Lund_00605,Building,Landmark,Architecture,Property,Palace,Mansion,House,Estate,Facade,Official residence,Lundagérd,R N Y VBT e, Jun 2011
Lund_00937,Landmark,Estate,Building,Sky,Château,Architecture,Tree,Palace,Grass,Castle,Stadsparken ¢,f} Filipe Naif, Jun 2018
Lund_00671,Building,Estate,Palace,Architecture,Mansion,Property,Landmark,Official residence,Classical architecture,Stately home,Lundagérd ¢,@ Kiryl Shantyka, Jun 2017
Lund_02217,Water resources,Waterway,Water,River,Canal,Bank,Architecture,Tree,Watercourse,Sky,Killbybadet g,Gl Daniel Kretz, Jun 2017
Lund_03038,Road,Infrastructure,Sky,Asphalt,Land lot,Road surface,Thoroughfare,,,,MAX IV Laboratory,Florian Weissbac, Jun 2018
Lund_03164,Vegetation,Natural landscape,Nature,Nature reserve,Plant community,Wilderness,Biome,Natural environment,Riparian zone,Tree,Rinnebiéck Gorge,% Daniel Nilsson, Jun 2018
Lund_02013,Property,Building,House,Brick,Landmark,Roof,Brickwork,Home,Architecture,Real estate,Crafoord Auktioner i,Niklas Ljungkvist, Jun 2011
Lund_02046,Architecture,Building,Transport,Town,House,Vehicle,Facade,Tourism,City,Neighbourhood,Harrys,U André Malmgren, Jun 2018
Lund_02233,Building,Estate,Property,Manor house,Mansion,Stately home,Château,Architecture,Palace,House,Lundagérd,Manuel Barbosa, Jun 2017
Lund_03089,Fountain,Water,Water feature,Leisure,Water resources,Park,Fun,Recreation,Grass,Tree,Plaskedamm pa Klos,B Bengt Rosberg, Jun 2016
Lund_01007,Building,Medieval architecture,Architecture,Landmark,Church,Place of worship,Cathedral,Facade,Steeple,Spire,\/ | Vincenzo De Bert,\/ | Vincenzo De Bert, Jun 2017
Lund_01076,Building,Palace,Estate,Official residence,Architecture,Mansion,Stately home,Classical architecture,House,Presidential palace,Lundagérd,Stefanos Karidak, Jun 2017
Lund_00434,Building,Landmark,Estate,Palace,Property,Architecture,Stately home,Mansion,Official residence,City,Lund Cathedral,G Goran Wangenhe, Jun 2017
Lund_01381,Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park,Lundagérd,& Nikola Mladenov, Jun 2011
Lund_02772,Tree,Flag,Grass,Pole,Land lot,Woody plant,Plant,Park,Landscape,Lawn,,, Jun 2017
Lund_01144,Body of water,Waterway,Canal,River,Town,Property,Residential area,Human settlement,Bank,Neighbourhood,J. T,.}gg Genial Barani, Jun 2017
Lund_00246,Landmark,Building,Estate,Palace,Official residence,Mansion,Stately home,Presidential palace,Classical architecture,Architecture,Lundagérd 8,g NI LYo, Jun 2014
Lund_01906,Grassland,Sport venue,Land lot,Pasture,Grass,Plain,Grass family,Lawn,Meadow,Field,Sankt Hans Hill ¢,Jonas Lundin, Jun 2017
Lund_01379,Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park,Lundagérd,& Nikola Mladenov, Jun 2011
Lund_03182,Building,Mansion,Property,Estate,Landmark,House,Architecture,Palace,Home,Sky,Lundagérd,""" a, Pavlo Sviatnenkc", Jun 2018
Lund_02640,Grass,Competition event,Spring,Recreation,Physical fitness,Lawn,Summer,Leisure,Games,Park,Klostergérdens IP,il VPN YT 1o 3 (o)), Jun 2017
Lund_02941,Sky,Residential area,Land lot,Cloud,Road,Grass,Asphalt,Tree,Suburb,Sidewalk,Rabysjon och Raby s,S ) Senad Basic, Jun 2017
Lund_01731,Classical architecture,Architecture,Building,Landmark,Facade,City,Courthouse,Tourist attraction,Monument,Seat of local government,Lundagérd,@ Juca Felix Galino, Jun 2016
Lund_01905,Building,Property,Estate,Mansion,House,Architecture,Facade,Tree,Palace,Real estate,Lundagérd,@ Juca Felix Galino, Jun 2016
Lund_02837,Wall,Landmark,Medieval architecture,Sky,Historic site,Architecture,Building,Church,Tree,Place of worship,Klosterkyrkan ¢,& saad al saifi, Jun 2016
Lund_00337,Landmark,Estate,Mansion,Building,Architecture,Official residence,Stately home,Palace,Classical architecture,Presidential palace,Lundagérd,R ROSA TRULLOLS, Jun 2013
Lund_00528,Estate,Building,Property,Mansion,Palace,House,Château,Stately home,Architecture,Manor house,Lundagérd |,@ Mr.Roman Lak, Jun 2016
