a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02472,Sport venue,Stadium,Grass,Baseball field,Plain,Baseball park,Land lot,Grass family,Field,Plant,LELEITT RN {,ﬂ) Mr.Roman Lak, Apr 2017
Lund_00280,Castle,Property,Architecture,Building,Estate,Tree,Grass,Château,House,Stately home,Lundagérd,"%, Juliane Vigan6", Apr 2018
Lund_02400,Transport,Mode of transport,Architecture,Vehicle,Urban area,Building,City,Facade,Street,Bus stop,Linero pub & pizzeri,LR R EFA ¢, Apr 2018
Lund_02898,Town,Landmark,Building,Architecture,City,Human settlement,Street,Urban area,Town square,Sky,Lund Cathedral,M Magnus Zimmer, Apr 2018
Lund_02475,Natural landscape,Grassland,Pasture,Trail,Land lot,Road,Grass,Tree,Line,Rural area,Nobbelbvs mosse,g \) Emanuel Johans, Apr 2017
Lund_01633,Architecture,Building,Medieval architecture,Landmark,Classical architecture,Place of worship,Cathedral,Gothic architecture,Facade,Church,Lund Cathedral,Erik Sven Mauroy, Apr 2017
Lund_02812,Estate,Building,Mansion,Architecture,Landmark,Palace,Property,Stately home,Classical architecture,Sky,R LE O T,R LE O T, Apr 2017
Lund_01510,Medieval architecture,Landmark,Architecture,Building,Cathedral,Gothic architecture,Facade,Sky,Place of worship,Historic site,[T T o1 T 1T,Andrew K, Apr 2017
Lund_03160,Nature,Natural landscape,Water,Sky,Vegetation,Highland,Tree,Wilderness,Natural environment,Watercourse,HSB BRF Linero I Lui,9 Travel to, Apr 2017
Lund_02850,Landmark,Architecture,Building,Water,Sky,Estate,Mansion,Tree,Palace,Stately home,Botanical Garden,Jens Jgrgen Lykk, Apr 2018
Lund_02243,Sport venue,Stadium,Grass,Plain,Land lot,Field,Grass family,Baseball field,Grassland,Baseball park,Rabysjon och Raby s,ﬂ) Mr.Roman Lak, Apr 2017
Lund_01056,Water,Water resources,River,Reservoir,Natural environment,Bank,Sky,Lake,Bridge,Tree,[T ¢,. Sookyong Lee, Apr 2017
Lund_00865,Estate,Building,Palace,Mansion,Stately home,Château,Landmark,Property,Manor house,Official residence,Lundagérd,M Marita Schiren, Apr 2017
Lund_02302,Body of water,Water resources,Water,Natural landscape,Natural environment,Bank,Reservoir,Fen,Freshwater marsh,Floodplain,Nobbelovs mosse,",‘%, Shaon Mazi", Apr 2017
Lund_00635,Landmark,Architecture,Building,Medieval architecture,City,Facade,Tower,Cathedral,Steeple,Church,Lundagérd,@ 3Tl ), Apr 2018
Lund_02805,Landmark,Architecture,Building,Medieval architecture,Church,Facade,Classical architecture,Place of worship,Sky,Historic site,Beautiful view from *,R Robbert Biere, Apr 2017
Lund_02554,Natural landscape,Natural environment,Sky,Land lot,Grassland,Prairie,Plain,Ecoregion,Grass family,Road,[T 3,Q’ Ani Vera, Apr 2018 I
Lund_00102,Grassland,Land lot,Grass,Natural environment,Meadow,Pasture,Natural landscape,Road,Tree,Plain,[T G,% aysar Farman, Apr 2018
Lund_01538,Building,Architecture,Town,Sky,House,City,Facade,History,Street,Town square,Stadshall Lund,B Benoit Destrebec, Apr 2017
Lund_00355,Building,Estate,Property,Mansion,Château,Stately home,Manor house,Palace,Architecture,Historic house,Grand Hotel Lund,3‘ JY R T R, Apr 2017
