,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b
0,Building,55.0,Building,18.0,Building,108.0,Building,110.0,Building,212.0,Building,234.0,Building,350.0,Building,342,Building,249.0,Building,124.0,Architecture,18.0,Building,28.0
1,Architecture,53.0,Architecture,18.0,Architecture,104.0,Architecture,104.0,Architecture,202.0,Architecture,225.0,Architecture,324.0,Architecture,320,Architecture,233.0,Architecture,116.0,Building,18.0,Architecture,28.0
2,Landmark,31.0,Landmark,15.0,Landmark,70.0,Landmark,69.0,Landmark,133.0,Landmark,144.0,Landmark,211.0,Landmark,203,Landmark,135.0,Landmark,83.0,Landmark,11.0,Landmark,19.0
3,House,24.0,Tree,14.0,Estate,52.0,Sky,56.0,Sky,121.0,Estate,119.0,Estate,182.0,Estate,169,Estate,126.0,Sky,71.0,Sky,10.0,Sky,16.0
4,Tree,23.0,Estate,10.0,House,50.0,Estate,51.0,Estate,106.0,Sky,113.0,Sky,179.0,Property,160,Property,111.0,Tree,65.0,Facade,9.0,Tree,16.0
5,City,22.0,Mansion,10.0,Sky,48.0,Tree,50.0,Tree,105.0,House,106.0,Property,164.0,Sky,149,Sky,109.0,Estate,61.0,House,9.0,Town,14.0
6,Property,21.0,Sky,9.0,City,40.0,House,44.0,House,79.0,Property,99.0,House,157.0,House,146,House,100.0,Palace,46.0,Natural landscape,9.0,Medieval architecture,12.0
7,Medieval architecture,18.0,Natural landscape,8.0,Palace,38.0,Property,41.0,City,74.0,Palace,91.0,Tree,143.0,Mansion,126,Mansion,94.0,Property,45.0,Water,8.0,Church,11.0
8,Sky,17.0,Palace,8.0,Property,38.0,City,37.0,Grass,72.0,Mansion,91.0,Mansion,134.0,Tree,113,Palace,87.0,Mansion,45.0,Classical architecture,7.0,City,11.0
9,Facade,17.0,House,8.0,Mansion,36.0,Grass,36.0,Natural landscape,69.0,Tree,89.0,Palace,119.0,Palace,113,Stately home,80.0,House,44.0,River,7.0,Urban area,11.0
10,Town,16.0,Grass,8.0,Facade,36.0,Facade,35.0,Mansion,68.0,Facade,87.0,Facade,115.0,City,109,Tree,77.0,Classical architecture,37.0,Estate,7.0,Facade,10.0
11,Estate,15.0,Classical architecture,7.0,Tree,34.0,Stately home,35.0,Palace,66.0,Classical architecture,71.0,City,112.0,Facade,100,City,74.0,Stately home,36.0,Palace,7.0,House,9.0
12,Palace,13.0,Natural environment,7.0,Classical architecture,33.0,Palace,33.0,Property,65.0,Grass,69.0,Stately home,84.0,Stately home,96,Facade,67.0,Town,36.0,Nature,6.0,Place of worship,6.0
13,Mansion,13.0,Stately home,7.0,Town,29.0,Mansion,33.0,Garden,52.0,Stately home,63.0,Grass,83.0,Classical architecture,92,Classical architecture,57.0,Natural landscape,34.0,Water resources,6.0,Cathedral,6.0
14,Stately home,13.0,Facade,7.0,Stately home,25.0,Classical architecture,31.0,Spring,51.0,City,63.0,Town,83.0,Town,87,Grass,55.0,Grass,33.0,Waterway,6.0,Grass,6.0
15,Classical architecture,12.0,Water,6.0,Medieval architecture,18.0,Natural landscape,23.0,Stately home,49.0,Ch?teau,56.0,Classical architecture,83.0,Medieval architecture,77,Town,54.0,Medieval architecture,32.0,Medieval architecture,6.0,Property,6.0
16,Real estate,9.0,City,6.0,Ch?teau,17.0,Medieval architecture,23.0,Water,49.0,Town,53.0,Natural landscape,69.0,Church,65,Medieval architecture,51.0,Facade,31.0,Tree,6.0,Estate,5.0
17,Home,8.0,Official residence,6.0,Grass,13.0,Town,23.0,Botany,48.0,Official residence,50.0,Medieval architecture,67.0,Official residence,63,Ch?teau,47.0,City,29.0,Watercourse,6.0,Human settlement,5.0
18,Place of worship,8.0,Wetland,5.0,Winter,11.0,Ch?teau,20.0,Facade,47.0,Natural landscape,49.0,Official residence,62.0,Ch?teau,62,Official residence,46.0,Official residence,26.0,Body of water,5.0,Spire,5.0
19,Urban area,7.0,Land lot,4.0,Church,11.0,Church,18.0,Medieval architecture,46.0,Medieval architecture,48.0,Ch?teau,60.0,Grass,62,Church,45.0,Church,24.0,Mansion,5.0,Neighbourhood,5.0
20,Human settlement,7.0,Town,4.0,Official residence,10.0,Place of worship,17.0,Natural environment,46.0,Water,43.0,Church,57.0,Natural landscape,51,Place of worship,43.0,Ch?teau,24.0,Church,5.0,Classical architecture,4.0
21,Natural landscape,7.0,Road,4.0,Urban area,10.0,Water,17.0,Town,46.0,Church,38.0,Water,55.0,Human settlement,42,Natural landscape,33.0,Water,23.0,Stream,5.0,Brick,4.0
22,Land lot,6.0,Property,4.0,Home,9.0,Land lot,16.0,Plant,40.0,Natural environment,35.0,Garden,54.0,Place of worship,41,Cathedral,31.0,Leaf,21.0,Place of worship,5.0,Steeple,4.0
23,Grass,6.0,Pasture,4.0,Residential area,9.0,Official residence,16.0,Church,39.0,Place of worship,32.0,Botany,54.0,Home,39,Human settlement,30.0,Nature,21.0,Bank,4.0,Grassland,3.0
24,Water,6.0,Rural area,3.0,Neighbourhood,9.0,Cathedral,15.0,Place of worship,36.0,Garden,29.0,Place of worship,54.0,Manor house,39,Water,29.0,Cathedral,18.0,Grass,4.0,Natural environment,3.0
25,Winter,6.0,Waterway,3.0,Snow,9.0,Natural environment,13.0,Public space,35.0,Botany,29.0,Residential area,45.0,Water,38,Home,24.0,Natural environment,17.0,City,4.0,Waterway,3.0
26,Church,6.0,Winter,3.0,Historic house,8.0,Human settlement,12.0,Classical architecture,35.0,Grassland,28.0,Natural environment,45.0,Urban area,37,Historic site,23.0,Place of worship,17.0,Stately home,4.0,Road,3.0
27,Rural area,6.0,Cloud,3.0,Cathedral,8.0,Spring,11.0,Human settlement,32.0,Cathedral,27.0,Home,45.0,Cathedral,36,Public space,22.0,Garden,16.0,Wall,4.0,Tower,3.0
28,Ch?teau,6.0,Ch?teau,2.0,Place of worship,8.0,Road,11.0,Ch?teau,32.0,Nature,26.0,Human settlement,44.0,Residential area,32,Neighbourhood,21.0,Neighbourhood,15.0,Natural environment,3.0,Street,3.0
29,Public space,5.0,Atmospheric phenomenon,2.0,Public space,8.0,Bank,11.0,Grassland,31.0,Real estate,25.0,Cathedral,42.0,Real estate,31,Tower,19.0,Bank,15.0,Property,3.0,Historic site,3.0
30,Tourism,5.0,Field,2.0,Manor house,7.0,Urban area,11.0,Nature,29.0,Cloud,25.0,Neighbourhood,42.0,Garden,31,Real estate,19.0,Urban area,14.0,Ch?teau,3.0,Natural landscape,3.0
