[English],54,16,,5,5 days ago ,Great summer destination and fall walks,"Washington, DC, United States",The park is beautiful during any season but especially for a summer picnic. Coffee or a bottle of wine with cheese and a blanket was what we did when I was young. Still go there whenever I visit Lund.
[English],54,108,8,5,4 weeks ago ,A place to relax and reflect in the city.,"Modena, Italy",A place to relax and reflect in the city. Only 500 meter from the center. Always full of life. On café and one restaurant.
[English],54,3,,4,"October 3, 2018 ",Stadsparken for families,"Lund, Sweden","Stadsparken is a nice place for families, There is a big playground for children. Next to the park is also a big indoors swimmingpool."
[English],54,302,62,4,"October 3, 2018 ","Lovely park , especially for children, with ducks to feed!","Diani Beach, Kenya","A well maitained child friendly park, good for picnics, feeding the ducks and swans.  It is nce to walk around and then stop at one of the many places to sit and read or play with the children."
[English],54,420,229,4,"October 3, 2018 ",Nice park to visit when the weather is right.,,Stadsparken is a nice park near the city center. Bigger than the botanical garden and it's nice to stroll around or take a run. When the weather is nice you'll see alot of people hanging out here. It is a nice park but nothing more...More
[English],54,12,2,3,"September 6, 2018 ",Botaniska trädgården is much better - and free,"Lund, Sweden","A normal park, a bit gloomy. If I only had time for one park in Lund, I would definitely pick the Botanical Gardens."
[English],54,312,123,5,"September 6, 2018 ",Great Park for walking with beautiful scenery,"Zaventem, Belgium","We arrived by accident here slightly lost so decided to take a walk through the park.  It was great to see groups of students working on their running skills, the plants and grass were well taken care of and the fountains were lovely to look...More"
[English],54,2,,5,"August 27, 2018 ",Wonderful park,"Lund, Sweden","Really nice place to relax or do some exercise. You can do skateboarding or jogging,play beachvolleyball or go to outdoor gym. There is really nice playground for younger kids. Beautiful pond with birds and green trees."
[English],54,684,143,4,"August 26, 2018 ",Great park,"Kingston-upon-Hull, United Kingdom","This park was great! I loved walking around and exploring all the aspects that the park had to offer. There were loads of other people using the park. The pond was great, and used by loads of ducks. Lots to do for children and adults...More"
[English],54,178,22,5,"August 8, 2018 ",Small but jam packed with activities,"Lund, Sweden","We recently took a friend from out of town to see the town park. He was amazed at the diversity of activities and quiet space people can enjoy. People were using the outdoor skatepark, outdoor gym, villeyball courts, groups were having a boule tournament and...More"
[English],54,3,1,5,"June 18, 2018 ",Great place for young children,,"Kids can be kids here, running, jumping and climbing. My children love going here for some outdoor fun."
[English],54,6,3,5,"June 18, 2018 ",Family and children ,,"The park is clean and well-kept up. The playground has lots of different fun items for children. The cafe is nice, but unorganized and under-staffed."
[English],54,56,11,4,"May 24, 2018 ",Good and quiet place,,"Nice place fo relaxing over the grass field, take a walk, run, ride bike, or play Pokémon.

Is close to the Centralstation."
[English],54,81,3,5,"April 2, 2018 ",this park is amazing ,"Lund, Sweden",one of the absolute best experiance in Lund. Go her snd just enjoy the sunshine in the nice spring. This is for sure the best park in lund
[English],54,106,48,4,"December 6, 2017 ",Nice park with good play areas for children,"Lund, Sweden",This is a good big park in the city that has lots of green space and gardens to enjoy. There is are some good play areas for children with lots of equipment. There is a nice fountain in summer. As with all things that are...More
[English],54,646,116,4,"October 20, 2017 ",When you like the nature,"Istanbul, Turkey","If you are in the nature and green and environment, please spend some time at the Stadsparken. You will not regret"
[English],54,36,4,4,"September 7, 2017 ",Perfect for activities!,"Lund, Sweden","Volleyball, sun spotting, skateboarding, slack libeling, bouldering, boul, kids, parkour or other activities!"
[English],54,22,,3,"August 8, 2017 ",The city park of Lund,"Lund, Sweden",It is a largish park for the size of the city. There are areas that student congregate on for mating displays and picknicks. A climbing boulder has been erected at the south end with a rather impressive skatepark attached. In spring the beds are lovely...More
[English],54,4,3,5,"July 29, 2017 ",Great place for the family!,"Lund, Sweden","Stadsparken is one of our favorite places to go. There's a huge playground for kids of all ages, plenty of seating for picnics and grilling out, several gardens, a fountain, running trails, rock climbing, frequent festivals and events, an aviary, and public bathrooms! I love...More"
[English],54,5,3,5,"July 11, 2017 ",Great swimming pool!,,"My grandchildren say this is ""the best swimming pool in the world""!! The adventure pool is certainly worth a visit. The park itself is extensive and has some bird display."
[English],54,62,10,5,"July 7, 2017 ",Definitely a must-visit place!,Sweden,I did my research project in here for a few months with the municipality of Lund. It was more of a fun and relaxing project because of the location. I met lots of Swedes who were so nice and willingly to help me with the...More
[English],54,163,40,4,"April 12, 2017 ",red squirrels and ducks,"Glasgow, United Kingdom",Nice park where families walk. For a UK resident always pleasant to see a red squirral close up cos there are not many left here. Ponds and ducks and goldfish abound. Walked back to town through here after a concert and it felt very safe
[English],54,14,6,4,"April 10, 2017 ",Something for everyone,"Lund, Sweden",If you have children there is an amazing playground and a climbing rock. For a bit older kids place for parcour and skateboards. Newly planted perennial boarders for flowerlovers and a café. Perfect for a summer sunday.
[English],54,347,107,4,"March 15, 2017 ",An oasis in the town,"Lund, Sweden",The park is beautiful and an oasis to stroll around and have picknicks. Just avoid to go there April 30 when more than 20000 youngsters are celebrating that spring has arrived. Unfortunately more or less drunk all of them. But all others days it s...More
[English],54,9,1,4,"December 19, 2016 ",The right night light,"Lund, Sweden",The park is a small but pleasant place at all hours and at any time of the year. Just adjust ambitions and wardrobe. I can recommend to go for a stroll during nighttime. The park has recently been improved with a new system for illumination....More
[English],54,55,27,5,"December 17, 2016 ",Lovely place in Lund - except for 30th April,Asia,"Just walk around, relax, and enjoy all times of the year.

A ""special"" experience is provided on 30th April every year (so called ""sista april"" in Swedish). Several thousand youth (more than 20,000 according to the police one year) - supposed to be mainly university...More"
[English],54,8,17,4,"December 8, 2016 ",Some thing for every one,"Lund, Sweden","Given the right weather, this is the ideal place to spend a couple of hours or a day. One can have a nice stroll, jog or exercise if you feel up to it, or picnic. Have a sit down on a bench or right on...More"
[English],54,88,13,5,"July 25, 2016 ",A perfect place to relax and enjoy your day,"Lund, Sweden","This is the perfect place to enjoy your day, you can walk around and have a nice stroll.
Have a sit in the park and enjoy the beauty off the surroundings, close to the inner city and yet a perfect place to enjoy and relax."
[English],54,91,12,4,"May 13, 2016 ",Best place to celebrate the king of Sweden,,Last of April every year tens of thousands of people get together in the park to celebrate the king of Sweden. Very nice park other days as well.
[English],54,22,6,5,"May 3, 2016 ",Great park with awesome playground!,"Jersey City, New Jersey","I took my 2.5-year-old here while visiting family in Lund. He went crazy for the amazing playground! It has lots of places to climb, slides, swings of all sorts ... There is even a trampoline area. I had to practically drag him away. The park...More"
[English],54,104,35,4,"April 28, 2016 ",Parklife,Sweden,This green oasis in central Lund is great for a run or picnic and there are always plenty of people around. The new playground is fabulous. Bring some food and let the kids run wild for an hour or two.
[English],54,42,5,5,"April 24, 2016 ",Good place,"Cotia, SP","Good place to walk in the spring! It is even better if you are there in April, when there will be lots of people drinking and having fun to celebrate the new season and the warmer weather!"
[English],54,21,4,4,"April 2, 2016 ",Nice place,Sweden,"clean, nice, family friendly, good with the cafe in the park, the negative is that there is no toilet in the park. wonderfully with the pond with birds that you can feed. good for picnics"
[English],54,15,3,4,"March 16, 2016 ",Live nearby,"Lund, Sweden","Walk pass it or around it on a daily basis. Soon there will be a nice skate park too. You can watch birds, there is a new playground for children. In the summer there is many events."
[English],54,11,,4,"March 15, 2016 ",Attractive City park,,"Great calm park, very popular during summer months. Also includes a huge child playground. In summertimes there are sometimes concerts. Also a nice restaurant"
[English],54,178,33,5,"March 7, 2016 ",An oasis in the town.,,"A beatiful and relaxing located in the central of Lund. A place that is suitable for a picnic, a quite stroll or a run. There is a small café/restaurant which can provide a snack or evening dinner or If you just want an ice cream...More"
[English],54,181,24,4,"February 24, 2016 ",Nice park in the middle of town,"Lund, Sweden","This place has something for everyone. Skate park, flowerbeds, birds and fishes to feed. A small restaurant as well as the biggest outdoor party of the year for students on april 30."
[English],54,22,22,5,"January 8, 2016 ",Very good playgrounds for kids and grown ups,"Lund, Sweden","I often take the kids to Stadsparken for the very good recently updated playground. There is also an open-air gym, boulder climbing and parcours for the more adventurous teenagers and grown ups. Highly recommended any day as long as it's not snow or raining."
[English],54,66,11,3,"November 14, 2015 ",Nice area for a stroll,"Stockholm, Sweden",Many students on the lawns and lots of birds in the small lake. During our visit there was a lot of parents with their children in the park.
[English],54,29,10,3,"October 26, 2015 ",city park,"Lund, Sweden","A nice park in the summer, nothing exceptional but restful and calm. There is a fairly good restaurant where you can have lunch or a cup of coffee."
[English],54,165,37,4,"October 13, 2015 ",Great place for a run or for kids to play,Denmark,Nice park near the center of Lund for a run.  There is a nice and new playground for kids as well as an area with excercise equipment.
[English],54,51,15,4,"October 11, 2015 ",Wonderful place,"Lund, Sweden","It is a huge wonderful place to have a walk or a run on a sunny day. Many events of Lund are organized at this place. It has a small region with caged birds for the kids to see. Also, a small lake to feed...More"
[English],54,47,10,5,"September 30, 2015 ",Nice place to relax and let the kids play for a while,,"Located close to the train station, the Park is an ideal place to let youngsters play in a very safe environment - also walking tours around the park are recommended. There is a restaurant/cafe there which is very good as well..."
[English],54,113,56,4,"September 29, 2015 ",A green spot of peace,Sweden,"Nice place, especially spring and summer. Great playgrounds for kids. Nice for them to feed the ducks in the pond. You can buy icecream and coffe. and just relax. A warning: the 30 of april it will be crowded. At least 15 000 students and...More"
[English],54,26,19,4,"September 6, 2015 ",Nice place for children and family in Lund,"Seoul, South Korea","Spacious and peaceful place to refresh yourself, also possible to satisfy your kids at the various playground in it... :)"
[English],54,26,10,5,"September 1, 2015 ",A quiet spot in the middle of the city,Sweden,"The Botanical Garden at Lund University is a must, especially during the spring/summer/fall period. The garden itself is beautiful, with an abundance of everything that grows....and entering the lawns for a picknick or just a rest in the shades is allowed! Don´t miss the exotic...More"
