index_ID,lan_long,place,author,date
Lund_00149,"55.7046601,13.1910073",@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_00150,"55.7046601,13.1910073",e Valeria Maciu,e Valeria Maciu, Mar 2018
Lund_00151,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00152,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00153,"55.7046601,13.1910073",. Poma KpaBueHK«,. Poma KpaBueHK«, May 2017
Lund_00154,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00155,"55.7046601,13.1910073",9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00156,"55.7046601,13.1910073",Lund,q} houzan suliman, Dec 2016
Lund_00157,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos,
Lund_00158,"55.7046601,13.1910073",' (&1 EY T,' (&1 EY T, Dec 2016
Lund_00159,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
Lund_00160,"55.7046601,13.1910073",A Andreas Nyberg,A Andreas Nyberg, Jul 2017
Lund_00161,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
Lund_00162,"55.7042905,13.1896038",O'Learys,\/ View360 Sweden,s_ Oct 2018
Lund_00163,"55.7035869,13.1937551",Lunds Kyrkliga Samf,(’E/ Joachim Wall -Sy,s_ Nov 2012
Lund_00164,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00165,"55.7046601,13.1910073",@ Lucia Fioravanti,@ Lucia Fioravanti, May 2017
Lund_00166,"55.7046601,13.1910073",e Saadiyah Darus,e Saadiyah Darus, Sep 2009
Lund_00167,"55.7046601,13.1910073",‘ CeBpanuHa [lyHi,‘ CeBpanuHa [lyHi, Dec 2016
Lund_00168,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00169,"55.7046601,13.1910073",@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_00170,"55.7046601,13.1910073",@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017
Lund_00171,"55.7046601,13.1910073",@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_00172,"55.7046601,13.1910073",‘i’) [N,‘i’) [N, Aug 2018
Lund_00173,"55.7046601,13.1910073",‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_00174,"55.7046601,13.1910073",. ling zhang,. ling zhang, Sep 2015
Lund_00175,"55.7046601,13.1910073",‘i’) [N,‘i’) [N, Aug 2018
Lund_00176,"55.7046601,13.1910073",,, Jul 2017
Lund_00177,"55.7046601,13.1910073",‘ CeBpanuna [yHi,‘ CeBpanuna [yHi, Dec 2016
Lund_00178,"55.7046601,13.1910073",DCIM\102MEDIA\DJ,Mohamed Elban, Oct 2017
Lund_00179,"55.7046601,13.1910073",‘i’) [N,‘i’) [N, Aug 2018
Lund_00180,"55.7046601,13.1910073",[T ¢,@ Mato Bo$njak, Aug 2016
Lund_00181,"55.7046601,13.1910073",Kristian og farmor i L,K Knut Haugen,
Lund_00182,"55.7043153,13.1897522",O'Learys,\/ View360 Sweden,s_ Oct 2018
Lund_00183,"55.7035457,13.1937621",Lunds Kyrkliga Samf,('Q'I) Joachim Wall -Sy,s_ Nov 2012
Lund_00184,"55.7046601,13.1910073",[T 8,a Diana Picus,
Lund_00185,"55.7046601,13.1910073",@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_00186,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00187,"55.7046601,13.1910073",Magle Konserthus,@ Hans Jirgen Klai, Sep 2018
Lund_00188,"55.7046601,13.1910073",l\i) Stana Minincic,l\i) Stana Minincic, May 2018
Lund_00189,"55.7046601,13.1910073",9 Sumeet Ranjan S,TRV EVR I g,
Lund_00190,"55.7046601,13.1910073",l\i) RIEUERNILT T,A G CLR Y EVRI K],
Lund_00191,"55.7046601,13.1910073",fbs Meghnath Saha,fbs Meghnath Saha, Sep 2016
Lund_00192,"55.7046601,13.1910073",‘ Janus sobrzezeje,Video - Sep 2018,
Lund_00193,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00194,"55.7046601,13.1910073",@ Amir Tehranopot,Video - Dec 2017,
Lund_00195,"55.7046601,13.1910073",‘ Janus sobrzezeje,Video - Sep 2018,
Lund_00196,"55.7046601,13.1910073",e Sumeet Ranjan S,e Sumeet Ranjan S, May 2017
Lund_00197,"55.7046601,13.1910073",Lund,@ Margaret Camille, Sep 2017
Lund_00198,"55.7046601,13.1910073",‘i’) [N,‘i’) [N, Aug 2018
Lund_00199,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00200,"55.7046601,13.1910073",Lund H,"‘@.""S Kamal Dayob", Mar 2018
Lund_00201,"55.7046601,13.1910073",[T 3,0 Krist Kogi,
Lund_00202,"55.6946229,13.2420971",(KL ETGR T ETY,\V View360 Sweder,s_ Jun 2017
Lund_00203,"55.7003937,13.1513844",9 Tomas Kulle,9 Tomas Kulle,s_ May 2015
Lund_00204,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00205,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00206,"55.7046601,13.1910073",™ Ratil Menéndez,TR 0],
Lund_00207,"55.7046601,13.1910073",9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00208,"55.7046601,13.1910073",0 Valeria Maciu,0 Valeria Maciu, Mar 2018
Lund_00209,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00210,"55.7046601,13.1910073",9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00211,"55.7046601,13.1910073",?3 Tomas Onofrej,?3 Tomas Onofrej, Sep 2015
Lund_00212,"55.7046601,13.1910073",,, Nov 2017
Lund_00213,"55.7046601,13.1910073",‘i’) [N,‘i’) [N, Aug 2018
Lund_00214,"55.7046601,13.1910073",[T 8,a Diana Picus, May 2017
Lund_00215,"55.7046601,13.1910073",[T 8,. uwe leinhos, Aug 2015
Lund_00216,"55.7046601,13.1910073",0 Valeria Maciu,0 Valeria Maciu, Mar 2018
Lund_00217,"55.7046601,13.1910073",Lund,"% e,", May 2016
Lund_00218,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00219,"55.7047847,13.1938413",Lundagérd,@ cissio Oliveira, Oct 2017
Lund_00220,"55.7047847,13.1938413",Lundagérd,T Terese Larsson E, Jul 2018
Lund_00221,"55.7047847,13.1938413",Lundagérd ¢,m ionel silvestru, Aug 2018
Lund_00222,"55.7042907,13.1896824",O'Learys,\/ View360 Sweder,s_ Oct 2018
Lund_00223,"55.7077578,13.17835",G) Per Bergstrand,G) Per Bergstrand,s_ Mar 2013
Lund_00224,"55.7047847,13.1938413",Lundagérd,@ cissio Oliveira, Oct 2017
Lund_00225,"55.7036757,13.1883242",Bantorget 8,Bantorget 8, Mar 2017
Lund_00226,"55.7041445,13.1932547",Lund Cathedral,Q Jonas Kirkegaart, Aug 2017
Lund_00227,"55.7047847,13.1938413",Lundagérd 9,A) Anna Riggio, Aug 2018
Lund_00228,"55.6972583,13.18703",Stadsparken ¢,Stadsparken ¢, Jun 2018
Lund_00229,"55.7050151,13.1932497",% William Térneber,% William Térneber, Apr 2018
Lund_00230,"55.7047847,13.1938413",Lundagérd c,@ Erik Olausson, Jun 2017
Lund_00231,"55.7119483,13.203493",[T T VT,%~ Juliane Vigan6, Apr 2018
Lund_00232,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00233,"55.7047847,13.1938413",Lundagérd,@ cissio Oliveira, Oct 2017
Lund_00234,"55.7047847,13.1938413",Lundagérd 9,Rudi Hayen, Jul 2014
Lund_00235,"55.7047847,13.1938413",Lundagérd,y Jonathan Howes, Apr 2017
Lund_00236,"55.7047847,13.1938413",Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00237,"55.7047847,13.1938413",Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00238,"55.7119483,13.203493",[TV T c,DI TG EELED),
Lund_00239,"55.7050151,13.1932497",R VSR,R VSR, Jul 2003
Lund_00240,"55.7047847,13.1938413",Lundagérd,m Zaydon Kamisi,
Lund_00241,"55.7119483,13.203493",[T T VT,L AL e, Sep 2018
Lund_00242,"55.7042743,13.1895656",O'Learys,\/ View360 Sweden,s_ Oct 2018
Lund_00243,"55.7041788,13.1858529",,,s_ May 2013
Lund_00244,"55.7047847,13.1938413",Lundagérd 9,€N Juan Piema, Jun 2018
Lund_00245,"55.7036757,13.1883242",Bantorget,‘ ManuTim Schiot,
Lund_00246,"55.7047847,13.1938413",Lundagérd 8,g NI LYo, Jun 2014
Lund_00247,"55.7047847,13.1938413",Lundagérd,% William Térneber, Apr 2018
Lund_00248,"55.7047847,13.1938413",Lundagérd 9,J) Javier Castro, May 2017
Lund_00249,"55.7036757,13.1883242",Bantorget 8,Bantorget 8, Mar 2017
Lund_00250,"55.7047847,13.1938413",Lundagérd,S Svetlana Sobolev,
Lund_00251,"55.7047847,13.1938413",Lundagérd 9,6 JAE SRR, Jul 2012
Lund_00252,"55.7119483,13.203493",LT TV HTET 1 T,(S VYA, Oct 2010
Lund_00253,"55.7038523,13.1890138",Grand Hotel Lund,K  Kristian Rigbolt, Aug 2016
Lund_00254,"55.7047847,13.1938413",Lundagérd 9,J Jaime Rios, Sep 2006
Lund_00255,"55.7047847,13.1938413",Lundagérd,D  Dominik Wojciec,
Lund_00256,"55.7038523,13.1890138",26/6/2016 8,& saad al saifi, Jun 2016
Lund_00257,"55.7041445,13.1932547",[T T o1 T T T,NI Kampfnase, Aug 2018
Lund_00258,"55.7036757,13.1883242",Bantorget 8,Bantorget 8, Mar 2017
Lund_00259,"55.7041445,13.1932547",[T L He 1 BT,& Timofei Muntean, Apr 2017
Lund_00260,"55.7047847,13.1938413",Lundagérd 8,@ Zhu Yanwei, Aug 2017
Lund_00261,"55.7047847,13.1938413",Lundagérd,S GEERS Wy, Aug 2018
Lund_00262,"55.704217,13.1896581",O'Learys,\/ View360 Sweden,s_ Oct 2018
Lund_00263,"55.6998329,13.1869373",Stadsparken,@ UIf Gustafsson,s_ Sep 2015
Lund_00264,"55.7089365,13.1971643",University Library |,(Q‘Q LIS, Jun 2018
Lund_00265,"55.7063669,13.190585",Underground Street |,Underground Street |, Jul 2017
Lund_00266,"55.7052796,13.1940377",Kungshuset,@ Carina Schilpzan, Aug 2017
Lund_00267,"55.7047847,13.1938413",Lundagérd 9,{DZ Arne Ayasrah, Jul 2014
Lund_00268,"55.7047847,13.1938413",Lundagérd,»@ Aktham Yousef, Jun 2018
Lund_00269,"55.7047847,13.1938413",Lundagérd,N WO Y G, May 2017
Lund_00270,"55.7044368,13.1930013",[T DT TN ET,6 Ask Gasi, Jun 2018
Lund_00271,"55.7047847,13.1938413",Lundagérd,E Eliot Montesino, May 2018
Lund_00272,"55.7047847,13.1938413",Lundagérd,=) Madelaine Sundk, May 2017
Lund_00273,"55.7047847,13.1938413",Lundagérd 9,i Rafael Lara, Jun 2011
Lund_00274,"55.7047847,13.1938413",Lundagérd 9,A Attila Csap6, Jul 2016
Lund_00275,"55.7047847,13.1938413",Lundagérd,g Per Pixel Peterss, Sep 2015
Lund_00276,"55.7227858,13.1897052",Sankt Hans Hill,g b Per Pixel Peterss, Jul 2015
Lund_00277,"55.7047847,13.1938413",Lundagérd,;&g peter kurnavka, Oct 2017
Lund_00278,"55.7038523,13.1890138",Grand Hotel Lund,6 IR DL,
Lund_00279,"55.7047847,13.1938413",Lundagérd ¢,ﬁg‘ Prabin Koirala, Jul 2017
Lund_00280,"55.7047847,13.1938413",Lundagérd,"%, Juliane Vigan6", Apr 2018
Lund_00281,"55.7050151,13.1932497",SAMSUNGCSC @,L ED R LT, May 2017
Lund_00282,"55.7043147,13.1897044",O'Learys,\/ View360 Sweder,s_ Oct 2018
Lund_00283,"55.7037735,13.193264",Dandelionentertainm,"‘5 , Hazhar Ghaderi",s_ Nov 2015
Lund_00284,"55.7038692,13.2033632",Botanical Garden,@ Hans Jirgen Klai, Sep 2018
Lund_00285,"55.7047847,13.1938413",Lundagérd 9,ﬂ.«’. Ben Pittoors, Jul 2018
Lund_00286,"55.7047847,13.1938413",Lundagérd ¢,C) Chris, Jul 2017
Lund_00287,"55.7047847,13.1938413",Lundagérd 8,'?- Balézs Szab6, May 2017
Lund_00288,"55.7051005,13.1956306",Akademiska Forenin,@ Jun Luo, Jun 2017
Lund_00289,"55.7041445,13.1932547",[T L He 1 BT,‘g) Bartosz Klukacze, Sep 2014
Lund_00290,"55.7047847,13.1938413",Lundagérd =,% Vesna Fati¢, May 2017
Lund_00291,"55.7047847,13.1938413",Lundagérd,f@ Maricela Christe, Jul 2017
Lund_00292,"55.7089365,13.1971643",University Library,(S VYA, Oct 2010
Lund_00293,"55.7047847,13.1938413",Lundagérd 9,= Norbert Derbl, Jul 2018
Lund_00294,"55.6972583,13.18703",Gamla observatoriet,@& ' Martin Ljungqvis, Mar 2017
Lund_00295,"55.7047847,13.1938413",Lundagérd,@ cissio Oliveira, Oct 2017
Lund_00296,"55.7047847,13.1938413",Lundagérd,ﬁg‘ Nicolds Lundin, May 2017
Lund_00297,"55.7041445,13.1932547",Lund Cathedral,Alexander Williar, Jul 2015
Lund_00298,"55.7050151,13.1932497",g’ Vladislav Juricky,g’ Vladislav Juricky, Aug 2013
Lund_00299,"55.7041445,13.1932547",Lund Cathedral,&) otof Petrén Olau, Jul 2017
Lund_00300,"55.7067651,13.1869731",,, Jul 2015
