[English],8,357,107,4,4 weeks ago ,Nice place,"Lund, Sweden","Outside town located in the fantastic furniture shop Miljögarden. Lunch regional and seasonal, very tasty. Not crowded, you can talk to each other without problems"
[English],8,1,,5,"June 5, 2018 ",Ceo / Investor,,"I do not usually write at this pages - but when I heard about a lousy judgement on tripadvisor I just had to react. Annas Kök (Kitchen) is the place to go, when you expect high quality and friendly service. 

I rather bring my business-meetings...More"
[English],8,72,14,4,"April 12, 2018 ",Nice place for lunch.,"Lund, Sweden","We have been at Anna´s several times. we like their Wallenbergare and fishdishes. last time we had
Risotto with fish and seafood. very nice."
[English],8,44,5,5,"August 15, 2016 ",If it aint The food it gotta be The ladies,,"I Love when females Cook in a restaurant environment , especially big ladies 😍  , The food is excellent and the service is ......Wohoooo"
[English],8,5,5,4,"July 25, 2016 ",Great food ,"Roedby, Denmark","Been at Anna's several times during lunch hours, great food but sometimes very crowded and difficult to get the table."
[English],8,486,156,3,"March 18, 2016 ",Not worth the price and not much choice,"Lund, Sweden",I met a group of friends at Annas Kök for lunch.  The food is served cafeteria style but the prices are more than restaurants downtown where your food is served.  I had to wait in a long line and then sit at a table where...More
[English],8,62,36,4,"September 8, 2013 ",Very nice for lunch,"Cross Roads, Texas","I was really surprised to find such a nice lunch place inside a furniture store. While the store itself is very expensive, the restaurant I found to be very reasonable.  I could tell as soon as we walked in that this was a very popular...More"
[English],8,8,5,5,"September 20, 2012 ",Worth the ride,"Lund, Sweden","Although this small lunch restaurant is not in the town's center, if you are anywhere near Nova Lund, go to the large upscale furniture store Miljögården. There, in a corner, is a nice sophisticated restaurant serving food you would otherwise get for dinner in an...More"
[Swedish],21,51,20,4,2 weeks ago ,Fullträff,,"Verkligen supergod lunch. 
De senaste gångerna jag varit här har jag blivit riktigt besviken varje gång. Jag hoppas detta betyder...More"
[Swedish],21,257,42,5,"September 22, 2018 ",Mycket bra lunch,"Ahus, Sweden",Besöker Annas kök regelbundet och de har alltid bra lunch. Ligger nära Nova i möbelhuset Miljögården och är värt en...More
[Swedish],21,10,5,2,"June 29, 2018 ",Lunch,,"Långsam, ganska otrevlig och oengagerad personal. Åt dagens vegetariska som var en enda fettindränkt risottohög i djup tallrik med några...More"
[Swedish],21,4,,1,"June 26, 2018 ",Ät inte helgmenyn,"Lund, Sweden","Lördag mitt på dagen. Provade en helgmeny, caesarsallad 110 kr och vilthamburgare 165 kr. Förrättssoppan med kål var extremt salt,...More"
[Swedish],21,38,10,3,"June 12, 2018 ",Trevlig ställe (det ligger i en möbelaffär),"Lund, Sweden",Trevligt ställe för en god kaffe & kaga när man blivit lite matt efter en tur i möbelaffären (en del...More
[Swedish],21,1,,5,"June 8, 2018 ",Underbar lunch,"Lund, Sweden","Lunds bästa lunch, kommer flera gånger i veckan och äter. Idag serverades Black and White fläskfilé, inte dumt alls. Äter...More"
[Swedish],21,3,,1,"May 11, 2018 ",Hemsk lunch,Malmö,Ingen kul upplevelse. Först en helt för salt skaldjurssoppa i väntan på en hamburgare som lät lovande på menyn. Men...More
[Swedish],21,51,20,2,"April 6, 2018 ",Besviken två gånger på en vecka,,I tisdags var i alla fall smaken bra även om portionen var liten och mest bestod av kycklingskinn och en...More
[Swedish],21,138,17,3,"November 6, 2017 ",Bra lunch,"Markaryd, Sweden","Var på jakt efter lunch och antog att detta kunde vara endast butik, men så fel jag hade.
Sväng in...More"
[Swedish],21,78,29,5,"October 25, 2017 ",Gourmet lunch,Löberöd,"Har ätit lunch här sedan starten för snart 10 år sedan, varje gång jag har vägarna förbi...ibland kör jag en...More"
[Danish],1,7,6,1,"September 12, 2018 ",Værste club-sandwich nogensinde,"Copenhagen, Denmark","Der var bare fire MEGET små stykker kylling i den sandwich, jeg købte i dag. Desuden var sandwichen helt kold,...More"
