,languages,"[Chinese, (Sim.)]_Freq",[Danish]_Freq,[Dutch]_Freq,[English]_Freq,[Finnish]_Freq,[French]_Freq,[German]_Freq,[Italian]_Freq,[Japanese]_Freq,[Norwegian]_Freq,[Polish]_Freq,[Portuguese]_Freq,[Russian]_Freq,[Spanish]_Freq,[Swedish]_Freq,[Turkish]_Freq
0,"[Chinese, (Sim.)]_Freq",1.0,0.0,0.03418559364298467,0.0,0.0,0.10308182893962681,0.0,0.1069652031291912,0.11756247295794844,0.011531512151587646,0.029976327085715408,0.013944730660789285,0.022652004766421385,0.0,0.0,0.10310629867020533
1,[Danish]_Freq,0.0,1.0,0.0,0.535384656402497,0.3317791901553103,0.33034919380775685,0.011775465646767777,0.3299941234261824,0.18692893703011643,0.011043304685211312,0.21448032122072516,0.6387267490665076,0.019036878083850583,0.4275290398769915,0.045800553271843784,0.03656566250101194
2,[Dutch]_Freq,0.03418559364298467,0.0,1.0000000000000002,0.2320319669701324,0.3470033460557519,0.056445974614453186,0.5681298458187652,0.13306017908516218,0.14114408601351797,0.28555155933473214,0.14405693644370518,0.10547603486971605,0.14364196629963272,0.13067422595754188,0.3894955690987237,0.2915940329927118
3,[English]_Freq,0.0,0.535384656402497,0.2320319669701324,1.0000000000000002,0.10050923480707005,0.006295956600760268,0.3480076922200041,0.03762443201464228,0.2007515034158325,0.11374661027398372,0.10444044082205768,0.5620229703692889,0.060601223922108136,0.561817383840413,0.174310106543827,0.14536823249177863
4,[Finnish]_Freq,0.0,0.3317791901553103,0.3470033460557519,0.10050923480707005,1.0000000000000002,0.3354741830078727,0.23088128115546921,0.3923179835294909,0.0,0.2003709198219547,0.21518542270074398,0.24616977804501572,0.20105418425760702,0.1554760026712032,0.02215529662996486,0.2430472189244121
5,[French]_Freq,0.10308182893962681,0.33034919380775685,0.056445974614453186,0.006295956600760268,0.3354741830078727,1.0,0.0,0.47661794496699034,0.02117804911970139,0.04246487118454141,0.2854745925115589,0.19943037865164348,0.32532404373429363,0.01795254685701829,0.0,0.25827653674156553
6,[German]_Freq,0.0,0.011775465646767777,0.5681298458187652,0.3480076922200041,0.23088128115546921,0.0,1.0,0.0,0.0,0.19775361432954616,0.08308449339287712,0.20356115463304744,0.0301884940616912,0.10685100863765556,0.45156936191801306,0.0767680803678359
7,[Italian]_Freq,0.1069652031291912,0.3299941234261824,0.13306017908516218,0.03762443201464228,0.3923179835294909,0.47661794496699034,0.0,0.9999999999999998,0.054931818015159936,0.07606663336611313,0.24315682456783286,0.15613278684090828,0.32603272087757823,0.0,0.004383966859893809,0.4127432272622445
8,[Japanese]_Freq,0.11756247295794844,0.18692893703011643,0.14114408601351797,0.2007515034158325,0.0,0.02117804911970139,0.0,0.054931818015159936,0.9999999999999999,0.120476998733625,0.1926360315516184,0.2440124425008918,0.04659215748676831,0.29513479950289806,0.08107807731538143,0.0
9,[Norwegian]_Freq,0.011531512151587646,0.011043304685211312,0.28555155933473214,0.11374661027398372,0.2003709198219547,0.04246487118454141,0.19775361432954616,0.07606663336611313,0.120476998733625,1.0000000000000002,0.19188808750878003,0.0257469754692687,0.11239248614760061,0.20282270638063307,0.0,0.14066087242301994
10,[Polish]_Freq,0.029976327085715408,0.21448032122072516,0.14405693644370518,0.10444044082205768,0.21518542270074398,0.2854745925115589,0.08308449339287712,0.24315682456783286,0.1926360315516184,0.19188808750878003,0.9999999999999999,0.20118557569712273,0.2700870708142644,0.09134032640575972,0.12252584718473741,0.19545798402345113
11,[Portuguese]_Freq,0.013944730660789285,0.6387267490665076,0.10547603486971605,0.5620229703692889,0.24616977804501572,0.19943037865164348,0.20356115463304744,0.15613278684090828,0.2440124425008918,0.0257469754692687,0.20118557569712273,0.9999999999999999,0.05887610070756034,0.37462256742563727,0.14661227892948833,0.1326185758999773
12,[Russian]_Freq,0.022652004766421385,0.019036878083850583,0.14364196629963272,0.060601223922108136,0.20105418425760702,0.32532404373429363,0.0301884940616912,0.32603272087757823,0.04659215748676831,0.11239248614760061,0.2700870708142644,0.05887610070756034,0.9999999999999998,0.0,0.03184468264827927,0.3746563993509095
13,[Spanish]_Freq,0.0,0.4275290398769915,0.13067422595754188,0.561817383840413,0.1554760026712032,0.01795254685701829,0.10685100863765556,0.0,0.29513479950289806,0.20282270638063307,0.09134032640575972,0.37462256742563727,0.0,0.9999999999999999,0.1585744681247117,0.025418828433702304
14,[Swedish]_Freq,0.0,0.045800553271843784,0.3894955690987237,0.174310106543827,0.02215529662996486,0.0,0.45156936191801306,0.004383966859893809,0.08107807731538143,0.0,0.12252584718473741,0.14661227892948833,0.03184468264827927,0.1585744681247117,1.0,0.0
15,[Turkish]_Freq,0.10310629867020533,0.03656566250101194,0.2915940329927118,0.14536823249177863,0.2430472189244121,0.25827653674156553,0.0767680803678359,0.4127432272622445,0.0,0.14066087242301994,0.19545798402345113,0.1326185758999773,0.3746563993509095,0.025418828433702304,0.0,1.0
