,languages,"[Chinese, (Sim.)]_Freq",[Danish]_Freq,[Dutch]_Freq,[English]_Freq,[Finnish]_Freq,[French]_Freq,[German]_Freq,[Italian]_Freq,[Japanese]_Freq,[Norwegian]_Freq,[Polish]_Freq,[Portuguese]_Freq,[Russian]_Freq,[Spanish]_Freq,[Swedish]_Freq,[Turkish]_Freq
0,"[Chinese, (Sim.)]_Freq",1.0,0.045845266143934964,0.12620358123807768,0.0,0.011549076227778263,0.5614314435917298,0.004361196568201175,0.004599979711045597,0.0,0.07915276468910563,0.0,0.26716852966487176,0.0,0.017036459497917992,0.007821157218858158,0.06794631345926226
1,[Danish]_Freq,0.045845266143934964,1.0,0.15445864284751992,0.0,0.0,0.0,0.0,0.012563682119860363,0.09566616322048635,0.054090409252099604,0.0,0.01141184370090783,0.0,0.0,0.0,0.0
2,[Dutch]_Freq,0.12620358123807768,0.15445864284751992,1.0000000000000002,0.0,0.0,0.009645443293637115,0.06481422665771806,0.0,0.08886863043784123,0.0,0.0,0.0,0.0,0.06952317993906044,0.0,0.21503155419372316
3,[English]_Freq,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,[Finnish]_Freq,0.011549076227778263,0.0,0.0,0.0,0.9999999999999999,0.2316552500980325,0.0,0.0,0.06368185834028138,0.0,0.2538982482466994,0.17235407981211096,0.0,0.0,0.0,0.2507793753799612
5,[French]_Freq,0.5614314435917298,0.0,0.009645443293637115,0.0,0.2316552500980325,1.0,0.0,0.007176808458844633,0.0007699427316544508,0.009884054706272342,0.14905342347294015,0.2001061657112869,0.0,0.0,0.0,0.12532082527629576
6,[German]_Freq,0.004361196568201175,0.0,0.06481422665771806,0.0,0.0,0.0,1.0,0.1966214132988191,0.023868703329982685,0.0,0.05807036312931019,0.0,0.0,0.016979000322663935,0.6779020263857294,0.0
7,[Italian]_Freq,0.004599979711045597,0.012563682119860363,0.0,0.0,0.0,0.007176808458844633,0.1966214132988191,1.0,0.0,0.007541770240866012,0.0,0.0,0.015273697166127618,0.0,0.2268630804087818,0.030356869599392936
8,[Japanese]_Freq,0.0,0.09566616322048635,0.08886863043784123,0.0,0.06368185834028138,0.0007699427316544508,0.023868703329982685,0.0,1.0000000000000002,0.13896900445941002,0.25139539346443845,0.0,0.1516951997941308,0.11778845183827662,0.0,0.0
9,[Norwegian]_Freq,0.07915276468910563,0.054090409252099604,0.0,0.0,0.0,0.009884054706272342,0.0,0.007541770240866012,0.13896900445941002,0.9999999999999999,0.0,0.09545467527467208,0.0,0.17560483354630463,0.0,0.0
10,[Polish]_Freq,0.0,0.0,0.0,0.0,0.2538982482466994,0.14905342347294015,0.05807036312931019,0.0,0.25139539346443845,0.0,0.9999999999999998,0.12279722174303138,0.10073431828786233,0.23607091928905974,0.0,0.18772692919812126
11,[Portuguese]_Freq,0.26716852966487176,0.01141184370090783,0.0,0.0,0.17235407981211096,0.2001061657112869,0.0,0.0,0.0,0.09545467527467208,0.12279722174303138,1.0,0.0,0.1455840333236324,0.0,0.19397815797650003
12,[Russian]_Freq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015273697166127618,0.1516951997941308,0.0,0.10073431828786233,0.0,0.9999999999999999,0.0,0.0,0.0
13,[Spanish]_Freq,0.017036459497917992,0.0,0.06952317993906044,0.0,0.0,0.0,0.016979000322663935,0.0,0.11778845183827662,0.17560483354630463,0.23607091928905974,0.1455840333236324,0.0,1.0,0.0,0.2614868721218237
14,[Swedish]_Freq,0.007821157218858158,0.0,0.0,0.0,0.0,0.0,0.6779020263857294,0.2268630804087818,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0
15,[Turkish]_Freq,0.06794631345926226,0.0,0.21503155419372316,0.0,0.2507793753799612,0.12532082527629576,0.0,0.030356869599392936,0.0,0.0,0.18772692919812126,0.19397815797650003,0.0,0.2614868721218237,0.0,1.0
