review language,rating_csore_mean,basic_sentiment_text_mean,basic_sentiment_title_mean,author_contributions_mean,author_votes_mean,language1,count
[Arabic],5.0,0.270666666667,0.2,127.0,6.0,[Arabic],1
"[Chinese, (Sim.)]",4.219512195121951,0.4098688100517243,0.4076829268292195,38.10344827586207,14.85,"[Chinese, (Sim.)]",41
"[Chinese, (Trad.)]",3.0,0.5,-0.04583333333330001,1150.0,187.0,"[Chinese, (Trad.)]",1
[Danish],4.161616161616162,0.3638885552245239,0.4224871270704618,65.79292929292929,23.84795321637427,[Danish],198
[Dutch],4.137931034482759,0.362910724811581,0.4224952107279724,54.58620689655172,15.18,[Dutch],58
[English],4.073941562313657,0.3327862333787293,0.3955697719524099,80.88631578947368,33.54091064703869,[English],3354
[Finnish],3.5,0.33673611111116664,0.16666666666666666,39.0,9.8,[Finnish],6
[French],4.222222222222221,0.35742765702661106,0.3619444444444444,93.70833333333331,43.82089552238807,[French],72
[German],4.44,0.3876853332646232,0.366897142857136,79.28,27.2051282051282,[German],125
[Greek],4.0,0.34400000000000003,0.0,14.0,16.0,[Greek],3
[Italian],4.060109289617486,0.3746573153875049,0.3536205438459565,196.10382513661202,59.674157303370784,[Italian],183
[Japanese],4.075,0.3169491777319525,0.28015625,151.35,38.78947368421053,[Japanese],40
[Norwegian],4.25,0.414498889065,0.395652777777775,47.78846153846154,12.617647058823529,[Norwegian],52
[Polish],4.285714285714286,0.3372976190477143,0.37857142857142856,57.28571428571429,31.0,[Polish],7
[Portuguese],4.393939393939394,0.4507050665383636,0.5008562901744847,68.72727272727273,22.59375,[Portuguese],33
[Russian],4.257142857142857,0.3915156506191886,0.35631746031745715,103.14285714285714,55.12903225806453,[Russian],35
[Serbian],5.0,0.303571428571,0.675,46.0,7.0,[Serbian],1
[Spanish],3.975609756097561,0.3077923441734716,0.545697831978317,135.3658536585366,48.97435897435897,[Spanish],41
[Swedish],3.9628438728117183,0.36137712701674496,0.32176714106111376,52.15802645691814,16.845349597037682,[Swedish],5598
[Turkish],3.4,0.3745238095238,0.015000000000000003,56.4,43.6,[Turkish],5
[],4.75,0.37760416666675,0.7025,7.75,3.25,[],4
