"[Chinese, (Sim.)]",10,,,4,4 days ago ,非常好,,冬天的晚上临时找到这家店，烤猪排和炒米粉...More
"[Chinese, (Sim.)]",10,10.0,1.0,3,"August 16, 2017 ",环境好，贵,"Sliema, Malta",第一次去吃的时候很惊艳。昨天一起去的五个...More
"[Chinese, (Sim.)]",10,,,5,"August 24, 2017 ",亚洲风味的美食,,来隆德一个星期了，吃了一个星期的牛排汉堡...More
"[Chinese, (Sim.)]",10,14.0,9.0,5,"December 28, 2015 ",在德隆很棒的泰国菜,"Lund, Sweden",在ishiri我喜欢的食物太多了，一个月...More
"[Chinese, (Sim.)]",10,3.0,4.0,5,"January 29, 2016 ",很棒的一个餐馆！,"Lund, Sweden",我们真的非常喜欢Ihsiri！这里的食物...More
"[Chinese, (Sim.)]",10,122.0,41.0,4,"November 13, 2015 ",亚洲风味,"Jodoigne, Belgium",因为靠近宾馆，我们才来到这里。职员英语讲...More
"[Chinese, (Sim.)]",10,1.0,,5,"October 18, 2015 ",隆德超赞的一家餐厅,,我去过Ihsiri这家餐厅好几次，每次都...More
"[Chinese, (Sim.)]",10,3.0,1.0,5,"October 23, 2015 ",隆德的一家很棒的餐厅,,我们在这个餐厅庆祝我最小的女儿找到了新工...More
"[Chinese, (Sim.)]",10,,,5,"October 24, 2016 ",Original flavor and nice place,,比较正宗的泰国菜，口味和用材都很不错。环...More
"[Chinese, (Sim.)]",10,6.0,,5,"September 10, 2017 ",味道一如既往的好,,点了午餐的砂锅虾，味道很喜欢。另外一道肉...More
[Danish],5,279.0,179.0,5,"February 17, 2017 ",Utrolig lækker! ,"Aabenraa, Denmark","Vi havde bestilt bord til seks personer og blev placeret i en stue for sig, hvor det var muligt at...More"
[Danish],5,112.0,80.0,5,"January 28, 2018 ",Dejlig frokost - sind mad ,Copenhagen,"Vi spiste rigtig dejlig mad her - zucchini nudler , forårsruller med urter og andre lækre ting . Super godt...More"
[Danish],5,54.0,2.0,3,"June 5, 2018 ",Aftensmad,"Kolding, Denmark","Vi fik andebryst og det var ok, men ikke den store oplevelse. Det er smagt bedre. Prisniveauet højt."
[Danish],5,22.0,,4,"May 20, 2017 ",Maden og vejret redder de 3 stjerner op på 4 stjerner,"Lilleroed, Denmark",Vi ankom til restauranten i rimelig tid inden vores bordbestilling kl. 19. Vi blev placeret på det sidste bord blandt...More
[Danish],5,68.0,5.0,4,"September 2, 2017 ",Velsmagende asiatiske retter,"Bagsvaerd, Denmark","Det tilbydes inden- og udendørs siddepladser hos Ihsiri og alt at dømme så er den også velbesøgt. 

De laver dejlige...More"
[Dutch],2,27.0,3.0,4,"April 20, 2016 ",Goede Aziatische keuken,,"Ik heb hier op een zakenreis alleen gegeten. Het is een vriendelijk restaurant, gezellig met een aardige bediening. Het eten...More"
[Dutch],2,5.0,,5,"August 15, 2018 ",Leuke restaurant en prima eten,,"Met familie hier gegeten. Vriendelijke attente bediening. We hadden een tafel in de binnentuin, een aanrader. De menukaart biedt heerlijke...More"
[English],157,2.0,,5,"April 11, 2017 ",Great meal at a reasonable price with great service,"Boston, Massachusetts",Ate here last night and it was awesome. I was notified upon arrival that a very large group was just seating and I would find my food delivery times more acceptable if I were relatively prompt about deciding what I wanted. I was. Service was...More
[English],157,47.0,34.0,5,"April 15, 2017 ",The best in Lund,"La Spezia, Italy",I been there three times and I have always enjoyed a tasty good dinner. The best has been a business dinner with 10 colleagues. They served us a mix of the best dishes in the menu. The soup with zucchini noodles and the salmon are...More
[English],157,1.0,,5,"April 18, 2017 ",Delicious fusion ribs! ,,Very cute and comfortable atmosphere. The food is top notch. Creative fusion food and good service. Highly recommend getting a reservation to make sure you get a table or come for early dinner.
[English],157,202.0,54.0,4,"April 18, 2018 ",Nice meal at centre of Lund,"Bali, Indonesia",Come here for the lunch based on recommendation of a friend. Food is quite nice. Got their lunch menu of the day. Is nice and reasonable price. The decor of the place is very nice. Toilet also equip with baby pampers.... a bit suprise...
[English],157,77.0,38.0,5,"April 23, 2017 ","Yummy food, nice atmosphere","Berlin, Germany","Excellent food. Fully booked all evenings so hard to get a reservation at dinnertime, but we went for lunch and it was great. The lunch menu is nice (esp the noodle bowls) and the à la carte selection is even better. The sides are not...More"
[English],157,41.0,12.0,4,"April 28, 2015 ",Exciting flavours to reasonable prices,"Lund, Sweden","Me and my husband found this little restaurang to serve inventive and quality Asian dishes exactly to our taste, all in a very nice atmosphere."
[English],157,12.0,9.0,4,"April 28, 2015 ",Honest Thai,"Lund, Sweden","Cooked with care and top produce!
Delicious. We had lunch; somewhat pricy but worth it! Don't miss mango sticky rice for desert!"
[English],157,75.0,50.0,4,"April 8, 2016 ",Struggled a Little With the Food. ,,"I should say at the outset that I wasn't feeling great when I visited Ihsiri. I was over tired because of a lot of travelling on that day. 
The first thing to say is that the staff are friendly, enthusiastic and professional. I hadn't made...More"
