"[Chinese, (Sim.)]",6,2,,5,2 weeks ago ,鹿肉排很赞,,主菜点了鹿肉排，甜点的冰淇淋怪怪的，感觉...More
"[Chinese, (Sim.)]",6,2,,5,2 weeks ago ,鹿肉排很赞,,主菜点了鹿肉排，甜点的冰淇淋怪怪的，感觉...More
"[Chinese, (Sim.)]",6,10,1.0,2,"August 16, 2017 ",大失所望,"Sliema, Malta",几年前偶然吃过一次他们的dagens，印...More
"[Chinese, (Sim.)]",6,10,1.0,2,"August 16, 2017 ",大失所望,"Sliema, Malta",几年前偶然吃过一次他们的dagens，印...More
"[Chinese, (Sim.)]",6,52,38.0,5,"December 12, 2015 ",一流水准,"Lund, Sweden",这绝对是当今隆德最棒的饭店了。食物和环境...More
"[Chinese, (Sim.)]",6,52,38.0,5,"December 12, 2015 ",一流水准,"Lund, Sweden",这绝对是当今隆德最棒的饭店了。食物和环境...More
"[Chinese, (Sim.)]",6,181,24.0,4,"December 15, 2015 ",很棒的传统瑞典菜还有配套的一流的酒吧,"Lund, Sweden",这是一家很适合吃午餐的餐馆当然还有晚餐。...More
"[Chinese, (Sim.)]",6,181,24.0,4,"December 15, 2015 ",很棒的传统瑞典菜还有配套的一流的酒吧,"Lund, Sweden",这是一家很适合吃午餐的餐馆当然还有晚餐。...More
"[Chinese, (Sim.)]",6,28,9.0,5,"November 18, 2015 ",隆德最美味的食物,"Paris, France",这家餐馆的食物十分出色，店里的装饰、服务...More
"[Chinese, (Sim.)]",6,28,9.0,5,"November 18, 2015 ",隆德最美味的食物,"Paris, France",这家餐馆的食物十分出色，店里的装饰、服务...More
"[Chinese, (Sim.)]",6,40,5.0,4,"November 26, 2015 ",愉快的体验,"Stockholm, Sweden",食物美味，不过价格昂贵。我点了羊羔肉，烹...More
"[Chinese, (Sim.)]",6,40,5.0,4,"November 26, 2015 ",愉快的体验,"Stockholm, Sweden",食物美味，不过价格昂贵。我点了羊羔肉，烹...More
[Danish],8,83,47.0,4,"December 17, 2014 ",Super dejligt sted og mad,,Vi kom forbi en sommerdag og de har perfekt trædække man kan sidde ude og spise ved.. Flot udsigt over...More
