Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
3,Lund_02600,Tree,Green,Property,Residential area,Road,Public space,Daytime,Grass,Asphalt,Woody plant,Lund 9,@ David Bjarup, Oct 2016
8,Lund_01805,Sky,Property,Estate,Landmark,House,Architecture,Building,Grass,Cloud,Home,Stadsparken,Alexandre Smirn, Oct 2017
24,Lund_02634,Natural landscape,Nature,Leaf,Tree,Vegetation,Reflection,Pond,Autumn,Garden,Plant,Botanical Garden,ka Dennis Frank, Oct 2018
57,Lund_00962,Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,Architecture,Manor house,Lundagérd,A) Arulselvi Selvaraj, Oct 2015
71,Lund_02170,Building,Property,Architecture,Landmark,Grass,Estate,Stately home,Facade,Tree,Mansion,Historiska museet vi,Simius Taaravare, Oct 2016
81,Lund_01025,Landmark,Architecture,Sky,Building,Church,Town,Medieval architecture,Steeple,Place of worship,City,Lund Cathedral {,J Jason Chaikin, Oct 2016
91,Lund_02466,Brick,Property,Landmark,Architecture,Building,Brickwork,Wall,Sky,House,Tree,Lundagérd ¢,& Obbie Hadrian, Oct 2018
96,Lund_02500,Water,Sky,Leaf,Tree,Autumn,Fountain,Landmark,Daytime,Public space,Architecture,Lundagérd,%@‘ Orfeas Kalipolitis, Oct 2018
103,Lund_02767,Natural landscape,Water,Nature,Waterway,River,Vegetation,Water resources,Watercourse,Tree,Wilderness,Rinnebick Gorge,C ) Clara Isaksson, Oct 2018
108,Lund_03042,Dirt road,Pasture,Road,Land lot,Rural area,Grass,Trail,Grass family,Thoroughfare,Shrubland,Rinnebick Gorge,T ) Thomas Hildebre, Oct 2018
117,Lund_02072,Reflection,Water,Sky,Architecture,House,Waterway,Tree,Cloud,Home,Building,Botanical Garden,é ) Peter Vang Chris, Oct 2012
129,Lund_00879,Town,Building,Human settlement,City,Public space,Architecture,Town square,Neighbourhood,Cobblestone,Street,Lundagérd,% LEVL GRGET ), Oct 2017
131,Lund_02262,Road,Dirt road,Natural landscape,Nature,Grassland,Cloud,Sky,Natural environment,Plain,Vegetation,Klosteréingshdjden,Olexiy Avramche, Oct 2017
151,Lund_00834,Town,City,Human settlement,Public space,Building,Town square,Architecture,Plaza,Mixed-use,Tourism,Park Inn by Radissor,l& Thom Seaman, Oct 2016
175,Lund_03197,Classical architecture,Building,Palace,Landmark,Architecture,Mansion,Château,Official residence,Facade,Estate,Lundagérd,(VI E R I GTET), Oct 2018
189,Lund_00836,Estate,Building,Mansion,Palace,Landmark,Property,Stately home,Architecture,House,Official residence,Lundagérd 9,N  Niek Mereu, Oct 2016
206,Lund_01858,Body of water,Natural landscape,Nature,Bank,River,Natural environment,Water resources,Reflection,Tree,Pond,Stadsparken,Sebastian Svérde, Oct 2016
231,Lund_01992,Tree,Sky,House,Property,Leaf,Estate,Building,Autumn,Town,Woody plant,Lundagérd,"4,;:;0 IR el", Oct 2017
253,Lund_01338,Sky,Fisheye lens,Landmark,Architecture,Photography,Town,Building,City,Wall,Urban area,[T T o1 T T T,Mark Vartok, Oct 2015
