,a,b,c,d,e,f,cite
1056,2009,123,"Rethinking human capital, creativity and urban growth","M Storper, AJ Scott - Journal of economic geography, 2009 - academic.oup.com","Abstract. Do jobs follow people or do people follow jobs? A number of currently prominent
approaches to urbanization respond to this question by privileging th.
",  Cited by 911 Related articles All 22 versions  ,911
272,1998,34,"Making a city: Urbanity, vitality and urban design","J Montgomery - Journal of urban design, 1998 - Taylor & Francis","… what the French term 'animation culturel'. However, in the long term urban vitality
can only be achieved where there is a complex diversity of primary land uses and
(largely economic) activity. The simple truth is that combinations … 
",  Cited by 640 Related articles All 6 versions  ,640
352,2000,58,Social cohesion and multilevel urban governance,"A Kearns, R Forrest - Urban studies, 2000 - journals.sagepub.com","Page 1. Urban Studies, Vol. 37, No. 5–6, 995–1017, 2000 Social Cohesion and
Multilevel Urban Governance Ade Kearns and Ray Forrest [Paper rst received in nal
form, February 2000] Introduction Much has been written about … 
",  Cited by 632 Related articles All 11 versions Web of Science: 182  ,632
880,2007,146,"Stepping towards causation: do built environments or neighborhood and travel preferences explain physical activity, driving, and obesity?","LD Frank, BE Saelens, KE Powell… - Social science & medicine, 2007 - Elsevier","… commute distance versus residential density (eg, lot size); • urban vitality versus low-density and
single-use neighborhoods; • commute distance versus living on a quieter cul-de-sac street (eg,
streets permitting through traffic versus streets arranged in cul-de-sacs); • … 
",  Cited by 608 Related articles All 12 versions  ,608
1274,2010,155,Incorporating thermal regimes into environmental flows assessments: modifying dam operations to restore freshwater ecosystem integrity,"JD Olden, RJ Naiman - Freshwater Biology, 2010 - Wiley Online Library","Skip to Main Content … 
",  Cited by 502 Related articles All 11 versions  ,502
820,2007,146,Recasting the creative class to examine growth processes in rural and urban counties,"D McGranahan, T Wojan - Regional studies, 2007 - Taylor & Francis","Page 1. Recasting the Creative Class to Examine Growth Processes in Rural and Urban Counties
DAVID MCGRANAHAN and TIMOTHY WOJAN Economic Research Service, US Department
of Agriculture, 1800 M Street NW, Room N4119, Washington, DC 20036, USA … 
",  Cited by 494 Related articles All 17 versions  ,494
657,2005,83,Cities and diversity: should we want it? Can we plan for it?,"SS Fainstein - Urban affairs review, 2005 - journals.sagepub.com","… 1999). Indeed the accusation of looking like a theme park—of appearing as a
simulacrum of an old downtown—seems to be the extreme of opprobrium directed
at those places consciously aiming at urban vitality (Sorkin 1992) … 
",  Cited by 479 Related articles All 8 versions  ,479
1337,2011,169,A systematic review of built environment factors related to physical activity and obesity risk: implications for smart growth urban planning,"CP Durand, M Andalib, GF Dunton, J Wolch… - Obesity …, 2011 - Wiley Online Library","Skip to Main Content … 
",  Cited by 403 Related articles All 9 versions  ,403
726,2006,96,The evidence base for parking policies—a review,"G Marsden - Transport policy, 2006 - Elsevier","… 2005). Parking policy is at best an opaque balance between a revenue raising activity
for local authorities, a desire to avoid deterring visitors and therefore damaging urban
vitality and a need to manage transport demand. This … 
",  Cited by 338 Related articles All 11 versions  ,338
273,1998,34,"Economic, social, and environmental sustainability in development theory and urban planning practice","AD Basiago - Environmentalist, 1998 - Springer","Page 1. Ž . The Environmentalist 19, 145161 1999 1999 Kluwer Academic Publishers,
Boston. Manufactured in the Netherlands. Economic, social, and environmental
sustainability in development theory and urban planning practice … 
",  Cited by 313 Related articles All 11 versions  ,313
