Grant Numbers	records	% of 829
Conicyt/Fondap 15110020	1	0.121
DAMD17-02-1-0126	1	0.121
DP130104090	1	0.121
DP140103171	1	0.121
DP160102114	1	0.121
E 2000069-20001	1	0.121
EP/J017698/1	1	0.121
EP/K037323/1	1	0.121
EP/P505445/1	1	0.121
ES/N010892/1	1	0.121
ESRC/BSB/01	1	0.121
F32 NR 011271	1	0.121
FEL-0905	1	0.121
FPU13/02363	1	0.121
FRAMEADAPT EHP-CZ02-OV-1-044-01-2014	1	0.121
FV14210AT	1	0.121
GA526/08/1050	1	0.121
GERF-IB-033 Almobilius_01DH14003	1	0.121
GJHZ1862	1	0.121
GL15101	1	0.121
GZ1162	1	0.121
GZ1201	1	0.121
HS-079-69	1	0.121
HS-09499	1	0.121
IGA 43/2013	1	0.121
IGA 51/2013	1	0.121
INTEGRAL-121859	1	0.121
IRACDA-K12GM074869	1	0.121
ITMS 26240120014	1	0.121
IUT21-04	1	0.121
JG08181	1	0.121
JY1574	1	0.121
JYYKJXM(2017)011	1	0.121
K 12 HD052902	1	0.121
K23AG032870	1	0.121
K23DK090304	1	0.121
K24 DK02643	1	0.121
KB-04-05	1	0.121
KF-2018-03-006	1	0.121
KL2RR025000	1	0.121
KZ200610025014	1	0.121
LDF_VP_2016014	1	0.121
LO1415	1	0.121
LOTFOR-150205	1	0.121
LOTFOR150205	1	0.121
LP130100164	1	0.121
LYC15-35	1	0.121
M01 RR000052	1	0.121
M01-RR00052	1	0.121
MRC G0500247	1	0.121
MVI-313-99-140	1	0.121
N N303 109234	1	0.121
N01 AG012112	1	0.121
N01AG12112	1	0.121
NC08005	1	0.121
NCET-11-0228	1	0.121
NCMHD-R24-MD000499	1	0.121
NENU-STB07002	1	0.121
NJZY11018	1	0.121
NO16Q041	1	0.121
NORTE-01-0145-FEDER-000003	1	0.121
NRF-2010-0028693	1	0.121
NRF-2015R1A2A2A01006865	1	0.121
NRF-2015R1A2A2A03007992	1	0.121
NRF-2015R1C1A1A01053740	1	0.121
NRF-2016R1A2B4010260	1	0.121
NRF-2017R1D1A1A09000940	1	0.121
NSF DBI 1005082	1	0.121
NSF-OPP-0611871	1	0.121
P170053MIMK	1	0.121
P19236-B17	1	0.121
P200A150310	1	0.121
P30 AG012857	1	0.121
P30 AG021334	1	0.121
P30 AG021334-04	1	0.121
P30 AI50410	1	0.121
P30 HD18288	1	0.121
P30DK092949	1	0.121
P4-0015	1	0.121
P4-0107	1	0.121
P60 AR048093	1	0.121
P60-AR48093	1	0.121
PON03PE_00090_3	1	0.121
POP0504201	1	0.121
PQ-308926/2017-0	1	0.121
PROFOUND FP1304	1	0.121
PSG136	1	0.121
PTDC/AAC-AMB/098825/2008	1	0.121
PV080/2012A	1	0.121
QW201016	1	0.121
R01 HD34157	1	0.121
R01 HS009499	1	0.121
R01-AG18367	1	0.121
R01-HS-07103	1	0.121
R01AG047869	1	0.121
R01DK077785	1	0.121
R21-AT00255	1	0.121
R21AG04923	1	0.121
R24 HD050924	1	0.121
RFSR-CT-2009-00029	1	0.121
S2011010002941	1	0.121
S2012010009177	1	0.121
SACROBOQUE 2016.013	1	0.121
SC16C022	1	0.121
SES 0624263	1	0.121
SFRH/BD/103726/2014	1	0.121
SFRH/BD/69355/2010	1	0.121
SFRH/BD/72272/2010	1	0.121
SFRH/BD/79084/2011	1	0.121
SFRH/BPD/97015/2013	1	0.121
SJ08B03	1	0.121
SK2013A058	1	0.121
SKL-2012-1194	1	0.121
SQ16021	1	0.121
SR/FTP/ES-134/2010	1	0.121
STReESS FP1106	1	0.121
T32 AG000120	1	0.121
T32 HS000078-17	1	0.121
T32 MH19986	1	0.121
T32AA007240	1	0.121
T32NR008857	1	0.121
TKP01KPB-71924	1	0.121
TLK01U-63929	1	0.121
TUF01UF-64971	1	0.121
TUL-EF-KAS-2017-07-02	1	0.121
U1132001	1	0.121
U1406403	1	0.121
U2004-0001	1	0.121
U54 HG007479	1	0.121
UDC2017010412	1	0.121
UID/DTP/04750/2013	1	0.121
URF/7/LMG-006/2013-2014	1	0.121
XDA20040400	1	0.121
XKY2016122	1	0.121
Y421081001	1	0.121
Y7I0051G30	1	0.121
YF07078	1	0.121
kx0010020172651	1	0.121
ts201511045	1	0.121
xky1617	1	0.121
(647 records (78.046%) do not contain data in the field being analyzed.)
