Publication Years	records	% of 829
2019	66	7.961
2018	122	14.717
2017	92	11.098
2016	77	9.288
2015	70	8.444
2014	40	4.825
2013	55	6.634
2012	41	4.946
2011	36	4.343
2010	29	3.498
2009	28	3.378
2008	16	1.930
2007	19	2.292
2006	32	3.860
2005	14	1.689
2004	15	1.809
2003	9	1.086
2002	11	1.327
2001	11	1.327
2000	13	1.568
1999	6	0.724
1998	7	0.844
1997	7	0.844
1996	4	0.483
1994	2	0.241
1993	1	0.121
1992	2	0.241
1991	2	0.241
1989	2	0.241
(0 records (0.000%) do not contain data in the field being analyzed.)
