Funding Agencies	records	% of 829
NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA	25	3.016
EUROPEAN SOCIAL FUND	9	1.086
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES	6	0.724
MENDEL UNIVERSITY IN BRNO	6	0.724
AUAS PROGRAM URBAN VITALITY	5	0.603
NATIONAL INSTITUTES OF HEALTH	5	0.603
NATURAL SCIENCE FOUNDATION OF CHINA	5	0.603
CHINA POSTDOCTORAL SCIENCE FOUNDATION	4	0.483
NIA NIH HHS	4	0.483
NORWEGIAN FINANCIAL MECHANISM	4	0.483
STATE BUDGET OF THE CZECH REPUBLIC	4	0.483
CHICAGO COMMUNITY TRUST	3	0.362
CZECH REPUBLIC	3	0.362
GEORGE KAISER FAMILY FOUNDATION	3	0.362
OTHO S A SPRAGUE MEMORIAL INSTITUTE	3	0.362
PROJECT INDICATORS OF TREE VITALITY	3	0.362
PROJECT INDICATORS OF TREE VITALITY EUROPEAN SOCIAL FUND	3	0.362
SWEDISH RESEARCH COUNCIL FORMAS	3	0.362
UNIVERSITY OF CHICAGO	3	0.362
ACADEMY OF FINLAND	2	0.241
AHRQ HHS	2	0.241
BAVARIAN STATE MINISTRY OF THE ENVIRONMENT AND CONSUMER PROTECTION	2	0.241
CAPES	2	0.241
CHINA SCHOLARSHIP COUNCIL	2	0.241
CNPQ	2	0.241
COST	2	0.241
DOD PROSTATE CANCER RESEARCH PROGRAM	2	0.241
EEA FINANCIAL MECHANISM	2	0.241
ENVIRONMENTAL DESIGN INC	2	0.241
EUROPEAN COMMUNITY	2	0.241
FCT	2	0.241
INTERNAL GRANT AGENCY OF THE FACULTY OF FORESTRY AND WOOD TECHNOLOGY AT MENDEL UNIVERSITY IN BRNO	2	0.241
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE	2	0.241
JSPS KAKENHI	2	0.241
MINISTERIO DE ECONOMIA Y COMPETITIVIDAD GOBIERNO DE ESPANA	2	0.241
MINISTERIO DE EDUCACION CULTURA Y DEPORTE GOBIERNO DE ESPANA	2	0.241
MINISTRY OF EDUCATION YOUTH AND SPORTS OF THE CZECH REPUBLIC	2	0.241
NATIONAL INSTITUTE ON AGING AT THE NATIONAL INSTITUTES OF HEALTH	2	0.241
NATIONAL INSTITUTES OF HEALTH NIH	2	0.241
NATIONAL KEY RESEARCH AND DEVELOPMENT PROGRAM	2	0.241
NATIONAL KEY RESEARCH AND DEVELOPMENT PROGRAM OF CHINA	2	0.241
NATIONAL SCIENCE FOUNDATION OF CHINA	2	0.241
NATURAL SCIENCE FOUNDATION OF GUANGDONG PROVINCE CHINA	2	0.241
NCI NIH HHS	2	0.241
NICHD NIH HHS	2	0.241
NIH NATIONAL INSTITUTE ON AGING	2	0.241
NORFACE RESEARCH PROGRAMME ON MIGRATION IN EUROPE SOCIAL ECONOMIC CULTURAL AND POLICY DYNAMICS	2	0.241
NWO THE NETHERLANDS ORGANISATION FOR SCIENTIFIC RESEARCH	2	0.241
SCHWEIZERISCHER NATIONALFONDS ZUR FORDERUNG DER WISSENSCHAFTLICHEN FORSCHUNG	2	0.241
STRATEGIC RESEARCH FUND POSTGRADUATE SCHOLARSHIP UNIVERSITY COLLEGE CORK IRELAND	2	0.241
TREE FUND	2	0.241
UK ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL EPSRC	2	0.241
UNIVERSITY OF AUCKLAND	2	0.241
UNIVERSITY OF CHICAGO MEDICAL CENTER DIVISION OF THE BIOLOGICAL SCIENCES	2	0.241
UNIVERSITY OF OTAGO	2	0.241
URBAN HEALTH INITIATIVE OF THE UNIVERSITY OF CHICAGO MEDICAL CENTER	2	0.241
URBAN STUDIES FOUNDATION	2	0.241
111 PROJECT	1	0.121
2015 2016 BIODIVERSA COFUND	1	0.121
AALTO UNIVERSITY	1	0.121
ACADEMY OF FINLAND FINLAND	1	0.121
ACADEMY OF FINLAND UNDER THE JAPAN FINLAND BILATERAL CORE PROGRAM	1	0.121
ACCADEMIA DEL XL	1	0.121
ADMINISTRATION OF REGIONALIZATION IN THE MINISTRY OF CIVIL AFFAIRS OF CHINA	1	0.121
AGENCE NATIONALE DE LA RECHERCHE	1	0.121
AGENCE NATIONALE DE LA RECHERCHE ANR	1	0.121
ALASKA NATIVE AND NATIVE HAWAIIAN ELDERS	1	0.121
ALASKA NATIVE SCIENCE AND RESEARCH PARTNERSHIPS FOR HEALTH	1	0.121
ALEXANDER VON HUMBOLDT FELLOWSHIP AT THE TECHNICAL UNIVERSITY OF MUNICH GERMANY	1	0.121
ALZHEIMER S RESEARCH UK	1	0.121
AMERICAN GYNECOLOGICAL AND OBSTETRICAL SOCIETY	1	0.121
AMERICAN HEART ASSOCIATION	1	0.121
AMERICAN INSTITUTE OF INDIAN STUDIES	1	0.121
AMERIHEALTH CARITAS PARTNERSHIP	1	0.121
AMSTERDAM UNIVERSITY OF APPLIED SCIENCES GRAND URBAN VITALITY AND AMSTERDAM CREATIVE INDUSTRIES NETWORK	1	0.121
APPLICATION RESEARCH OF THE REMOTE SENSING TECHNOLOGY ON GLOBAL ENERGY INTERNET	1	0.121
ARBEITSGRUPPE INNOVATIVE PROJEKTE AGIP OF THE MINISTRY OF RESEARCH AND CULTURE LOWER SAXONY GERMANY	1	0.121
ARBORICULTURE AUSTRALIA	1	0.121
ARC DISCOVERY PROJECTS	1	0.121
ARTS AND HUMANITIES RESEARCH COUNCIL	1	0.121
ARTS AND HUMANITIES RESEARCH COUNCIL AHRC	1	0.121
ATLANTIC PHILANTHROPIES	1	0.121
AUCKLAND TRANSPORT	1	0.121
AUDI ENVIRONMENTAL FOUNDATION	1	0.121
AUSTRALIAN NATIONAL HEALTH AND MEDICAL RESEARCH COUNCIL NHMRC	1	0.121
AUSTRALIAN RESEARCH COUNCIL	1	0.121
AUSTRIAN SCIENCE FUND FWF	1	0.121
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF SCIENCE AND ICT	1	0.121
BEATRIX FARRAND FUND	1	0.121
BEIJING ADVANCED INNOVATION CENTER FOR FUTURE URBAN DESIGN UDC	1	0.121
BEIJING MUNICIPAL NATURAL SCIENCE FOUNDATION	1	0.121
BEIJING MUNICIPAL PROJECT FOR DEVELOPING ADVANCED HUMAN RESOURCES FOR HIGHER EDUCATION	1	0.121
BEIJING NATURAL SCIENCE FOUNDATION OF CHINA	1	0.121
BELGIAN SCIENCE POLICY BELSPO	1	0.121
BEYONDBLUE VICTORIAN CENTRE OF EXCELLENCE BBVCOE IN DEPRESSION AND RELATED DISORDERS	1	0.121
