a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02517,Greenhouse,Building,Houseplant,Botany,,,,,,,0spAB Plant Departr,D Day Time, Sep 2018
Lund_02220,Architecture,Building,Commercial building,Property,Facade,Headquarters,Corporate headquarters,,,,MAX IV Laboratory,‘ John Eckerdal, Sep 2018
Lund_00735,Estate,Property,Building,Mansion,House,Landmark,Home,Architecture,Sky,Palace,Lundagérd,ri‘ Debra Beight, Sep 2016
Lund_00332,Estate,Building,Palace,Property,Mansion,Stately home,Official residence,,,,Lundagérd,“’ Adrian Popescu, Sep 2016
Lund_02863,Building,Town,Neighbourhood,Landmark,Architecture,Property,House,Urban area,City,,Lund Cathedral,Benjamin Chen, Sep 2017
Lund_03194,Building,Property,Estate,Mansion,Palace,Architecture,Stately home,,,,Lundagérd,Pattara Kiatisevi, Sep 2018
Lund_02167,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd 9,Dillon Cower, Sep 2018
Lund_00874,Building,Landmark,Architecture,Medieval architecture,Property,Church,,,,,Lund Cathedral,(ﬁ TR TS, Sep 2018
Lund_03186,Landmark,Sky,Architecture,Building,Town,City,Human settlement,,,,Lund Cathedral,C Carl O. Thygesen, Sep 2017
Lund_00554,Building,Property,Architecture,Mansion,Stately home,Estate,,,,,Grand Hotel Lund,M Martin Mc Anesp, Sep 2017
Lund_00040,Building,Classical architecture,Landmark,Palace,Estate,Architecture,Property,Mansion,Stately home,Château,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_01498,Building,Architecture,Landmark,,,,,,,,Lundagérd |,RS R, Sep 2017
Lund_01640,Tree,Architecture,Building,,,,,,,,[T L He 1 BT,. EECIen, Sep 2017
Lund_01466,Landmark,Architecture,Medieval architecture,Building,Gothic architecture,Sky,Cathedral,Place of worship,Church,Spire,Lundagérd 8,David Ekberg, Sep 2018
Lund_01647,Building,Landmark,Mansion,Estate,Architecture,Palace,Stately home,,,,Lundagérd 9,\g Piyush Goyal, Sep 2018
Lund_00127,Water,,,,,,,,,,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
Lund_00799,Building,Landmark,Architecture,Medieval architecture,Facade,,,,,,Lund Cathedral,"""R ET TS T", Sep 2016
Lund_00079,Building,Landmark,Architecture,Estate,,,,,,,@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_00005,Building,Estate,Property,Architecture,House,Landmark,Mansion,Official residence,,,Botanical Garden #L,@ Hans Jirgen Klai, Sep 2018
Lund_02245,Building,Architecture,,,,,,,,,ICA Supermarket Lin,[ETERTG RG], Sep 2017
Lund_01530,Sky,Architecture,Tree,Castle,Building,,,,,,Lundagérd,Zoltén Berndth, Sep 2017
Lund_01737,Medieval architecture,Landmark,Architecture,Place of worship,Building,Cathedral,Gothic architecture,Spire,Steeple,Church,Lund Cathedral 3,Filip Tvetberg, Sep 2016
Lund_03151,Roof,,,,,,,,,,Killbybadet,Aleksander Szyci, Sep 2018
Lund_02203,Transport,Building,,,,,,,,,@ Steven Vancoillie,@ Steven Vancoillie, Sep 2016
Lund_02630,First-class cricket,Goal,Grass,Soccer,Sky,Sport venue,Team sport,Player,Sports equipment,,Klostergérdens IP,Florian Weissbac, Sep 2018
Lund_01097,Reflection,Nature,Water,Natural landscape,Pond,Vegetation,Green,Water resources,Waterway,Nature reserve,Botanical Garden,@ Hans Jirgen Klai, Sep 2018
Lund_03130,Sky,Cloud,,,,,,,,,MAX IV Laboratory,6 IR DL, Sep 2016
Lund_00048,Brickwork,Brick,Architecture,Wall,Property,Arch,Building,House,Town,Iron,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_01689,Town,Building,City,Landmark,Architecture,Human settlement,Residential area,Sky,Urban area,,Lund C,@ Diego Reyes Gon, Sep 2017
Lund_01933,Property,Grass,House,Green,Building,Lawn,Home,Real estate,Residential area,Estate,Tridgéardsverandan,6 IR DL, Sep 2017
Lund_01841,Town,Public space,Sky,City,Human settlement,Town square,,,,,Lund Market Hall ¢,=1V A (LT, Sep 2017
Lund_00197,Public space,Town,Plaza,Street light,Town square,Human settlement,,,,,Lund,@ Margaret Camille, Sep 2017
Lund_00275,Property,Building,Estate,Architecture,Town,,,,,,Lundagérd,g Per Pixel Peterss, Sep 2015
Lund_00745,Building,Sky,,,,,,,,,Lundagérd 9,L 1T T, Sep 2013
Lund_01862,Water,Reflecting pool,Fountain,Garden,Botanical garden,Botany,Pond,,,,Lundagérd 9,?“»2 il Jénos Kiss, Sep 2018
Lund_00211,Street,Sky,Town,Neighbourhood,Road,Cobblestone,Alley,Lane,Urban area,Building,?3 Tomas Onofrej,?3 Tomas Onofrej, Sep 2015
Lund_00070,Building,Landmark,Architecture,Medieval architecture,Town,Church,,,,,@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_01572,Landmark,Architecture,Building,Medieval architecture,Sky,Tower,Cathedral,,,,Lundagérd,Pattara Kiatisevi, Sep 2018
Lund_00145,Property,Building,Architecture,Neighbourhood,House,Town,Urban area,,,,A ANasem,A ANasem, Sep 2015
Lund_01106,Building,Architecture,Landmark,Medieval architecture,Classical architecture,City,Cathedral,Facade,,,Lund Cathedral,E ) Edwin Meulman, Sep 2017
Lund_01562,Sport venue,Natural landscape,Land lot,Grassland,Green,Sky,Grass,Natural environment,Plain,Golf course,Sankt Hans Hill ¢,Hafidz Alhaq, Sep 2016
Lund_00009,,,,,,,,,,,Ahlgrens Konfektyr,@ Hans Jirgen Klai, Sep 2018
Lund_00493,Medieval architecture,Landmark,Architecture,Building,Classical architecture,Place of worship,Church,Historic site,Sky,Facade,[T T o1 T T,.’IE‘” ALV, Sep 2016
Lund_00022,Statue,Sculpture,Monument,Memorial,Landmark,,,,,,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
Lund_00339,Landmark,Building,Architecture,Medieval architecture,Sky,Place of worship,Cathedral,Church,Gothic architecture,Classical architecture,Lundagérd,@:}0 Diego Reyes Gon, Sep 2017
Lund_00254,Building,Landmark,Classical architecture,Architecture,Palace,Mansion,Estate,Official residence,Château,,Lundagérd 9,J Jaime Rios, Sep 2006
Lund_00001,Building,Landmark,Town,Architecture,City,Property,Human settlement,,,,' Maja Rehnberg,' Maja Rehnberg, Sep 2017
Lund_02860,Estate,Building,Palace,Mansion,Stately home,Château,Official residence,Manor house,,,Lundagérd,Lundagérd, Sep 2018
Lund_00472,Estate,Building,Mansion,,,,,,,,Stadsparken 3,’ Joe Bunting, Sep 2017
Lund_02179,Building,Property,,,,,,,,,|2 ECEN TR 2 2 21 E,Thomas Boo, Sep 2018
Lund_00658,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd 9,6 Rene Wagner, Sep 2017
Lund_01754,Property,Building,Estate,Garden,Architecture,Botany,,,,,Lundagérd,“’ Adrian Popescu, Sep 2016
Lund_02829,Garden,Estate,Flower,Landmark,Mansion,Palace,Spring,Plant,Stately home,Building,Lundagérd 9,L 1T T, Sep 2013
