,index2,feature(1-50),frequency(1-50),feature(51-100),frequency(51-100),feature(101-150),frequency(101-150),feature(151-200),frequency(151-200),feature(201-250),frequency(201-250),feature(251-300),frequency(251-300),feature(301-350),frequency(301-350),feature(351-400),frequency(351-400),feature(401-450),frequency(401-450),feature(451-500),frequency(451-500),feature(501-550),frequency(501-550),feature(551-600),frequency(551-600),feature(551-616),frequency(551-616)
0,0,Building,2033,Spring,117,Asphalt,34,Plant community,15,Net,8,Pole,5,University,4,Nonbuilding structure,2,Megalith,2,Ford motor company,1,Full-size car,1,Customer,1,Aquatic plant,1
1,1,Architecture,1922,Waterway,114,Prairie,33,Player,15,Agriculture,8,Industry,5,Herd,4,Countertop,2,Sports training,2,California-style pizza,1,Automotive tire,1,Organism,1,Musician,1
2,2,Landmark,1249,Tower,113,Farm,32,Hill,15,Outdoor play equipment,8,Parking lot,5,First-class cricket,4,Railway,2,State park,2,Exercise,1,Calm,1,"Ducks, geese and swans",1,Musical ensemble,1
3,3,Sky,1003,Pasture,110,Arch,31,Grazing,14,Turret,8,Supermarket,5,Convent,4,Subcompact car,2,Road trip,2,Number,1,Dish,1,Basketball moves,1,Pizza,1
4,4,Estate,991,Road,109,Monument,30,Ecoregion,14,Sculpture,8,Font,5,Deck,3,Shopping,2,Hill station,2,Weights,1,Electrical supply,1,Violet family,1,Black,1
5,5,House,846,Body of water,103,Morning,30,Column,14,Company,7,Tidal marsh,5,Dairy cow,3,Coffeehouse,2,Village,2,Road bicycle,1,Waterfowl,1,Clay pigeon shooting,1,Pizza cheese,1
6,6,Property,826,Rural area,102,Suburb,30,Fence,14,Headquarters,7,Sunlight,5,Bog,3,Sheep,2,Boulder,2,Palm tree,1,Steel,1,Cricket,1,Outdoor bench,1
7,7,Tree,821,Castle,94,Campus,30,Memorial,14,Street light,7,Convenience store,5,Inflatable,3,Skatepark,2,Duck,2,Dog agility,1,Play,1,Clock,1,Window film,1
8,8,Mansion,722,Street,93,Leisure,30,Signage,13,Business,7,Light,5,Mammal,3,Kiosk,2,Groundcover,2,Market,1,Red,1,Vault,1,Mountain bike,1
9,9,Palace,680,Spire,87,Aerial photography,29,Brickwork,13,Abbey,7,Siding,5,Bazaar,3,Project,2,Car dealership,2,Resort,1,Monastery,1,Mast,1,Bookselling,1
10,10,City,641,Plaza,87,Lake,29,Bovine,13,Ball game,7,Bench,5,Water transportation,3,Cycling,2,Twig,2,Tennis,1,Forest,1,Sporting Group,1,Classic,1
11,11,Facade,618,Roof,84,Photography,29,Bicycle,13,Door,7,Shore,5,Blossom,3,Cherry blossom,2,Weight training,2,Crocus,1,Classic car,1,Wheel,1,Rye,1
12,12,Stately home,544,Gothic architecture,83,Urban design,28,Cobblestone,13,Art,7,Baptistery,5,Hall,3,Airport,2,Rain,2,Laminate flooring,1,Flatbread,1,Crane,1,Riparian forest,1
13,13,Classical architecture,512,Pond,82,Thoroughfare,28,Soil,13,Gasoline,7,Dome,5,Clock tower,3,Food,2,Sidewalk,2,Tundra,1,Screen door,1,Scaffolding,1,Outdoor furniture,1
14,14,Grass,493,Presidential palace,81,Stream,26,Sports,12,Lighting,7,Wildlife,5,Temple,3,Circle,2,Engineering,2,Working animal,1,Thermokarst,1,Bayou,1,Annual plant,1
15,15,Town,486,Watercourse,80,Wetland,26,Interior design,12,Shade,7,Guard rail,5,Motor vehicle,3,Hotel,2,Skyscraper,2,Train station,1,Ranch,1,Home fencing,1,Ceremony,1
16,16,Medieval architecture,461,Town square,79,Parish,26,Highland,12,Steppe,7,Marketplace,5,Football,3,Cow-goat family,2,Barn,2,Luxury vehicle,1,Arcade,1,Loft,1,,
17,17,Natural landscape,394,Mixed-use,77,Snow,26,Mode of transport,12,Filling station,7,Straw,5,Shack,3,Wildflower,2,Ancient history,2,Yurt,1,Basketball hoop,1,Brassica rapa,1,,
18,18,Ch?teau,367,Vehicle,76,Bird's-eye view,26,Corporate headquarters,12,Bridge,7,Stream bed,5,Walking,3,Adaptation,2,Technology,2,Cyclo-cross bicycle,1,Kettlebell,1,Home door,1,,
19,19,Church,363,Green,76,Marsh,26,Pedestrian,12,Tower block,7,Aisle,5,Alley,3,Grove,2,Petroleum,2,Automotive wheel system,1,Brutalist architecture,1,Traffic,1,,
20,20,Official residence,338,Landscape,75,Downtown,23,Competition event,12,Dock,7,Light fixture,5,Grocery store,3,Beach,2,Environmental art,2,Goat,1,Off-roading,1,Public transport,1,,
21,21,Water,310,Tourism,73,Almshouse,23,Rock,12,Sea,7,Boardwalk,5,Mid-size car,3,Coastal and oceanic landforms,2,Bell tower,1,Graffiti,1,Basketball,1,Picket fence,1,,
22,22,Place of worship,305,Plain,71,Biome,23,Evening,12,Leisure centre,6,Holy places,5,Awning,3,Golf course,2,Flowering plant,1,Streetball,1,Wood flooring,1,Wall clock,1,,
23,23,Cathedral,249,Field,71,College,23,Flooring,12,Physical fitness,6,Race track,5,Boutique,3,Thatching,2,Electronic signage,1,Snapshot,1,Hatchback,1,Antique car,1,,
24,24,Natural environment,246,Wall,71,Yard,23,Condominium,11,Machine,6,Travel,5,Monochrome,3,Shopping mall,2,Electrical wiring,1,Caravanserai,1,Afterglow,1,Humpback bridge,1,,
25,25,Human settlement,227,Metropolitan area,70,Infrastructure,22,History,11,Summer,6,Shed,5,Metal,3,bounce house,2,Swing,1,Performance,1,Futsal,1,Brand,1,,
