,"[Chinese, (Sim.)]_Freq","[Chinese, (Sim.)]_Term",[Danish]_Freq,[Danish]_Term,[Dutch]_Freq,[Dutch]_Term,[English]_Freq,[English]_Term,[Finnish]_Freq,[Finnish]_Term,[French]_Freq,[French]_Term,[German]_Freq,[German]_Term,[Italian]_Freq,[Italian]_Term,[Japanese]_Freq,[Japanese]_Term,[Norwegian]_Freq,[Norwegian]_Term,[Polish]_Freq,[Polish]_Term,[Portuguese]_Freq,[Portuguese]_Term,[Russian]_Freq,[Russian]_Term,[Spanish]_Freq,[Spanish]_Term,[Swedish]_Freq,[Swedish]_Term,[Turkish]_Freq,[Turkish]_Term
0,0.9618167999132412,style,1.5736384711872595,special,1.2684804294192191,truly,83.81485786471738,burger,0.006832365236616694,friendly,1.031038422398017,bar,1.2366089640030418,class,1.6189161996261825,chosen,1.3002232336530823,quot,0.1926805652997739,got,0.004017843010765101,place,1.1925050936411352,swedish,1.1053080581706056,ok,0.31715770091640233,entrance,62.10943712362784,middle,0.003226306579364766,city
1,0.9550563056526002,decoration,0.840172004085391,expected,1.2542094457245565,walk,8.245760312074701,viggo,0.00654935647500514,excellent,0.564125441220069,student,1.2357908915811626,reception,1.163481076271549,low,1.2850674748552624,enjoy,0.1938166531939349,booked,0.0037200043333019076,tasty,1.1934599210599686,choices,0.6000700049836069,brought,0.31750491307217904,price,22.756809253620272,stortorget,0.0029939066741785296,nice
2,0.5175084124348391,meet,0.8399701964640841,reviews,1.257762527939758,hard,6.981728860407003,pad,0.005955556070366264,cozy,0.5585813759654922,closed,1.2389693930969137,fisk,1.4394475946303615,table,1.8717223274083612,shop,0.19350807663897712,table,0.004132125373813872,pizza,1.741342062525837,dishes,0.6031720749613929,hotel,0.3180581067323359,decoration,18.860957895562606,son,0.0031967480450660344,waiters
3,0.5185585958526729,chinese,0.8388178149182969,say,1.2613699738843591,worth,7.7065863365669225,spice,0.006742921812076858,pizzas,0.5605426567721139,simple,1.2407554332020978,passing,0.9843154923281732,certainly,0.6925222999138936,counter,0.034472357963305535,tripadvisor,0.004086174469933993,quite,0.641782464037411,traditional,0.6078698202844101,classic,0.31303747033135604,nice,16.693975610870584,courses,0.003053340261989159,definitely
4,0.5179634164769765,good,0.8391431440333322,ordinary,1.2549976471294666,best,5.699425036013901,worse,0.006531691236234018,place,0.5636351314243722,difficult,1.2468913175500365,certain,1.162568571599814,different,0.6981737630213048,popular,0.03155004272843236,reviews,0.0041173564872295145,ingredients,0.6464437868836094,went,0.5961703936299975,prices,0.05490179101349344,italian,15.626669005938355,strong,0.0030491061627397373,great
5,0.08197071904457304,come,0.8381495556065661,probably,0.6831698287967453,just,5.2148654840366735,promptly,0.006425220090825785,pizzeria,0.5581063555473134,restaurants,1.2384886762779432,malmstens,1.1635824703553408,rainy,0.6997224944210138,beer,0.02766476153028041,didn,0.00459580582999826,food,0.6526292263894216,beers,1.1123076086572774,beer,0.04960412709039614,quality,12.531145111152437,ready,0.002971485080912279,interested
6,0.08433966826505651,printed,0.7957614225839621,light,1.2649317024099322,time,4.244622948287722,king,0.0062815288356533674,staff,0.5527549004679845,fast,1.2340914531056597,saluhallen,1.1642826114260578,sports,0.6958633648113371,outside,0.030448215808772727,voted,0.0038954307886493963,sweden,0.6373055781950856,restaurant,0.5990812452876161,tasty,0.05165954220817354,located,11.573365334449944,said,0.0029381688765884183,chiefs
7,0.08252602825113463,dagens,0.7960557985121313,beers,0.6834158872944619,order,3.1388243175565425,bunch,0.006628621488683656,restaurant,0.5568955891271716,known,1.2430419748198027,reservation,1.163085523066702,discreet,0.6936279787699151,chinese,0.0298962954136352,decided,0.0038805610267308947,delicious,1.1956710626033271,great,0.6011961580336612,small,0.04951376848749454,site,10.240156368028604,noise,0.002926626314428719,seafood
8,0.07859699759135834,came,0.7938673379493358,offer,0.6779582904209341,times,3.075783623371777,accessible,0.00644893751728496,good,0.5519257212213388,terrace,1.246604887003463,soup,1.1644076852935006,music,0.7006147386756378,salmon,0.02931957622607098,check,0.0038699320562025257,feel,0.1001054440854012,charm,1.1063919856607478,great,0.05192407642994044,recommend,9.652310669631754,saw,0.0028562604418498685,try
9,0.08070910726932085,ago,0.4486519427873009,grand,1.2569355404242923,bit,2.8714072568074647,hoping,,,0.5555035466429554,atmosphere,1.2411208425684717,swedish,1.162761903790331,style,0.6883165029162669,restaurants,0.02899762201841145,dining,0.0038409498426684287,affordable,0.10343798864447153,hotel,0.5987783389141857,interior,0.05612963192613747,lund,11.97993018019832,door,0.003185322348833403,restaurant
