,"[Chinese, (Sim.)]_Freq","[Chinese, (Sim.)]_Term",[Danish]_Freq,[Danish]_Term,[Dutch]_Freq,[Dutch]_Term,[English]_Freq,[English]_Term,[Finnish]_Freq,[Finnish]_Term,[French]_Freq,[French]_Term,[German]_Freq,[German]_Term,[Italian]_Freq,[Italian]_Term,[Japanese]_Freq,[Japanese]_Term,[Norwegian]_Freq,[Norwegian]_Term,[Polish]_Freq,[Polish]_Term,[Portuguese]_Freq,[Portuguese]_Term,[Russian]_Freq,[Russian]_Term,[Spanish]_Freq,[Spanish]_Term,[Swedish]_Freq,[Swedish]_Term,[Turkish]_Freq,[Turkish]_Term
0,3.426387195,chops,68.24423016,good,1.764372061,easy,713.1781972,great,1.905233704,place,5.37797607,ate,14.11155663,friendly,18.55967707,italian,4.250571067,39,9.162257206,recommended,1.945368005,quite,4.385395201,staff,1.706725552,local,6.391951145,dinner,184.2115118,ok,3.793409293,excellent
1,2.575023571,main,75.1719129,food,1.779347499,exactly,366.0980316,pizza,1.894482293,pizzas,3.599939132,stay,5.411647718,super,15.79193244,cuisine,3.432669644,bar,7.34693757,pizza,1.965999869,sweden,3.508410034,recommend,1.691964451,expensive,3.734179757,went,283.0226697,atmosphere,1.973826927,waiters
2,2.602733947,pork,13.56387236,lovely,1.755008609,sporting,450.4577456,friendly,1.892861081,pizzeria,2.740577918,twice,10.59965039,staff,7.610442283,located,1.772392637,colleagues,5.565537432,quality,1.967166367,feel,6.056235598,service,3.270598729,excellent,3.721150174,book,450.957877,friendly,1.972804025,definitely
3,1.782001412,weird,44.91855622,service,1.740315506,ate,233.748843,quality,2.780298062,good,2.768255764,pasta,6.240905075,quality,7.191044919,prices,1.805699918,amp,10.03950519,place,1.957095474,prices,4.369102769,atmosphere,1.701666421,tasty,11.68724247,food,90.040787,flavors,1.983109586,try
4,1.788657197,ice,8.542488106,portions,1.747672255,day,242.8799215,small,1.906483411,staff,2.718735121,sushi,3.651770843,customer,6.498758127,beers,1.782738453,hamburger,3.768026611,highly,1.956334162,good,2.707780837,like,1.710278569,italian,2.82932347,wine,80.8281722,fast,1.978673859,great
5,1.778409478,venison,8.536279373,tasted,5.804392298,friendly,214.3582633,price,1.034534702,excellent,2.743128405,quite,3.635350229,portions,6.345824404,kind,1.775457692,atmosphere,3.756004737,italian,1.957426031,italian,1.844826057,yummy,1.712746615,nice,7.272594671,place,76.97726094,location,1.991257277,seafood
6,1.789654675,cream,6.590197457,italian,2.5613266,staff,206.8565143,times,1.033702971,restaurant,1.903371634,rich,3.634656662,recommend,10.07139322,swedish,2.609882663,food,2.882459034,absolutely,1.944080703,pizza,1.857182096,visit,1.712023074,sek,2.834307385,list,76.17040103,knowledgeable,1.981481467,interested
7,1.778981996,today,5.618780846,authentic,4.166281218,pizzas,521.3111379,lunch,0.167811768,cozy,1.92515137,menu,7.121498585,pizza,5.525471305,abroad,2.607288781,main,2.856094816,experience,1.9627334,atmosphere,1.81328583,nice,2.505836254,cuisine,2.834921477,quite,71.61550482,local,1.985370009,chiefs
8,1.781588794,dessert,11.61157596,atmosphere,3.381349347,excellent,519.0430046,staff,0.15013558,friendly,1.911588,far,2.770328744,interesting,4.832407849,night,1.798571656,quite,2.851355546,touch,1.955204512,normal,1.839940337,super,1.716312694,small,2.83441051,advisable,62.83622342,superb,1.979035969,lund
9,1.783507579,environment,16.20835991,dishes,2.556772668,pizza,178.3720921,recommend,,,1.905830897,staying,1.914475567,ranges,4.829896526,come,1.792286209,located,2.859761135,ate,1.960999369,real,6.859642403,great,1.70630922,located,2.824805078,friendly,61.82400373,summer,1.976869151,italian
10,1.798151823,definitely,5.050593103,high,3.362615385,delicious,185.9816548,italian,,,1.90384018,table,1.919643133,open,4.827744228,city,1.800936985,recommended,2.876871742,class,1.954439579,affordable,6.038861572,food,0.932027898,prices,3.741276361,39,61.46333288,fun,1.970240747,restaurant
11,1.771980308,feels,10.73015907,great,1.760395369,enjoyed,161.2418358,wine,,,1.897301,cathedral,1.907726008,appetizer,29.88113794,excellent,0.967416591,style,1.980580612,delicious,1.947377597,ingredients,2.693091824,attentive,0.914889515,hotel,1.95295155,quiet,59.14033036,maybe,1.982261446,wines
12,1.78439051,best,4.970253748,unfortunately,2.5585432,quality,160.5723181,meat,,,1.907705352,day,1.918246004,friend,4.556622515,try,3.445481191,delicious,1.969035232,cucina,1.948857647,delicious,3.519135593,good,0.920989778,classic,1.95562967,going,56.81376198,lots,1.983631102,pizza
13,1.778174493,dish,4.484181675,visit,1.752530785,cucina,158.479534,selection,,,1.901548956,advice,1.906861223,wine,4.55566335,price,2.594376902,shop,1.967940026,specialists,1.95161601,restaurant,1.837714146,dinner,0.92198867,popular,1.955800177,atmosphere,54.02013629,quick,1.972725395,pizzas
