Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
107,Lund_01470,Architecture,Building,Landmark,Medieval architecture,Arch,Facade,Wall,Cathedral,Place of worship,Tourism,[T T o1 T 1T,Artur Muc, Jun 2010
203,Lund_02050,Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Steeple,Classical architecture,Cathedral,Tower,[T T o1 T T T,A  Artur Muc, Jun 2010
446,Lund_01397,Landmark,Building,Architecture,Sky,Water,Palace,Classical architecture,Tree,Mansion,Estate,Lundagérd,Joel Thggersen, Jun 2010
544,Lund_02957,Body of water,Water,Water resources,Watercourse,Stream,Rock,Natural landscape,Stream bed,Creek,Boulder,Rinnebick Gorge,é ) Peter Vang Chris, Sep 2010
786,Lund_02659,Property,Land lot,House,Residential area,Real estate,Home,Building,Estate,Roof,Neighbourhood,Lund Vérpinge by,(é\; NG T LR, Apr 2010
1195,Lund_01472,Water,Water resources,Watercourse,Reflecting pool,Botany,Waterway,Garden,Tree,River,Grass,[T 3,[T 3, May 2010 i
1443,Lund_01231,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Gothic architecture,Cathedral,Place of worship,Facade,Steeple,[T T o1 T T T,Wal dek, May 2010
1605,Lund_02033,Natural landscape,Nature,Green,Vegetation,Sky,Tree,Water,Highland,Grass,Nature reserve,Rinnebick Gorge,Peter Vang Chris, Sep 2010
2311,Lund_00252,Building,Palace,Classical architecture,Château,Landmark,Architecture,Estate,Mansion,Official residence,Facade,LT TV HTET 1 T,(S VYA, Oct 2010
2324,Lund_00292,Building,Landmark,Property,Architecture,Estate,Palace,Sky,Town,City,Stately home,University Library,(S VYA, Oct 2010
2686,Lund_01931,Building,Architecture,Facade,Vehicle,City,Car,Urban area,Neighbourhood,Street,House,[T T o1 T 1T,Artur Muc, Jun 2010
