Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
145,Lund_01721,Building,Castle,Property,Fortification,Medieval architecture,Wall,Estate,Architecture,Stately home,Château,Lundagérd,""" Andi Varn Johani", Aug 2011
250,Lund_01067,Building,Landmark,Classical architecture,Architecture,Palace,Official residence,Mansion,Estate,Presidential palace,House,Lundagérd,Michal Skrzypiec, Mar 2011
430,Lund_00604,Building,Landmark,Architecture,Property,Palace,Mansion,House,Estate,Facade,Official residence,Lundagérd,R N Y VBT e, Jun 2011
686,Lund_00605,Building,Landmark,Architecture,Property,Palace,Mansion,House,Estate,Facade,Official residence,Lundagérd,R N Y VBT e, Jun 2011
698,Lund_00600,Property,Landmark,Building,Architecture,House,Town,Tree,Castle,Tourism,Château,Lundagérd 9,i Rafael Lara, May 2011
739,Lund_02013,Property,Building,House,Brick,Landmark,Roof,Brickwork,Home,Architecture,Real estate,Crafoord Auktioner i,Niklas Ljungkvist, Jun 2011
814,Lund_00795,Estate,Building,Palace,Landmark,Mansion,Architecture,Castle,Stately home,Château,Sky,Lundagérd,""" Andi Varn Johani", Aug 2011
857,Lund_01381,Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park,Lundagérd,& Nikola Mladenov, Jun 2011
911,Lund_01379,Property,Building,Public space,Architecture,Tree,Grass,Garden,House,Estate,Park,Lundagérd,& Nikola Mladenov, Jun 2011
920,Lund_02414,Town,Building,Property,Human settlement,Neighbourhood,City,Street,Mixed-use,Architecture,Downtown,Lundagérd g,“.3 Florian Lang, Sep 2011
1077,Lund_01134,Landmark,Building,Property,Wall,Architecture,House,Château,Medieval architecture,Castle,Estate,Lundagérd,R N Y VY e, Jun 2011
1123,Lund_01249,Body of water,Natural landscape,Water resources,Nature,Waterway,Water,River,Bank,Natural environment,Canal,Kiillby avioppsrening,NG T LR, Oct 2011
1141,Lund_01248,Building,Architecture,Landmark,Classical architecture,Palace,Estate,House,Mansion,Facade,Sky,Lundagérd ¢,Mike L., Oct 2011
1445,Lund_01367,Medieval architecture,Classical architecture,Architecture,Landmark,Building,Gothic architecture,Place of worship,Cathedral,Facade,Historic site,[T T o1 T T T,Zoran Prole, Nov 2011
1565,Lund_00273,Building,Classical architecture,Palace,Landmark,Architecture,Facade,Château,City,Official residence,Plaza,Lundagérd 9,i Rafael Lara, Jun 2011
1581,Lund_00871,Landmark,Spring,Flower,Garden,Building,Architecture,Botany,Plant,Mansion,Palace,’ Patrick G,’ Patrick G, May 2011
1830,Lund_02413,Town,Building,Property,Human settlement,Neighbourhood,City,Street,Mixed-use,Architecture,Downtown,Lundagérd g,“.3 Florian Lang, Sep 2011
1901,Lund_02063,Building,Estate,Palace,Stately home,Official residence,Mansion,Architecture,Presidential palace,Sky,House,Lundagérd,""" Andi Varn Johani", Aug 2011
1922,Lund_00381,Building,Landmark,Architecture,Classical architecture,Property,Palace,Estate,Mansion,House,Château,Lundagérd,R N Y VBT e, Jun 2011
2102,Lund_00694,Landmark,Architecture,Building,Property,Estate,Mansion,Classical architecture,Stately home,House,Château,Lundagérd,& Nikola Mladenov, Jun 2011
2139,Lund_00069,Tree,Architecture,Grass,Spring,Building,Garden,Botany,Lawn,Plant,House,’«9 Patrick G,’«9 Patrick G, May 2011
2205,Lund_00440,Building,Estate,Property,Mansion,Palace,Stately home,Manor house,Architecture,Official residence,House,Lundagérd,""" Andi Varn Johani", Aug 2011
2319,Lund_02080,Botany,Estate,Building,Architecture,Fountain,Garden,Tree,Hacienda,Botanical garden,Water feature,Lundagérd,""" Andi Varn Johani", Aug 2011
2353,Lund_01507,Urban design,Architecture,Parking lot,Landscape,Traffic,Building,Vehicle,Thoroughfare,City,Road,Lund travel 3,j BN, Aug 2011
2422,Lund_01036,Medieval architecture,Castle,Building,Fortification,Wall,Architecture,Property,Historic site,Estate,Stately home,Lundagérd,""" Andi Varn Johani", Aug 2011
2450,Lund_00695,Landmark,Architecture,Building,Property,Estate,Mansion,Classical architecture,Stately home,House,Château,Lundagérd,& Nikola Mladenov, Jun 2011
2534,Lund_00514,Building,Landmark,Architecture,Classical architecture,Property,Palace,Estate,Mansion,House,Château,Lundagérd,R N Y VBT e, Jun 2011
2724,Lund_01114,Medieval architecture,Landmark,Architecture,Building,Castle,Fortification,Wall,Historic site,Château,Tree,Lundagérd,R N Y Y EY e, Jun 2011
