Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
117,Lund_02072,Reflection,Water,Sky,Architecture,House,Waterway,Tree,Cloud,Home,Building,Botanical Garden,é ) Peter Vang Chris, Oct 2012
207,Lund_01456,Estate,Mansion,Building,Property,Landmark,Architecture,House,Official residence,Home,Palace,mobile 8,Yun Liu, May 2012 \i
616,Lund_01261,Building,Palace,Landmark,Estate,Architecture,Mansion,Official residence,Stately home,Presidential palace,Classical architecture,Lundagérd,Prakash Kumar, Sep 2012
625,Lund_01264,Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Facade,Classical architecture,Cathedral,Convent,OLYMPUS DIGITAL C,) Michael Field, May 2012
735,Lund_00607,Landmark,Architecture,Building,Medieval architecture,Spire,Sky,Town,Cathedral,Church,Gothic architecture,Lundagérd 8,@ Sergio Garcia, Oct 2012
860,Lund_00624,Estate,Mansion,Building,Property,Landmark,Palace,Architecture,Official residence,Stately home,House,[TV T,6 Mohammed Zaki, Aug 2012
1155,Lund_01999,Landmark,Architecture,Sky,Building,Botany,Spring,Garden,Flower,Plant,House,Lundagérd,Teena Christense, May 2012
1164,Lund_00603,Landmark,Architecture,Building,Medieval architecture,Spire,Sky,Town,Cathedral,Church,Gothic architecture,Lundagérd 8,@ Sergio Garcia, Oct 2012
1648,Lund_00065,Water,Landmark,Architecture,Tree,Fountain,Botany,Water feature,Garden,Plant,Tourism,6 Ales Stursa,6 Ales Stursa, Jul 2012
1678,Lund_00928,Building,Architecture,Landmark,Town,Facade,City,Human settlement,Medieval architecture,Urban area,House,[T TV HTET 0 T,Claes Holm, Dec 2012
1754,Lund_01929,Building,Architecture,Property,Landmark,Facade,Town,Stately home,House,Mansion,Medieval architecture,Grand Hotel Lund,3 Martin Solari, Sep 2012
1773,Lund_01122,Classical architecture,Landmark,Building,Architecture,Palace,Facade,Sky,Courthouse,City,House,3 Martin Solari,3 Martin Solari, Sep 2012
1877,Lund_00544,Landmark,Building,Classical architecture,Architecture,Mansion,Estate,Property,Palace,Official residence,Stately home,Lundagérd 8,6 W Matecki, Aug 2012
1906,Lund_02818,Aerial photography,Residential area,Bird's-eye view,Suburb,Urban area,Metropolitan area,Urban design,City,Human settlement,Neighbourhood,Lundagérd 8,@ Sergio Garcia, Oct 2012
1920,Lund_00561,Estate,Building,Mansion,Property,Palace,Official residence,Stately home,Château,Manor house,Historic house,Lundagérd 9,[ ETTY il [1:1-1q3, Jul 2012
1964,Lund_00758,Architecture,Landmark,Building,Medieval architecture,Sky,Church,Facade,Cathedral,Steeple,City,[T T o1 T T,@ Vichael Field, May 2012
1983,Lund_00006,Garden,Botanical garden,Park,Botany,Lawn,Spring,Plant,Tree,Grass,Landscaping,6 FACES TR,6 FACES TR, Jul 2012
2049,Lund_01889,Architecture,Building,Landmark,Property,Town,Facade,House,Urban area,Arch,City,Akademiska Forenin,6 Ales Stursa, Jul 2012
2118,Lund_02107,Building,Town,Architecture,Bicycle,Neighbourhood,Vehicle,Transport,House,Urban area,Facade,Magle Konserthus |,Anders Frick, Jun 2012
2296,Lund_00310,Estate,Building,Mansion,Palace,Property,Château,Stately home,House,Official residence,Castle,Lundagérd,Q Nataliya Ruustalt, Jun 2012
2308,Lund_00396,Estate,Building,Mansion,Landmark,Palace,Property,Architecture,Official residence,Stately home,Garden,Lundagérd,Q Nataliya Ruustalt, Jun 2012
2357,Lund_01163,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,Tower,Lundagérd 8,@ Sergio Garcia, Oct 2012
2362,Lund_01162,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,Tower,Lundagérd 8,@ Sergio Garcia, Oct 2012
2409,Lund_00330,Landmark,Building,Palace,Architecture,Estate,Classical architecture,Mansion,Sky,Official residence,House,Lundagérd ¢,i:%‘ } (N1 ET] 9, Feb 2012
2432,Lund_00251,Landmark,Palace,Building,Estate,Architecture,Public space,City,Human settlement,Mansion,Sky,Lundagérd 9,6 JAE SRR, Jul 2012
2515,Lund_00666,Estate,Building,Mansion,Property,Palace,Official residence,Château,Stately home,Manor house,House,Lundagérd 9,[ ETTY il [1:1-1q3, Jul 2012
2773,Lund_01161,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,Tower,Lundagérd 8,@ Sergio Garcia, Oct 2012
2778,Lund_00004,Building,Landmark,Palace,Architecture,Mansion,Official residence,Estate,Presidential palace,Classical architecture,Tourism,6 JAE SRR,6 JAE SRR, Jul 2012
