Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
159,Lund_01062,House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,Sky,Plant,Lundagérd 9,i\ Bengt Jiirs, Sep 2013
433,Lund_01986,Building,Architecture,Daytime,Metropolitan area,Human settlement,Urban design,City,Urban area,Commercial building,Corporate headquarters,Sony Mobile Commu,John Wang, Jun 2013
464,Lund_02301,Land vehicle,Vehicle,Car,Town,Classic,Antique car,Asphalt,Classic car,Vintage car,City,Hep Cat Store 3,Kjell Larsson, May 2013
636,Lund_02814,Landmark,Medieval architecture,Architecture,Building,Sky,Spire,Church,Steeple,Place of worship,Town,[T L He 1 BT,9 EEELIRIN, Sep 2013
662,Lund_01333,Classical architecture,Building,Landmark,Architecture,Facade,Palace,City,Official residence,Seat of local government,Presidential palace,Lundagérd,(E SRS IR E RNt, Jun 2013
695,Lund_01091,Water,Architecture,Sky,Botany,Tree,Photography,Botanical garden,Building,Fountain,Garden,Lundagérd 9,L 1T T, Sep 2013
741,Lund_00745,Building,Sky,Estate,Architecture,Tree,House,Grass,Cloud,Landscape,Château,Lundagérd 9,L 1T T, Sep 2013
800,Lund_02758,Flower,Plant,Garden,Shrub,Landscape,Yard,Flowering plant,Landscaping,Grass,Annual plant,HSB BRF Linero I Lui,é; Lennart Eliasson, May 2013
818,Lund_02800,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Place of worship,Cathedral,Sky,Church,Steeple,Lund,ﬁ’ Viadislav Juricky, Aug 2013
870,Lund_01061,House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,Sky,Plant,Lundagérd 9,i\ Bengt Jiirs, Sep 2013
905,Lund_02835,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,Ancient roman architecture,Palace,Basilica,Historic site,Lundagérd,Aleksandras Ples, Aug 2013
936,Lund_00337,Landmark,Estate,Mansion,Building,Architecture,Official residence,Stately home,Palace,Classical architecture,Presidential palace,Lundagérd,R ROSA TRULLOLS, Jun 2013
990,Lund_02312,Watercourse,Water resources,Bank,Stream,Riparian zone,Water,Waterway,Ditch,Creek,Arroyo,Rinnebick Gorge,2 1T T, Oct 2013
1003,Lund_01089,Water,Architecture,Sky,Botany,Tree,Photography,Botanical garden,Building,Fountain,Garden,Lundagérd 9,L 1T T, Sep 2013
1012,Lund_01384,Classical architecture,Building,Landmark,Architecture,Facade,Courthouse,Mansion,Palace,Official residence,Tourist attraction,Lundagérd,RoET. V] NN B, Jun 2013
1064,Lund_01748,Sky,Landmark,Architecture,Place of worship,Daytime,Building,Cloud,Church,Cathedral,Facade,Lund Cathedral ¢,[ CLLQI (T, Aug 2013
1111,Lund_00298,Estate,Palace,Building,Mansion,Property,Official residence,Stately home,Château,Architecture,Presidential palace,g’ Vladislav Juricky,g’ Vladislav Juricky, Aug 2013
1162,Lund_02111,Landmark,Building,Architecture,Classical architecture,Presidential palace,Official residence,Estate,Palace,Mansion,Stately home,Lundagérd 8,@ Erik Westrup, Aug 2013
1253,Lund_00596,Landmark,Building,Town,Property,Architecture,City,Human settlement,Stately home,Medieval architecture,Sky,Katedral High Schoo,S Sanbao Xu, Apr 2013
1256,Lund_02682,Natural landscape,Sky,Winter,Tree,Plant,Grass family,Freezing,Grass,Field,Frost,Northward view at Lt,S Sanbao Xu, Mar 2013
1294,Lund_00746,Building,Sky,Estate,Architecture,Tree,House,Grass,Cloud,Landscape,Château,Lundagérd 9,L 1T T, Sep 2013
