Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
6,Lund_00981,Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Leaf,Spring,Plant,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
10,Lund_02497,Natural landscape,Geological phenomenon,Land lot,Rural area,Grass,Pasture,Bank,Ditch,Hill,Soil,Rinnebick Gorge,{5@ (V=G, Jan 2018
11,Lund_02579,Nature,Natural landscape,Land lot,Tree,Atmospheric phenomenon,Natural environment,Pasture,Grass,Nature reserve,Rural area,Nobbelbvs mosse,Q Peter Nordensva, Aug 2018
16,Lund_00903,Building,Landmark,Property,Estate,Architecture,Mansion,Palace,Classical architecture,Official residence,House,Lundagérd 9,.@ UIf Larsson, Sep 2018
18,Lund_00774,Building,Classical architecture,Landmark,Architecture,Property,House,Mansion,Estate,Facade,Historic house,Lundagérd,U\ G LIEEFLE RV, Jun 2018
24,Lund_02634,Natural landscape,Nature,Leaf,Tree,Vegetation,Reflection,Pond,Autumn,Garden,Plant,Botanical Garden,ka Dennis Frank, Oct 2018
26,Lund_00691,Landmark,Architecture,Building,Sky,Steeple,Place of worship,Church,Town,Spire,Cathedral,Lund Cathedral,@ Mahmoud Chaar, Jul 2018
29,Lund_00832,Building,Estate,Mansion,Property,Palace,Official residence,Manor house,House,Classical architecture,Château,Lundagérd 9,@ Daniel Klein, Aug 2018
44,Lund_02697,Property,Building,Interior design,Houseplant,Room,Furniture,Plant,House,Table,Restaurant,0spAB Plant Departr,D Day Time, Sep 2018
45,Lund_02365,Crowd,Community,Competition event,Spring,Event,Recreation,Team,Grassland,Vehicle,Lawn,Klostergérdens IP,il VPN YWV 1o 3 o)), Jun 2018
50,Lund_00280,Castle,Property,Architecture,Building,Estate,Tree,Grass,Château,House,Stately home,Lundagérd,"%, Juliane Vigan6", Apr 2018
52,Lund_00616,Landmark,Architecture,Building,Classical architecture,Medieval architecture,Sky,Facade,Church,Place of worship,Historic site,Lund Cathedral,{‘j Pascal BASROGE, Jun 2018
53,Lund_02608,Basketball hoop,Basketball court,Basketball,Streetball,Tree,Net,Team sport,Sport venue,Basketball moves,,Linero street court,‘-B Lunds Basket, Jul 2018
56,Lund_01103,Building,Estate,Property,Palace,Mansion,Architecture,Sky,Stately home,House,Château,Lundagérd,) ravio ERachici, May 2018
58,Lund_00430,Building,Landmark,Mansion,Palace,Estate,Property,Classical architecture,Stately home,Official residence,Architecture,Lundagérd,T Tomas Johanssc, Sep 2018
62,Lund_01681,Water,Tree,Reflection,Architecture,River,Pond,Reflecting pool,Bank,Watercourse,Landscape,Lundagérd,) ravio ERachici, May 2018
65,Lund_02400,Transport,Mode of transport,Architecture,Vehicle,Urban area,Building,City,Facade,Street,Bus stop,Linero pub & pizzeri,LR R EFA ¢, Apr 2018
67,Lund_01795,Landmark,Steeple,Architecture,Building,Tree,Town,Sky,City,Urban area,Church,Lundagérd,Mandana Raghel, Jul 2018
86,Lund_02246,Natural landscape,Nature,Vegetation,Bank,River,Water,Rock,Watercourse,Nature reserve,Grass,Rinnebick Gorge 2,Kajsa Anka, Jun 2018
88,Lund_02167,Classical architecture,Landmark,Architecture,Building,Facade,Tourist attraction,Courthouse,Column,Seat of local government,Place of worship,Lundagérd 9,Dillon Cower, Sep 2018
90,Lund_01747,Building,Architecture,Classical architecture,Landmark,Facade,Palace,Official residence,City,Metropolis,Presidential palace,Coop Konsum,J  Janus sobrzezeje, Aug 2018
91,Lund_02466,Brick,Property,Landmark,Architecture,Building,Brickwork,Wall,Sky,House,Tree,Lundagérd ¢,& Obbie Hadrian, Oct 2018
92,Lund_02898,Town,Landmark,Building,Architecture,City,Human settlement,Street,Urban area,Town square,Sky,Lund Cathedral,M Magnus Zimmer, Apr 2018
96,Lund_02500,Water,Sky,Leaf,Tree,Autumn,Fountain,Landmark,Daytime,Public space,Architecture,Lundagérd,%@‘ Orfeas Kalipolitis, Oct 2018
100,Lund_01953,Property,House,Home,Estate,Building,Real estate,Architecture,Mansion,Manor house,Historic house,Kulturen 8,' Lars Skough, Jul 2018
103,Lund_02767,Natural landscape,Water,Nature,Waterway,River,Vegetation,Water resources,Watercourse,Tree,Wilderness,Rinnebick Gorge,C ) Clara Isaksson, Oct 2018
