Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
57,Lund_00962,Estate,Building,Palace,Mansion,Château,Stately home,Official residence,House,Architecture,Manor house,Lundagérd,A) Arulselvi Selvaraj, Oct 2015
72,Lund_02865,Sky,Landmark,Blue,Natural landscape,Estate,Building,Tree,Château,Architecture,Leaf,Botanical Garden,6 SN YN, Jul 2015
95,Lund_01544,Body of water,Water,Pond,Natural landscape,Nature,Water resources,Vegetation,Lake,Bank,Fish pond,Stadsparken,Mikael Boschian, Jul 2015
99,Lund_01300,Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture,Lundagérd ¢,@ Ludovic Barth, Jul 2015
110,Lund_00925,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,Facade,Stately home,Lundagérd ¢,@ Ludovic Barth, Jul 2015
142,Lund_00521,Landmark,Medieval architecture,Building,Castle,Architecture,Estate,Stately home,Sky,Château,Palace,L (LT T,@ BN PN R, Nov 2015
194,Lund_02115,Landmark,Architecture,Building,Church,Sky,Steeple,Place of worship,Medieval architecture,Cathedral,Spire,Lund Cathedral,§ SANDHEEP KUM, Jun 2015
213,Lund_02842,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,Facade,Stately home,Lundagérd c,Ludovic Barth, Jul 2015
253,Lund_01338,Sky,Fisheye lens,Landmark,Architecture,Photography,Town,Building,City,Wall,Urban area,[T T o1 T T T,Mark Vartok, Oct 2015
269,Lund_01254,Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture,Lundagérd ¢,@ Ludovic Barth, Jul 2015
279,Lund_02037,Estate,Property,Building,Mansion,Public space,Grass,Stately home,Campus,Real estate,Tree,Lundagérd,Mauricio Heyerm, Oct 2015
310,Lund_00300,Aerial photography,Residential area,Metropolitan area,Suburb,Urban area,Bird's-eye view,City,Neighbourhood,Urban design,Human settlement,,, Jul 2015
321,Lund_01433,Estate,Building,Mansion,Property,Palace,Stately home,House,Château,Manor house,Tree,Lundagérd,A) Arulselvi Selvaraj, Oct 2015
322,Lund_01301,Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture,Lundagérd ¢,@ Ludovic Barth, Jul 2015
