Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
42,Lund_01268,Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace,Lundagérd,@ ST EE ), Sep 2007
112,Lund_01675,Town,Building,Human settlement,Public space,Plaza,City,Town square,Neighbourhood,Architecture,Mixed-use,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
120,Lund_03189,Estate,Building,Landmark,Sky,Mansion,Palace,Architecture,Stately home,Château,Official residence,Lundagérd,Ozren HadZiagi¢-, Jul 2007
156,Lund_00778,Landmark,Building,Estate,Mansion,Architecture,Palace,Stately home,Official residence,Plaza,Classical architecture,L (LT T,P ) Peter-Michael Wi, Jun 2007
200,Lund_00923,Classical architecture,Building,Architecture,Landmark,Mansion,Palace,Estate,Official residence,Courthouse,Facade,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
215,Lund_01506,Building,Classical architecture,Palace,Architecture,Landmark,Estate,Mansion,Château,Official residence,Stately home,University Square,Peter-Michael Wi, Jun 2007
265,Lund_03104,Natural landscape,Body of water,Nature,Water resources,Bank,Green,Water,Vegetation,Nature reserve,Riparian forest,Rinnebick Gorge,(é\; NG T LR, Jan 2007
288,Lund_00842,Building,Landmark,Architecture,City,Town,Property,Human settlement,Public space,Estate,Urban area,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
472,Lund_01797,Property,Architecture,Building,Residential area,Commercial building,Apartment,Facade,Real estate,House,Condominium,Skanska Sverige AB,NG T LR, Mar 2007
664,Lund_00924,Classical architecture,Building,Architecture,Landmark,Mansion,Palace,Estate,Courthouse,Official residence,Facade,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
717,Lund_02489,Leaf,Tree,Sky,Autumn,Natural landscape,Residential area,Daytime,Real estate,Public space,Neighbourhood,OLYMPUS DIGITAL C,& Lennart Eliasson, Oct 2007
824,Lund_01462,Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,Church,Tower,Urban area,Lundagérd,@ ST EE ), Oct 2007
1010,Lund_01463,Landmark,Sky,Architecture,Tree,Spire,Building,Steeple,Church,Tower,Urban area,Lundagérd,@ ST EE ), Oct 2007
1147,Lund_00503,Building,Estate,Mansion,Landmark,Property,House,Architecture,Classical architecture,Palace,Stately home,Universitetshuset,B BRF Havslaxen, Sep 2007
1225,Lund_00917,Building,House,Property,Estate,Architecture,Mansion,Home,Historic house,Palace,Tree,Lundagérd,@ ST EE ), Sep 2007
1251,Lund_01315,Town,Building,Human settlement,Public space,Plaza,City,Town square,Neighbourhood,Architecture,Mixed-use,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
1358,Lund_02222,House,Building,Property,Home,Residential area,Architecture,Neighbourhood,Mansion,Estate,Real estate,Dévenheten Lund,Kommunikation |, May 2007
1385,Lund_01598,Building,Estate,Mansion,Property,Palace,Architecture,Classical architecture,House,Stately home,Manor house,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
1580,Lund_00935,Building,Estate,Mansion,Palace,Classical architecture,Landmark,Property,Architecture,Stately home,Official residence,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
1826,Lund_00918,Building,House,Property,Estate,Architecture,Mansion,Home,Historic house,Palace,Tree,Lundagérd,@ ST EE ), Sep 2007
1866,Lund_02841,Building,Property,Landmark,Estate,Palace,Mansion,Architecture,City,Sky,House,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
2029,Lund_01464,Landmark,Sky,Architecture,Tree,Spire,Steeple,Building,Church,Tower,Urban area,Lundagérd,@ ST EE ), Oct 2007
2060,Lund_01267,Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace,Lundagérd,@ ST EE ), Sep 2007
2061,Lund_01856,Classical architecture,Architecture,Landmark,Building,Facade,City,House,Courthouse,Monument,Mansion,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
2144,Lund_02810,Landmark,Palace,Building,Estate,Mansion,Property,Classical architecture,Architecture,House,Stately home,FLELLA T RO TY,9 Nattawat Palaka, Sep 2007
2273,Lund_03172,Grassland,Pasture,Lawn,Grass,Land lot,Meadow,Natural landscape,Field,Natural environment,Green,Dévenheten Lund,K Kommunikation |, May 2007
2341,Lund_00843,Building,Landmark,Architecture,City,Town,Property,Human settlement,Public space,Estate,Urban area,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
2349,Lund_01265,Building,House,Property,Estate,Mansion,Architecture,Tree,Historic house,Home,Palace,Lundagérd,@ ST EE ), Sep 2007
2477,Lund_00723,Building,Landmark,Architecture,City,Property,Town,Human settlement,Stately home,Estate,Urban area,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
2497,Lund_02809,Landmark,Palace,Building,Estate,Mansion,Property,Classical architecture,Architecture,House,Stately home,FLELLA T RO TY,9 Nattawat Palaka, Sep 2007
2612,Lund_01755,Building,Property,Architecture,Town,Estate,House,Facade,Almshouse,Manor house,Home,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
2658,Lund_02442,House,Building,Property,Home,Residential area,Architecture,Neighbourhood,Mansion,Estate,Real estate,Horselenheten barn,K Kommunikation |, May 2007
