Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
2,Lund_01374,Property,House,Cottage,Building,Roof,Home,Farmhouse,Rural area,Architecture,Real estate,Kulturen 8,@ PP\, Jul 2016
3,Lund_02600,Tree,Green,Property,Residential area,Road,Public space,Daytime,Grass,Asphalt,Woody plant,Lund 9,@ David Bjarup, Oct 2016
12,Lund_02806,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Place of worship,Church,Cathedral,Historic site,[T T VT,@ Adrian Popescu, Sep 2016
25,Lund_01821,Landmark,Sky,Architecture,Building,Spire,Daytime,Church,Medieval architecture,Wall,Tower,[T T o1 T T T,C » David Ekberg, Dec 2016
28,Lund_02591,Architecture,Land lot,,,,,,,,,MAX IV Laboratory,S;. Bjarne Rosengrel, Jul 2016
31,Lund_02708,Sky,Vegetation,Hill,Grassland,Grass,Cloud,Meadow,Land lot,Rural area,Prairie,Klosteréingshdjden,Klosteréingshdjden, Aug 2016
33,Lund_01205,Building,Landmark,Architecture,Estate,Classical architecture,Palace,Mansion,Sky,House,Official residence,Lundagérd 9,(%) Lucila Cetin, Jul 2016
37,Lund_00136,Spire,Steeple,Landmark,Church,Architecture,Building,Place of worship,Tree,Medieval architecture,Parish,‘ CeBpanuna [lyHi,‘ CeBpanuna [lyHi, Dec 2016
46,Lund_02450,Property,House,Building,Chapel,Roof,Cottage,Architecture,Real estate,Home,Shed,\E e L ET T T T,6 IR DL, Dec 2016
71,Lund_02170,Building,Property,Architecture,Landmark,Grass,Estate,Stately home,Facade,Tree,Mansion,Historiska museet vi,Simius Taaravare, Oct 2016
76,Lund_01938,Landmark,Steeple,Architecture,Building,Spire,Tower,Church,Medieval architecture,Roof,Sky,Lund Cathedral,Leif Bengtsson, May 2016
81,Lund_01025,Landmark,Architecture,Sky,Building,Church,Town,Medieval architecture,Steeple,Place of worship,City,Lund Cathedral {,J Jason Chaikin, Oct 2016
85,Lund_02481,Building,Commercial building,Architecture,Corporate headquarters,Facade,Headquarters,Company,Mixed-use,Car,Vehicle,' Petar Novkovic,' Petar Novkovic, Sep 2016
102,Lund_00538,Architecture,Building,Landmark,Medieval architecture,Tower,Church,Place of worship,City,Sky,Classical architecture,Lund Tourist Center,5‘3.‘..@ LU G, May 2016
123,Lund_02292,Body of water,Water resources,Stream,Riparian zone,Watercourse,Nature,Waterway,Bank,River,Natural landscape,Rinnebick Gorge 2,M Maria Tracz, Sep 2016
124,Lund_00737,Water,Water resources,Pond,Natural landscape,Bank,Waterway,Botany,Watercourse,Garden,Fish pond,Lundagérd,@ Juca Felix Galino, Jul 2016
134,Lund_01246,Building,Landmark,Architecture,Town,City,Facade,Human settlement,Sky,Tower,Metropolitan area,Lund Cathedral ¢,Py ), Jul 2016
137,Lund_00822,Body of water,Reflection,Water,Nature,Waterway,Natural landscape,Tree,Bank,Canal,River,Botanical Garden,1“{ ) Danijel O'Rourke, Sep 2016
150,Lund_02496,Grass,Sport venue,Player,Team sport,Playground,Lawn,Ball game,Sports,Sports training,Sports equipment,Linero IP {,"@""‘ Staffan Slager", Aug 2016
151,Lund_00834,Town,City,Human settlement,Public space,Building,Town square,Architecture,Plaza,Mixed-use,Tourism,Park Inn by Radissor,l& Thom Seaman, Oct 2016
152,Lund_00061,Landmark,Building,Town,Tree,Sky,Architecture,Water,Waterway,City,House,' (&1 EY T,' (&1 EY T, Dec 2016
153,Lund_01155,Classical architecture,Landmark,Building,Architecture,Facade,Palace,Courthouse,City,Official residence,Seat of local government,Lundagérd,@ Juca Felix Galino, Jul 2016
161,Lund_00863,Landmark,Architecture,Palace,Building,Mansion,Château,Estate,Stately home,Tourism,Villa,Lundagérd,@ Juca Felix Galino, Jun 2016
164,Lund_00987,Building,Estate,Architecture,Landmark,Mansion,Property,Palace,Stately home,Sky,Classical architecture,Lundagérd 9,({‘ Lucija Cetin, Jul 2016
167,Lund_00799,Building,Landmark,Architecture,Medieval architecture,Facade,Church,Cathedral,Sky,Abbey,Place of worship,Lund Cathedral,"""R ET TS T", Sep 2016
182,Lund_01783,Garden,Property,Botany,Botanical garden,Plant,Shrub,Tree,Building,Architecture,Spring,Botanical Garden,Elen Vasilova, Jul 2016
189,Lund_00836,Estate,Building,Mansion,Palace,Landmark,Property,Stately home,Architecture,House,Official residence,Lundagérd 9,N  Niek Mereu, Oct 2016
193,Lund_01484,Garden,Nature,Sky,Botanical garden,Natural landscape,Grass,Lawn,Botany,Wilderness,Tree,Stadsparken,Ingibjérg Magnui, Sep 2016
206,Lund_01858,Body of water,Natural landscape,Nature,Bank,River,Natural environment,Water resources,Reflection,Tree,Pond,Stadsparken,Sebastian Svérde, Oct 2016
217,Lund_02136,Landmark,Sky,Architecture,Building,Urban area,Town,City,Brick,Stately home,House,Lundagérd,Danijel O'Rourke, Sep 2016
244,Lund_00998,Building,Estate,Landmark,Mansion,Palace,Property,Sky,Architecture,Official residence,House,Lundagérd 9,"f’, B e", Jul 2016
248,Lund_01419,Classical architecture,Architecture,Building,Landmark,Facade,City,Basilica,Palace,Metropolis,Tourist attraction,Italia Il Ristorante,5@' Luis Villeda, Mar 2016
251,Lund_02922,Body of water,Bank,Natural landscape,Nature,Vegetation,River,Nature reserve,Waterway,Natural environment,Water,Nobbelbvs mosse,Q Peter Nordensva, Sep 2016
