Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
97,Lund_01515,Classical architecture,Building,Landmark,Architecture,Palace,Estate,Château,Mansion,Official residence,Facade,university 3,Tim Schaefer, Jul 2009
307,Lund_00166,Street,Alley,Road,Neighbourhood,Town,Lane,Urban area,Infrastructure,Human settlement,Building,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
334,Lund_00055,Tree,Woody plant,Leaf,Plant,Trunk,Botany,Grove,Branch,Grass,Woodland,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
342,Lund_00091,Building,Town,Architecture,City,Town square,Human settlement,Public space,Plaza,Facade,Tree,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
388,Lund_00027,Building,Café,Coffeehouse,Restaurant,Glass,Fast food restaurant,,,,,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
570,Lund_00097,Neighbourhood,Property,Town,Guard rail,Building,Public space,Tree,Architecture,Walkway,Fence,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
757,Lund_00139,Statue,Sculpture,Public space,Tree,Town,Monument,City,Urban area,Architecture,Art,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
1066,Lund_00478,Landmark,Architecture,Public space,Building,Plaza,Town square,Tree,City,Fountain,Memorial,Lundagérd 9,% V. Jamile, Apr 2009
1177,Lund_02155,Natural landscape,Tree,Grass,Sky,Park,Spring,Botany,Trail,State park,Recreation,Botanical Garden,Karol Raczkowsk, May 2009
1417,Lund_00861,Building,Estate,Classical architecture,Landmark,Mansion,Architecture,Palace,Property,Stately home,Official residence,Lundagérd 8,@ Ryan Wilson, Aug 2009
1612,Lund_00022,Statue,Sculpture,Monument,Memorial,Landmark,Classical sculpture,Grass,Art,Tree,Stone carving,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
1693,Lund_00393,Landmark,Palace,Mansion,Building,Estate,Property,Architecture,Stately home,Classical architecture,Spring,Lundagérd,D) Dimitris Basinos, Apr 2009
1726,Lund_00040,Building,Classical architecture,Landmark,Palace,Estate,Architecture,Property,Mansion,Stately home,Château,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
1868,Lund_00028,House,Property,Building,Architecture,Facade,Wall,Window,Home,Tree,Brickwork,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
1936,Lund_00467,Landmark,Building,Architecture,Plaza,Palace,Estate,Stately home,Tree,City,Mansion,Lundagérd,D) Dimitris Basinos, Apr 2009
2044,Lund_00567,Estate,Building,Mansion,Landmark,Palace,Architecture,Stately home,Official residence,House,Classical architecture,Lundagérd,i Antanas Staskev, Sep 2009
2228,Lund_00812,Landmark,Building,Classical architecture,Architecture,Property,Estate,Mansion,Palace,House,Real estate,Lundagérd 8,% V. Jamile, Apr 2009
2323,Lund_00012,Property,Building,Architecture,House,Town,Estate,Real estate,Home,City,Facade,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
2416,Lund_00941,Building,Property,Estate,Palace,Public space,Plaza,Stately home,Human settlement,City,Mansion,Grand Hotel Lund,?L Per Irgens, Oct 2009
2620,Lund_00048,Brickwork,Brick,Architecture,Wall,Property,Arch,Building,House,Town,Iron,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
2691,Lund_00127,Water,Water feature,Fountain,Font,Architecture,Courtyard,Estate,Building,,,e Saadiyah Darus,e Saadiyah Darus, Sep 2009
2734,Lund_00665,Building,Architecture,Property,Landmark,Town,Classical architecture,House,Facade,Palace,Seat of local government,Hotel Concordia,@) From a Google U, Oct 2009
