Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
0,Lund_01611,Town,Landmark,City,Building,Human settlement,Street,Architecture,Road,Neighbourhood,Plaza,[T TV HTET 3 T,a Abubakar M, Aug 2017
1,Lund_01120,Landmark,Medieval architecture,Architecture,Building,Sky,Place of worship,Church,Facade,Classical architecture,Historic site,[T L He G L T,@ Sumeet Ranjan S, May 2017
4,Lund_00360,Building,Estate,Property,Mansion,Stately home,Château,Architecture,Manor house,Historic house,Medieval architecture,Underground Street |,Underground Street |, Jul 2017
5,Lund_02357,Nature reserve,Land lot,Cottage,Rural area,Roof,Grass,Yard,Farm,Backyard,Shed,L TR TR,Natalia Avramch, Jul 2017
7,Lund_02161,Building,Architecture,Town,Landmark,Neighbourhood,Facade,City,Mixed-use,Medieval architecture,Apartment,Bantorget 8,Bantorget 8, Mar 2017
8,Lund_01805,Sky,Property,Estate,Landmark,House,Architecture,Building,Grass,Cloud,Home,Stadsparken,Alexandre Smirn, Oct 2017
9,Lund_00474,Castle,Medieval architecture,Building,Property,Architecture,Château,Stately home,Estate,Wall,Fortification,Lundagérd,"C"":} Leszek A Gasien", Jul 2017
14,Lund_00296,Landmark,Sky,Property,Architecture,Building,House,Town,Tree,Estate,Urban area,Lundagérd,ﬁg‘ Nicolds Lundin, May 2017
15,Lund_00646,Body of water,Water resources,Stream,Watercourse,Natural landscape,Waterway,Water,River,Stream bed,Arroyo,Rinnebiéck Gorge,a Daniel Nilsson, Nov 2017
17,Lund_01571,Landmark,Building,Mansion,Architecture,Estate,Stately home,Botany,Palace,Spring,House,Lundagérd 9,Vanja Matic, May 2017
19,Lund_02556,Tree,Nature,Vegetation,Natural landscape,Nature reserve,Biome,Woody plant,Plant,Botany,Rock,Rinnebick Gorge : H,Q Ani Vera, Aug 2017
22,Lund_01228,Building,Steeple,Spire,Landmark,Church,Place of worship,Architecture,Chapel,Parish,Medieval architecture,Lund,Malte Lewan, Feb 2017
32,Lund_01701,Reflection,Reflecting pool,Waterway,Water,Property,Estate,Natural landscape,Bank,Home,Pond,Botanical Garden,@ Sumeet Ranjan S, May 2017
34,Lund_01566,Architecture,Landmark,Medieval architecture,Classical architecture,Building,Place of worship,Cathedral,Facade,Historic site,Church,Lund Cathedral,Ivan Vidanovic, May 2017
35,Lund_02886,Fountain,Reflecting pool,Water,Garden,Botanical garden,Botany,Pond,Water feature,Tree,Park,Lundagérd ¢,a Kiryl Shantyka, Jun 2017
36,Lund_02472,Sport venue,Stadium,Grass,Baseball field,Plain,Baseball park,Land lot,Grass family,Field,Plant,LELEITT RN {,ﬂ) Mr.Roman Lak, Apr 2017
38,Lund_02391,Road,Lane,Vehicle,Building,Car,Infrastructure,City,Thoroughfare,Asphalt,Parking lot,ICA Supermarket Lin,H  Henrik Lindberg, Jul 2017
39,Lund_00592,Building,Landmark,Property,Architecture,Estate,Mansion,Stately home,Medieval architecture,House,City,Lundagard ¢,Lundagard ¢, Mar 2017
41,Lund_01443,Landmark,Building,Architecture,Town,Spire,Steeple,City,Tree,House,Church,Lundagard ¢,Lundagard ¢, Mar 2017
48,Lund_01455,Landmark,Architecture,Sky,Building,Town,City,Facade,Church,Tower,Tourism,[T T o1 T 1T,FNEETY, Jul 2017
51,Lund_00437,Estate,Building,Palace,Mansion,Landmark,Property,Architecture,Château,Stately home,House,Lundagérd,E Eugenio Giudicia, Sep 2017
54,Lund_01930,Building,Property,Town,Architecture,Palace,Stately home,Facade,Almshouse,City,Estate,Folkuniversitetets fo,LRI IYCET, Mar 2017
60,Lund_02241,Sky,Tree,Grass,Cloud,Pole,Grassland,Event,Crowd,Lawn,Mountain,Lunds Pistolklubb,Jonas Ezzi, Aug 2017
63,Lund_01794,Landmark,Architecture,Medieval architecture,Building,Sky,Cathedral,Gothic architecture,Place of worship,Classical architecture,Facade,Lundagérd,Zackarias Soderl, Mar 2017
66,Lund_00802,Urban area,City,Roof,Architecture,Building,Human settlement,Town,Metropolitan area,Neighbourhood,Residential area,[TV T :,qf‘gu Kaveh Kamran, Aug 2017
68,Lund_02771,Water,Water resources,Fountain,Watercourse,Water feature,Fun,Leisure,Tree,Garden,Pond,Coop Klostergarden,’ ‘f Magnus Erkenfel, Jul 2017
69,Lund_01617,Sky,Landmark,Building,Architecture,Medieval architecture,Church,Facade,Wall,Cathedral,Historic site,[T T o1 T T T,AtilaK, Dec 2017
73,Lund_00468,Landmark,Sky,Architecture,Building,City,Town,Daytime,Human settlement,Facade,Steeple,Lund Cathedral :,@ Jun Luo, Jun 2017
74,Lund_01549,Landmark,Sky,Architecture,Building,Medieval architecture,Church,Facade,Place of worship,Wall,Convent,Lundagérd 9,@ Rene Wagner, Aug 2017
75,Lund_00574,Building,Palace,Landmark,Classical architecture,Architecture,Official residence,Mansion,Presidential palace,Estate,Stately home,AB Tetra Pak c,a FN, Aug 2017
77,Lund_00095,Landmark,Architecture,Building,Daytime,City,Sky,Tower,Urban area,Tree,Facade,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
78,Lund_01811,Garden,Botanical garden,Estate,Botany,Park,Tree,Building,Grass,Sky,Architecture,Lundagérd,’ Lisa Vult von Ste, Jul 2017
79,Lund_00287,Estate,Building,Landmark,Mansion,Architecture,Stately home,Palace,House,Historic house,Tree,Lundagérd 8,'?- Balézs Szab6, May 2017
82,Lund_01987,Water,Botany,Tree,Garden,Botanical garden,Park,Grass,Landscape,Plant,Landscaping,Lundagérd,l\i’ Stana Minincic, Jul 2017
