"[Chinese, (Sim.)]","[Chinese, (Sim.)]",33
"[Chinese, (Trad.)]","[Chinese, (Trad.)]",18
[Czech],[Czech],1
[Danish],[Danish],115
[Dutch],[Dutch],21
[English],[English],1186
[Finnish],[Finnish],2
[French],[French],46
[German],[German],59
[Greek],[Greek],3
[Hungarian],[Hungarian],3
[Indonesian],[Indonesian],4
[Italian],[Italian],55
[Japanese],[Japanese],40
[Norwegian],[Norwegian],20
[Polish],[Polish],16
[Portuguese],[Portuguese],37
[Russian],[Russian],48
[Serbian],[Serbian],1
[Spanish],[Spanish],38
[Swedish],[Swedish],928
[Thai],[Thai],1
[Turkish],[Turkish],7
