review language,rating_csore_mean,basic_sentiment_text_mean,basic_sentiment_title_mean,author_contributions_mean,author_votes_mean,language1,count
"[Chinese, (Sim.)]",4.4848484848484835,0.3661784511785121,0.3214141414141515,90.6,38.22222222222222,"[Chinese, (Sim.)]",33
"[Chinese, (Trad.)]",4.777777777777779,0.35546296296305563,0.4398148148148333,91.66666666666669,42.583333333333336,"[Chinese, (Trad.)]",18
[Czech],4.0,0.283333333333,0.425,12.0,1.0,[Czech],1
[Danish],4.226086956521739,0.3665717232215651,0.38248494259364624,128.81739130434784,49.1588785046729,[Danish],115
[Dutch],4.380952380952381,0.39053760393047615,0.4640702947845714,142.04761904761904,63.4,[Dutch],21
[English],4.3962900505902205,0.32054190912335123,0.35050527229859224,142.40472175379426,60.053345388788436,[English],1186
[Finnish],4.0,0.29875,0.0932291666665,15.0,4.0,[Finnish],2
[French],4.260869565217392,0.4046904761904935,0.4588647342995096,201.56521739130437,84.5,[French],46
[German],4.5423728813559325,0.38822472301708455,0.3263983050847458,171.74576271186442,54.903846153846146,[German],59
[Greek],4.666666666666667,0.43583333333333335,0.5499999999999999,15.666666666666664,21.33333333333333,[Greek],3
[Hungarian],5.0,0.4070238095236667,0.0,7.0,4.666666666666667,[Hungarian],3
[Indonesian],4.0,0.21163690476174998,0.275,680.25,118.5,[Indonesian],4
[Italian],4.49090909090909,0.36435850371372536,0.2987272727272727,412.1818181818182,110.03636363636365,[Italian],55
[Japanese],4.125,0.25133621933619504,0.111597222222205,383.0,75.92307692307692,[Japanese],40
[Norwegian],4.4,0.43064087301575,0.44162202380949994,72.2,14.666666666666664,[Norwegian],20
[Polish],4.6875,0.3512200299700625,0.41328125,137.1875,37.230769230769226,[Polish],16
[Portuguese],4.27027027027027,0.339073578448546,0.3828828828828919,74.2162162162162,23.777777777777782,[Portuguese],37
[Russian],4.583333333333333,0.3425670194003812,0.17115575396825,288.5,98.41666666666669,[Russian],48
[Serbian],5.0,0.639115646259,1.0,46.0,7.0,[Serbian],1
[Spanish],4.394736842105264,0.4007933201058684,0.2395739348370789,157.21052631578948,98.2162162162162,[Spanish],38
[Swedish],4.380387931034483,0.3513349953048267,0.2656523546347139,83.95474137931033,20.28743961352657,[Swedish],928
[Thai],5.0,0.396428571429,0.7,12.0,3.0,[Thai],1
[Turkish],4.428571428571429,0.4093339002268572,0.4785714285714286,99.28571428571428,59.14285714285714,[Turkish],7
