,month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Jan,1.0,0.8839415358984035,0.9615040175091472,0.9576934056569857,0.9241267973742883,0.9470937971596365,0.9543869566848986,0.9649505416077027,0.9582117820972215,0.9376469576283808,0.8577224353148598,0.9155735871603836
1,Feb,0.8839415358984035,1.0,0.8895902431447145,0.933879653066097,0.9184409670821604,0.9275128675280283,0.921856059322764,0.9125869149314865,0.9090236276121425,0.9270050451595575,0.8609396394589727,0.8206493199091238
2,Mar,0.9615040175091472,0.8895902431447145,1.0,0.9649291874156286,0.9185089199084305,0.9594474850342928,0.9632647325181037,0.9764378730403841,0.9743858310917077,0.9480562423860838,0.851235794573617,0.882435405186904
3,Apr,0.9576934056569857,0.933879653066097,0.9649291874156286,1.0,0.9669445236027931,0.9832389517156224,0.9822142985205858,0.9836800919654067,0.9822412872687785,0.9745558893163588,0.8966706525868052,0.9020237288091835
4,May,0.9241267973742883,0.9184409670821604,0.9185089199084305,0.9669445236027931,1.0,0.9658744025877789,0.9707539504906556,0.9577526155073515,0.9535899992994341,0.9657766663228168,0.8973813417707885,0.8812180040983417
5,Jun,0.9470937971596365,0.9275128675280283,0.9594474850342928,0.9832389517156224,0.9658744025877789,1.0,0.990665302218704,0.9875341531127947,0.986664380136544,0.976502076511149,0.9016619130698731,0.8676441067685233
6,Jul,0.9543869566848986,0.921856059322764,0.9632647325181037,0.9822142985205858,0.9707539504906556,0.990665302218704,0.9999999999999998,0.9921736243482776,0.9879402607542171,0.9786197834449454,0.8888581163033838,0.8839450599196517
7,Aug,0.9649505416077027,0.9125869149314865,0.9764378730403841,0.9836800919654067,0.9577526155073515,0.9875341531127947,0.9921736243482776,1.0000000000000002,0.9942217515931412,0.9738463490034929,0.880623821238786,0.8896565082005803
8,Sep,0.9582117820972215,0.9090236276121425,0.9743858310917077,0.9822412872687785,0.9535899992994341,0.986664380136544,0.9879402607542171,0.9942217515931412,1.0000000000000002,0.973505921146923,0.8819730768300537,0.8789312901431168
9,Oct,0.9376469576283808,0.9270050451595575,0.9480562423860838,0.9745558893163588,0.9657766663228168,0.976502076511149,0.9786197834449454,0.9738463490034929,0.973505921146923,1.0000000000000002,0.9053134147763204,0.8918253444985265
10,Nov,0.8577224353148598,0.8609396394589727,0.851235794573617,0.8966706525868052,0.8973813417707885,0.9016619130698731,0.8888581163033838,0.880623821238786,0.8819730768300537,0.9053134147763204,1.0,0.8088052090077991
11,Dec,0.9155735871603836,0.8206493199091238,0.882435405186904,0.9020237288091835,0.8812180040983417,0.8676441067685233,0.8839450599196517,0.8896565082005803,0.8789312901431168,0.8918253444985265,0.8088052090077991,1.0
